,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1182774,Assessment of genetic diversity in Azadirachta indica using AFLP markers,1999,A Singh and MS Negi and J Rajagopal and S Bhatia and UK Tomar and PS Srivastava and M Lakshmikumaran,99,Theoretical and Applied Genetics,1,272-279,Springer-Verlag,,True,zQywogIAAAAJ:HtEfBTGE9r8C,115,,16546394915337396820,/scholar?cites=16546394915337396820,,,0,0,0
1182775,Somatic embryogenesis and organogenesis in callus cultures of a leguminous tree   Albizia richardiana King.,1988,U.K.Tomar and & S.C. Gupta,7,Plant Cell Rep,1,70-73,Spriger-verlag,,True,zQywogIAAAAJ:prdVHNxh-e8C,78,,231110715158397973,/scholar?cites=231110715158397973,,,0,0,0
1182776,Regional and habitat variability in azadirachtin content of Indian neem (Azadirachta indica A. Jusieu),2007,Nutan Kaushik and B Gurudev Singh and UK Tomar and SN Naik and Satya Vir and SS Bisla and KK Sharma and SK Banerjee and Pramilla Thakkar,,Current Science,,1400-1406,Current Science Association,,True,zQywogIAAAAJ:a9-T7VOCCH8C,53,,15228069659873237063,/scholar?cites=15228069659873237063,,,0,0,0
1182777,In vitro plant regeneration of leguminous trees (Albizia spp),1988,Uttar K Tomar and Shrish C Gupta,7,Plant Cell Reports,6,385-388,Springer-Verlag,,True,zQywogIAAAAJ:SjuI4pbJlxcC,53,,17038080887868702400,/scholar?cites=17038080887868702400,,,0,0,0
1182778,Effects of rainwater harvesting and afforestation on soil properties and growth of Emblica officinalis while restoring degraded hills in western India,2012,G Singh and AU Khan and Ashok Kumar and N Bala and U Kumar Tomar,6,African Journal of Environmental Science and Technology,8,300-311,,,True,zQywogIAAAAJ:umqufdRvDiIC,22,,8111620324401525112,/scholar?cites=8111620324401525112,,,0,0,0
1182779,In vitro propagation as a viable conservation strategy for Commiphora wightii. an endangered medicinally important desert tree. India,2010,Tarun Kant and Uttar K Tomar and Sushma Prajapati and Ashok K Parmar,7,Conservation evidence,,94-99,,,True,zQywogIAAAAJ:4hFrxpcac9AC,18,,5198722243568051203,/scholar?cites=5198722243568051203,,,0,0,0
1182780,Protoplast Culture and Somatic Hybridization In: G. Tripathi (ed.) Cellular and Biochemical Science.,2009,Prem Kumar Tomar,,,,876-891,IK Int. Publishing House Pvt. Ltd. New Delhi,,True,zQywogIAAAAJ:L1USKYWJimsC,15,,5478061695310261793,/scholar?cites=5478061695310261793,,,0,0,0
1182781,An Overview of the Economic Factors Influencing Micropropagation.,2007,U.K. Tomar and U. Negi and A.K. Sinha & P.K. Dantu,43,MyForest,,523-532,The Karnataka Forest Deparemnt. Banglore,,True,zQywogIAAAAJ:Br1UauaknNIC,11,,17731946727315060140,/scholar?cites=17731946727315060140,,,0,0,0
1182782,Screening Azadirachta indica tree for enhancing azadirachtin and oil contents in dry areas of Gujarat. India,2011,UK Tomar and G Singh and N Kaushik,22,Journal of Forestry Research,2,217-224,Northeast Forestry University,,True,zQywogIAAAAJ:6ZxmRoH8BuwC,7,,14757221599780846698,/scholar?cites=14757221599780846698,,,0,0,0
1182783,Factors Affecting in vitro Shoot Proliferation and Rooting of Mature Tecomella undulata (Sm.) Seem Tree.,2013,Uttar Kumar Tomar Hemshikha Tyagi,1,Research in Plant Sciences,2,38-45,Science and Education Publishing,,True,zQywogIAAAAJ:AXkvAH5U_nMC,6,,1401758254476949813,/scholar?cites=1401758254476949813,,,0,0,0
1182784,Vegetative propagation of,2003,NK Sharma and UK Tomar,,Ailanthus excelsa,,299-308,,,True,zQywogIAAAAJ:BAanoTsO0WEC,5,,4337381724630892788,/scholar?cites=4337381724630892788,,,0,0,0
1182785,Somatic embryogenesis,2010,PK Dantu and PK Tomar,,Cellular and biochemical science,,892-908,IK International House Pvt Ltd,,True,zQywogIAAAAJ:LPtt_HFRSbwC,4,,16645267794632315334,/scholar?cites=16645267794632315334,,,0,0,0
1182786,Initial Performance of Tissue Culture Raised Bamboos in Rajasthan and Gujarat,2008,RL Srivastava and Ashok Kumar and SK Sharma and CJSK Emmanuel and UK Tomar,134,Indian For,7,916-922,,,True,zQywogIAAAAJ:DUooU5lO8OsC,4,,10960217286242952625,/scholar?cites=10960217286242952625,,,0,0,0
1182787,SUCCESSFUL GRAFTING IN AILANTHUS EXCELSA ROXB.-A BRIEF REPORT,2004,UK Tomar and USHA NEGI and N Sharma and CJSK Emmanuel,40,My forest,1,35-37,,,True,zQywogIAAAAJ:1yWc8FF-_SYC,4,,13147497680026732397,/scholar?cites=13147497680026732397,,,0,0,0
1182788,Observations on Flowering and Fruiting in Commiphora wightii (Arnott) Bhandari,2014,Arti Gaur and U. K. Tomar* Hema Singhal,4,European Journal of Medicinal Plants,9,1087-1097,SCIENCEDOMAIN international,,True,zQywogIAAAAJ:lbI08cpqPnQC,3,,4945736516870096312,/scholar?cites=4945736516870096312,,,0,0,0
1182789,Neem (Azadirachta indica A. Jusieu) Biodiversity in India for Bioresource: Azadirachtin-An Important Biopesticide,2011,UK Tomar and Nutan Kaushik,25,Asian J. Exp. Sci,1,15-21,,,True,zQywogIAAAAJ:rHJHxKgnXwkC,3,,12334852650628301162,/scholar?cites=12334852650628301162,,,0,0,0
1182790,Non-destructive Harvesting of Oleo-gum Resin in Commiphora wightii (Arnott) Bhandari – A Critically Endangered plant,2018,L.S. Saini and S.K. Rajput and T.R. Rathore and U.K. Tomar,113,Industrial Crops and Products,,259-265,Elsevier B.V.,,True,zQywogIAAAAJ:J3LtWjKFLicC,1,,8310375368007153223,/scholar?cites=8310375368007153223,,,0,0,0
1182791,Physiological Responses to Nutrient Accumulation in Trees Seedlings Irrigated with Municipal Effluent in Indian Desert,2014,G. Singh and M. Bhati and U.K. Rathod and T.R. and Tomar,2014,Physiology Journal,Article ID 545967,1-15,doi:10.1155/2014/545967,,True,zQywogIAAAAJ:6ZzL7HXColQC,1,,18209497092125959879,/scholar?cites=18209497092125959879,,,0,0,0
1182792,Clonal Seed Orchard and Its Role in Quality Seed Production in Forestry,1996,DK Mishra and UK Tomar and CJSK Emmanuel,32,Myforest,,265-272,KAMATAKA FOREST DEPT-INDIA,,True,zQywogIAAAAJ:XvxMoLDsR5gC,1,,3719337692060117701,/scholar?cites=3719337692060117701,,,0,0,0
1182793,Gender-based Genetic Variability of Ailanthus excelsa Roxb. Populations Using. RAPD. ISSR and SCoT Markers,2020,Shabnam Bano and Sumaiya Ansari and Meena Choudhary and UK Tomar,,Current Journal of Applied Science and Technology,,75-83,,,True,zQywogIAAAAJ:3lUAU8Oskd0C,0,,,,,,0,0,0
1182794,Biannual Seed Yield. Viability and Germination in Commiphora wightii (Arnott) Bhandari,2020,Meena Choudhary and Shabnam Bano and UK Tomar,1,Presented at the 1st International Electronic Conference on Plant Science,,15,,,True,zQywogIAAAAJ:60iIaj97TE0C,0,,,,,,0,0,0
1182795,Factors Affecting Rooting Potential in Stem Cuttings of Ailanthus excelsa Roxb.,2020,LS Saini and TR Rathore and SK Rajput and UK Tomar,146,Indian Forester,11,1078-1080,,,True,zQywogIAAAAJ:0sTkTiv_uMkC,0,,,,,,0,0,0
1182796,Enhancing productivity of Ailanthus excelsa Roxb. by planting grafted female trees.,2019,UK Tomar and TR Rathore and N Bala,145,Indian Forester,12,1147-1151,Indian Forester,,True,zQywogIAAAAJ:xyvS_IvSCKsC,0,,,,,,0,0,0
1182797,Asexual Morphological Differences in Male and Female Plants of Commiphora wightii (Arn.) Bhandari - An Endangered Medicinal Plant,2017,Arti Gaur and Hema Singhal and U.K. Tomar,5,Research in Plant Sciences,2,51-59,©Science and Education Publishing,,True,zQywogIAAAAJ:PuOEWVtPfzwC,0,,,,,,0,0,0
1182798,शुष्क क्षेत्र् वनीकरण एवं वन प्रबंधन,2017,G. Singh and Bilas Singh and U.K. Tomar and Shruti Sharma,1,,,642,SCIENTIFIC PUBLISHERS. JODHPUR,,True,zQywogIAAAAJ:3A3nxV7CjKIC,0,,,,,,0,0,0
1182799,A MANUAL FOR DRYLAND AFFORESTATION AND MANAGEMENT,2017,G. Singh and Bilas Singh and U.K. Tomar and Shruti Sharma,1,,,642,SCIENTIFIC PUBLISHERS. JODHPUR,,True,zQywogIAAAAJ:eH23hyXCXa4C,0,,,,,,0,0,0
1182800,Growth and mineral accumulation in Eucalyptus camaldulensis seedlings irrigated with mixed industrial effluents,2003,M Bhati and G Singh,88,Bioresource technology,3,221-228,Elsevier,,True,8D8kgqQAAAAJ:u5HHmVD_uO8C,82,,2423922371649981865,/scholar?cites=2423922371649981865,,,0,0,0
1182801,Growth of Dalbergia sissoo in desert regions of western India using municipal effluent and the subsequent changes in soil and plant chemistry,2005,G Singh and M Bhati,96,Bioresource Technology,9,1019-1028,Elsevier,,True,8D8kgqQAAAAJ:u-x6o8ySG0sC,64,,8875871857036416034,/scholar?cites=8875871857036416034,,,0,0,0
1182802,Plant growth. biomass production and soil water dynamics in a shifting dune of Indian desert,2002,G Singh and TR Rathod,171,Forest Ecology and Management,3,309-320,Elsevier,,True,8D8kgqQAAAAJ:d1gkVwhDpl0C,55,,6299130517083579758,/scholar?cites=6299130517083579758,,,0,0,0
1182803,Influence of soil water regime on nutrient mobility and uptake by Dalbergia sissoo seedlings,2004,Bilas Singh and G Singh,45,Tropical Ecology,2,337-340,Varanasi. India [etc.] International Society for Tropical Ecology. 1961-,,True,8D8kgqQAAAAJ:ufrVoPGSRksC,50,,5061234338212401899,/scholar?cites=5061234338212401899,,,0,0,0
1182804,Photodynamic therapy with photofrin in combination with Buthionine Sulfoximine (BSO) of human glioma in the nude rat,2003,F Jiang and AM Robin and M Katakowski and L Tong and M Espiritu and G Singh and M Chopp,18,Lasers in medical science,3,128-133,Springer-Verlag,,True,8D8kgqQAAAAJ:VoB_afVdn6EC,49,,7011212881014266097,/scholar?cites=7011212881014266097,,,0,0,0
1182805,Effects of controlled irrigation on water potential. nitrogen uptake and biomass production in Dalbergia sissoo seedlings,2006,Bilas Singh and Genda Singh,55,Environmental and Experimental Botany,1-2,209-219,Elsevier,,True,8D8kgqQAAAAJ:2osOgNQ5qMEC,45,,6604280624160224552,/scholar?cites=6604280624160224552,,,0,0,0
1182806,Carbon sequestration under an agri-silvicultural system in the arid region,2005,Genda Singh,131,Indian Forester,4,543-552,,,True,8D8kgqQAAAAJ:W7OEmFMy1HYC,42,,6370277478398128684,/scholar?cites=6370277478398128684,,,0,0,0
1182807,Biomass partitioning and gas exchange in Dalbergia sissoo seedlings under water stress,2003,B Singh and G Singh,41,Photosynthetica,3,407-414,Kluwer Academic Publishers,,True,8D8kgqQAAAAJ:9yKSN-GCB0IC,41,,7859476114802142417,/scholar?cites=7859476114802142417,,,0,0,0
1182808,Effect of tree density on productivity of a Prosopis cineraria agroforestry system in North Western India,2007,G Singh and S Mutha and N Bala,70,Journal of Arid Environments,1,152-163,Academic Press,,True,8D8kgqQAAAAJ:Se3iqnhoufwC,40,,5204503643731858410,/scholar?cites=5204503643731858410,,,0,0,0
1182809,Performance of Prosopis cineraria and associated crops under varying spacing regimes in the arid zone of India,1998,GN Gupta and G Singh and GR Kachwaha,40,Agroforestry Systems,2,149-157,Kluwer Academic Publishers,,True,8D8kgqQAAAAJ:qjMakFHDy7sC,32,,9857102288766114631,/scholar?cites=9857102288766114631,,,0,0,0
1182810,Comparative productivity of Prosopis cineraria and Tecomella undulata based agroforestry systems in degraded lands of Indian Desert,2009,G Singh,20,Journal of Forestry Research,2,144-150,Northeast Forestry University,,True,8D8kgqQAAAAJ:9ZlFYXVOiuMC,31,,17942415867731964449,/scholar?cites=17942415867731964449,,,0,0,0
1182811,Variations in foliage and soil nutrient composition in Acacia tortilis plantation of different ages in North-Western Rajasthan,2002,G Singh and Bilas Singh and V Kuppusamy and N Bala,128,Indian Forester,5,514-522,,,True,8D8kgqQAAAAJ:Tyk-4Ss8FVUC,26,,7946757374164514931,/scholar?cites=7946757374164514931,,,0,0,0
1182812,Growth. biomass production. and nutrient composition of eucalyptus seedlings irrigated with municipal effluent in loamy sand soil of Indian desert,2003,G Singh and M Bhati,26,Journal of plant nutrition,12,2469-2488,Taylor & Francis Group,,True,8D8kgqQAAAAJ:zYLM7Y9cAGgC,25,,5381602519705303358,/scholar?cites=5381602519705303358,,,0,0,0
1182813,Seasonal variations in organic carbon and nutrient availability in arid zone agroforestry systems,2000,G Singh and GN Gupta and V Kuppusamy,41,Tropical Ecology,1,17-23,,,True,8D8kgqQAAAAJ:LkGwnXOMwfcC,25,,10767338428105432525,/scholar?cites=10767338428105432525,,,0,0,0
1182814,Soil faunal biodiversity and nutrient status in silvopastoral systems of Indian desert,2005,G Tripathi and S Ram and BM Sharma and G Singh,,Environmental conservation,,178-188,Cambridge University Press,,True,8D8kgqQAAAAJ:eQOLeE2rZwMC,24,,6733802760892834340,/scholar?cites=6733802760892834340,,,0,0,0
1182815,Influence of soil moisture and nutrient gradient on growth and biomass production of Calligonum polygonoides in Indian desert affected by surface vegetation,2004,G Singh,56,Journal of arid environments,3,541-558,Academic Press,,True,8D8kgqQAAAAJ:IjCSPb-OGe4C,24,,9473555913527947176,/scholar?cites=9473555913527947176,,,0,0,0
