,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1275237,Performance of optical flow techniques,1994,John L Barron and David J Fleet and SS Beauchemin,12,International Journal of Computer Vision,1,43-77,Springer Netherlands,,True,njOmQFsAAAAJ:HE397vMXCloC,7199,,2060513008465620997,/scholar?cites=2060513008465620997,,,,0,0,0
1275238,Computation of component image velocity from local phase information,1990,David J Fleet and Allan D Jepson,5,International Journal of Computer Vision,1,77-104,Kluwer Academic Publishers,,True,njOmQFsAAAAJ:u-x6o8ySG0sC,1508,,14852668625590143268,/scholar?cites=14852668625590143268,,,,0,0,0
1275239,Robust online appearance models for visual tracking,2003,Allan D Jepson and David J Fleet and Thomas F El-Maraghi,25,IEEE Transactions on Pattern Analysis and Machine Intelligence,10,1296-1311,IEEE,,True,njOmQFsAAAAJ:9yKSN-GCB0IC,1472,,1045651237978425040,/scholar?cites=1045651237978425040,,,,0,0,0
1275240,cryoSPARC: Algorithms for rapid unsupervised cryo-EM structure determination,2017,Ali Punjani and John L Rubinstein and David J Fleet and Marcus A Brubaker,14,Nature Methods,3,290-296,Nature Research,,True,njOmQFsAAAAJ:OTTXONDVkokC,1340,,6690181732944497496,/scholar?cites=6690181732944497496,,,,0,0,0
1275241,Turbopixels: Fast superpixels using geometric flows,2009,Alex Levinshtein and Adrian Stere and Kiriakos N Kutulakos and David J Fleet and Sven J Dickinson and Kaleem Siddiqi,31,IEEE Transactions on Pattern Analysis and Machine Intelligence,12,2290-2297,IEEE,,True,njOmQFsAAAAJ:qUcmZB5y_30C,1268,,4361442319182503563,/scholar?cites=4361442319182503563,,,,0,0,0
1275242,Stochastic tracking of 3D human figures using 2D image motion,2000,Hedvig Sidenbladh and Michael Black and David J Fleet,,European Conference on Computer Vision (ECCV),,702-718,Springer Berlin/Heidelberg,,True,njOmQFsAAAAJ:d1gkVwhDpl0C,998,,12916118103818184422,/scholar?cites=12916118103818184422,,,,0,0,0
1275243,Gaussian process dynamical models for human motion,2008,Jack M Wang and David J Fleet and Aaron Hertzmann,30,IEEE Transactions on Pattern Analysis and Machine Intelligence,2,283-298,IEEE,,True,njOmQFsAAAAJ:_FxGoFyzp5QC,897,,3411087298391794414,/scholar?cites=3411087298391794414,,,,0,0,0
1275244,Minimal loss hashing for compact binary codes,2011,Mohammad Norouzi and David J Fleet,,,,,,,True,njOmQFsAAAAJ:1qzjygNMrQYC,790,,17872221062969684001,/scholar?cites=17872221062969684001,,,,0,0,0
1275245,Optical flow estimation,2006,David J Fleet and Yair Weiss,,,,237-257,Springer US,,True,njOmQFsAAAAJ:8k81kl-MbHgC,587,,2507039621530152529,/scholar?cites=2507039621530152529,,,,0,0,0
1275246,3D people tracking with Gaussian process dynamical models,2006,Raquel Urtasun and David J Fleet and Pascal Fua,1,,,238-245,IEEE,,True,njOmQFsAAAAJ:Tyk-4Ss8FVUC,554,,14740096798132123371,/scholar?cites=14740096798132123371,,,,0,0,0
1275247,Hamming distance metric learning,2012,Mohammad Norouzi and David J Fleet and Ruslan Salakhutdinov,,,,1070-1078,,,True,njOmQFsAAAAJ:fEOibwPWpKIC,550,,13638489687562961488,/scholar?cites=13638489687562961488,,,,0,0,0
1275248,Improving resolution by image registration,1991,Michal Irani and Shmuel Peleg,53,CVGIP: Graphical models and image processing,3,231-239,Academic Press,,True,5hJNWakAAAAJ:u5HHmVD_uO8C,2503,,11162108707873054722,/scholar?cites=11162108707873054722,,,,0,0,0
1275249,Actions as space-time shapes,2005,Moshe Blank and Lena Gorelick and Eli Shechtman and Michal Irani and Ronen Basri,2,,,1395-1402,IEEE,,True,5hJNWakAAAAJ:d1gkVwhDpl0C,2064,,7355649192811663601,/scholar?cites=7355649192811663601,,,,0,0,0
1275250,Super-resolution from a single image,2009,Daniel Glasner and Shai Bagon and Michal Irani,,,,349-356,IEEE,,True,5hJNWakAAAAJ:aqlVkmm33-oC,1960,,14121332816780005307,/scholar?cites=14121332816780005307,,,,0,0,0
1275251,Actions as space-time shapes,2007,Lena Gorelick and Moshe Blank and Eli Shechtman and Michal Irani and Ronen Basri,29,IEEE transactions on pattern analysis and machine intelligence,12,2247-2253,IEEE,,True,5hJNWakAAAAJ:UeHWp8X0CEIC,1657,,3065685152751240972,/scholar?cites=3065685152751240972,,,,0,0,0
