,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1328478,EL DERECHO DE PROPIEDAD DE LOS HIDROCARBUROS EN VENEZUELA: ORIGEN Y TRADICIÓN LEGAL,2002,Jesús Mora Contreras,8,Revista Venezolana de Economía y Ciencias Sociales,2,219-235,Universidad Central de Venezuela,,True,0UOSCdIAAAAJ:d1gkVwhDpl0C,15,,1894863927706059298,/scholar?cites=1894863927706059298,,,,0,0,0
1328479,Viejos y nuevos modelos de Venezuela,1994,Carlos Domingo and María E Fargier and Jesús Mora and Andrés Rojas and Giorgio Tonella,9,Revista Economía,,27-53,,,True,0UOSCdIAAAAJ:aqlVkmm33-oC,14,,12949769431553671022,/scholar?cites=12949769431553671022,,,,0,0,0
1328480,Les entreprises publiques des pays producteurs: les trois grandes stratégies de PDVSA,1994,Jesus Mora and Ramón Espinasa,,Revue de l'Énergie,,87-94,,,True,0UOSCdIAAAAJ:u5HHmVD_uO8C,11,,13877260930780604653,/scholar?cites=13877260930780604653,,,,0,0,0
1328481,Patrimonio y globalización: la identidad culinaria como respuesta,2014,Jesús Contreras,,,,167-183,Librería Akadia Editorial,,True,0UOSCdIAAAAJ:eflP2zaiRacC,9,,11410671668142732194,/scholar?cites=11410671668142732194,,,,0,0,0
1328482,La lectura y sus circunstancias,2002,Jesús Contreras,,,,165-209,Federación de Gremios de Editores de España,,True,0UOSCdIAAAAJ:D_sINldO8mEC,9,,1358175307803042222,/scholar?cites=1358175307803042222,,,,0,0,0
1328483,Los contratos de la Apertura Petrolera,1998,Jesús Mora Contreras,,,,95-109,Universidad de Los Andes. Consejo de Publicaciones. Escuela de Economía,,True,0UOSCdIAAAAJ:hqOjcs7Dif8C,9,,1332289155534741850,/scholar?cites=1332289155534741850,,,,0,0,0
1328484,Associations stratégiques de PDVSA : forces et faiblesses,1994,Jesus Mora Contreras,28,Economies et sociétés : cahiers de l'ISMEA,9,515-528,"Cahiers de l'ISMEA / EN. Série ""Economie de l'énergie"" ; 6",,True,0UOSCdIAAAAJ:2osOgNQ5qMEC,9,,4589088274687195130,/scholar?cites=4589088274687195130,,,,0,0,0
1328485,La escuela fisiocrática,2010,Jesús Mora Contreras,5,,,,México: Ariel. Recuperado el,,True,0UOSCdIAAAAJ:_Qo2XoVZTnwC,8,,9400511311104062985,/scholar?cites=9400511311104062985,,,,0,0,0
1328486,Venezuela : Renta Petrolera. Políticas Distribucionistas. Crisis y Posibles Salidas,1999,C Domingo and M Fargier and J Mora and A Rojas and G Tonella and L Capacho and D Melcher and Orlandoni and G and V Ramírez and M Rivas,,,,117 - 163,Vicerrectorado Académico de la Universidad de Los Andes Comisión Universidad-Constituyente,,True,0UOSCdIAAAAJ:KlAtU1dfN6UC,7,,623059678940194470,/scholar?cites=623059678940194470,,,,0,0,0
1328487,Venezuela: Estado rentista. reparto y desigualdad 1999-2014,2017,J. Mora Contreras and A Rojas and M Fargier and V Ramirez and G Vargas and G Tonella and C. Domingo,,,,238,CLACSO-IIES-FACES-UCV,,True,0UOSCdIAAAAJ:SeFeTyx0c_EC,5,,9190588316753223060,/scholar?cites=9190588316753223060,,,,0,0,0
1328488,Derechos de propiedad. compañías petroleras. Estado y renta en Venezuela,2009,Jesús Mora Contreras,53,América Latina Hoy,,85-101,Ediciones Universidad de Salamanca. España,,True,0UOSCdIAAAAJ:zYLM7Y9cAGgC,5,,1878423617021290117,/scholar?cites=1878423617021290117,,,,0,0,0
1328489,El poder de las grandes empresas petroleras: 1900 – 1950 (The power of the major International Oil Companies: 1900 – 1950),2002,Jesús Mora Contreras,62,Investigación Económica,241,153-183,Facultad de Economía. Universidad Nacional Autónoma de México (UNAM),,True,0UOSCdIAAAAJ:9yKSN-GCB0IC,5,,13953406946068622342,/scholar?cites=13953406946068622342,,,,0,0,0
1328490,La capitalización de YPFB en el proceso de transformación de Bolivia en distribuidor de gas natural para el Mercosur,1998,Jesús Mora Contreras,,,,,Facultad de Ciencias Económicas y Sociales. Universidad de Los Andes (Venezuela),,True,0UOSCdIAAAAJ:YsMSGLbcyi4C,5,,15684285238641168535,/scholar?cites=15684285238641168535,,,,0,0,0
1328491,Renta de la tierra. renta petrolera y renta petrolera en Venezuela: su cuantia y significación,1989,Jesús Mora Contreras,4,Revista BCV,2,165-195,Banco Central de Venezuela,,True,0UOSCdIAAAAJ:UeHWp8X0CEIC,5,,8768173628524821023,/scholar?cites=8768173628524821023,,,,0,0,0
1328492,La apertura petrolera en Venezuela dentro del capitalismo rentistico,1999,Carlos Domingo and María Fargier and Jesús Mora and Andrés Rojas and Giorgio Tonella,24,Economía,15,25-63,,,True,0UOSCdIAAAAJ:qxL8FJ1GzNcC,4,,5429160264261998680,/scholar?cites=5429160264261998680,,,,0,0,0
1328493,Redefinición de la industria petrolera latinoamericana en el entorno de la globalización: el caso de la industria petrolera venezolana,1997,Jesús Mora,97,Memorias de CLDEA,,8-10,,,True,0UOSCdIAAAAJ:JV2RwH3_ST0C,4,,14134349969594837230,/scholar?cites=14134349969594837230,,,,0,0,0
1328494,Las bases de la política petrolera rentista y bolivariana del Gobierno de Chávez,2005,Jesús Mora Contreras,,Opiniones Contrapuestas,5,1-33,Universidad Mayor de San Simón (Cochabamba- Bolivia) e Instituto de Electrotécnica y Energía (IEE). Universidad de San Pablo (Brasil),,True,0UOSCdIAAAAJ:eQOLeE2rZwMC,3,,1890121536651784076,/scholar?cites=1890121536651784076,,,,0,0,0
1328495,Reparto de ingresos petroleros extraordinarios y apertura petrolera en Venezuela: significación,1996,Jesús Mora Contreras,,Economía/Nueva Etapa,11,107-127,Facultad de Ciencias Económicas y Sociales. Universidad de Los Andes (Venezuela),,True,0UOSCdIAAAAJ:Se3iqnhoufwC,3,,6856472062347643592,/scholar?cites=6856472062347643592,,,,0,0,0
1328496,Modelo Económico y Social de Venezuela,1995,Carlos Domingo and Maruja Fargier and Jesús Mora and Vicente Ramírez and Andrés Rojas and Giorgio Tonella,,,,320,CESIMO,,True,0UOSCdIAAAAJ:1sJd4Hv_s6UC,3,,17635940932462376589,/scholar?cites=17635940932462376589,,,,0,0,0
1328497,Triple función del petróleo en la sociedad e interrogantes petroleras para Venezuela,1994,Jesús Mora Contreras,,Revista Economía - Nueva Etapa,9,109-130,Facultad de Ciencias Económicas y Sociales. Universidad de Los Andes (Venezuela),,True,0UOSCdIAAAAJ:_FxGoFyzp5QC,3,,7700858557546377918,/scholar?cites=7700858557546377918,,,,0,0,0
1328498,Contratos de exploración y producción de petróleo: los contratos de arrendamiento de petróleo y gas,2015,Jesús Mora Contreras,,,012,10,http://encyclopedie-energie.org/rubriques-darticles/sources-fossiles,,True,0UOSCdIAAAAJ:8k81kl-MbHgC,2,,588377212989221116,/scholar?cites=588377212989221116,,,,0,0,0
1328499,Contratos de exploración y producción de petróleo: Origen y evolución,2012,Jesús Mora Contreras,,,,146,Consejo de Publicaciones y Facultad de Ciencias Económicas y Sociales de la Universidad de Los Andes. con el auspicio del Banco Central de Venezuela,,True,0UOSCdIAAAAJ:Tyk-4Ss8FVUC,2,,14609340521345861263,/scholar?cites=14609340521345861263,,,,0,0,0
1328500,Ventajas para la integración energética de América del Sur,2008,Jesús Mora Contreras,,,,33-52,FLACSO. Sede Ecuador. y Ministerio de Cultura del Ecuador,,True,0UOSCdIAAAAJ:W7OEmFMy1HYC,2,,16127408978377064390,/scholar?cites=16127408978377064390,,,,0,0,0
