,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,got_publications,got_coauthors
27,Strieter Consulting,@virginia.edu,89375,IzQbe8YAAAAJ,False,Early drug development|Immunology|Inflammation|Fibrosis|Angiogenesis,"Robert M. Strieter, MD",https://scholar.google.com/citations?view_op=medium_photo&user=IzQbe8YAAAAJ,0,0
28,"HHMI, The Rockefeller University",@rockefeller.edu,87716,7FMLxGkAAAAJ,False,Immunology,michel nussenzweig,https://scholar.google.com/citations?view_op=medium_photo&user=7FMLxGkAAAAJ,0,0
29,Stanford University,@stanford.edu,86871,GljRwkUAAAAJ,False,immunology,Mark M. Davis,https://scholar.google.com/citations?view_op=medium_photo&user=GljRwkUAAAAJ,0,0
30,Lyell Immunopha,@lyell.com,85983,LVBMEQ8AAAAJ,False,Immunology|Tumor Immunology|T cell differentiation,"Nicholas P Restifo, MD",https://scholar.google.com/citations?view_op=medium_photo&user=LVBMEQ8AAAAJ,0,0
31,,,85760,Vq6NVkAAAAAJ,False,Immunology|Immunotherapy,James Allison,https://scholar.google.com/citations?view_op=medium_photo&user=Vq6NVkAAAAAJ,0,0
32,National Institutes for Quantum and Radiological Science and Technology,@alumni.osaka-u.ac.jp,84051,m5gIzNUAAAAJ,False,Immunology,Toshio Hirano,https://scholar.google.com/citations?view_op=medium_photo&user=m5gIzNUAAAAJ,0,0
33,,@liai.org,83513,Ep4PitkAAAAJ,False,immunology|MHC|bioinformatics|virology|microbiology,Alessandro Sette,https://scholar.google.com/citations?view_op=medium_photo&user=Ep4PitkAAAAJ,0,0
34,"Division of Infectious Diseases and International Health, University of Virginia",@virginia.edu,78859,6yMIM1MAAAAJ,False,Infectious diseases|global health|parasitology|immunology|microbiology,"William A. Petri, Jr., MD, Pj.D.",https://scholar.google.com/citations?view_op=medium_photo&user=6yMIM1MAAAAJ,0,0
35,Washington University,@wustl.edu,78615,AcFkmbcAAAAJ,False,Immunology,Kenneth M. Murphy,https://scholar.google.com/citations?view_op=medium_photo&user=AcFkmbcAAAAJ,0,0
36,professor in rheumatology Karolinska Institutet,@ki.se,78176,8G5QgykAAAAJ,False,Rheumatology|immunology|genetics|immunotherapy,lars klareskog,https://scholar.google.com/citations?view_op=medium_photo&user=8G5QgykAAAAJ,0,0
37,"GlaxoSmithKline, Kintai Therapeutics, Academic Medical Center, Amsterdam University …",,77544,il0b8HsAAAAJ,False,immunology|oncology|rheumatology|internal medicine,Paul Peter Tak,https://scholar.google.com/citations?view_op=medium_photo&user=il0b8HsAAAAJ,0,0
38,"Department of Immunobiology, Yale University",@yale.edu,77022,QK8z7dYAAAAJ,False,Immunology|T-cell biology|cancer|immunotherapy,Lieping Chen,https://scholar.google.com/citations?view_op=medium_photo&user=QK8z7dYAAAAJ,0,0
39,The Walter and Eliza Hall Institute,@wehi.edu.au,76881,ixs9MCIAAAAJ,False,cell death|cancer|immunology,Andreas Strasser,https://scholar.google.com/citations?view_op=medium_photo&user=ixs9MCIAAAAJ,0,0
40,"TUM Emeritus of Excellence:  Med. Mikrobiologie , Immunolgy and Hygiene",@lrz.tu-muenchen.de,76125,v3Fzj8QAAAAJ,False,Immunology,Hermann Wagner,https://scholar.google.com/citations?view_op=medium_photo&user=v3Fzj8QAAAAJ,0,0
41,"Dept. Immunology, Max Planck Institute for Infection Biology",@mpiib-berlin.mpg.de,75780,8MFp8N4AAAAJ,False,Immunology|Infection|Microbiology|Vaccinology|Tuberculosis,Stefan HE Kaufmann,https://scholar.google.com/citations?view_op=medium_photo&user=8MFp8N4AAAAJ,0,0
42,Karolinska Institute,@ki.se,75570,kBsrta0AAAAJ,False,Cardiovascular Medicine|Immunology,Goran K. Hansson,https://scholar.google.com/citations?view_op=medium_photo&user=kBsrta0AAAAJ,0,0
43,"Research Center for Biological Therapy, Beijing 302 Hospital, Beijing, China",@moon.ibp.ac.cn,75343,Fqi0PiYAAAAJ,False,Immunology|virus|infection,Zheng Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=Fqi0PiYAAAAJ,0,0
44,"Professor of Medicine, UC San Diego",@ucsd.edu,75144,7-JruXEAAAAJ,False,Hematology/Oncology|Biology|Immunology,Thomas J. Kipps,https://scholar.google.com/citations?view_op=medium_photo&user=7-JruXEAAAAJ,0,0
45,"Professor of Neurology and Immunobiology, Yale University",@yale.edu,74548,_R2wQEkAAAAJ,False,neuroimmunology|immunology,David Hafler,https://scholar.google.com/citations?view_op=medium_photo&user=_R2wQEkAAAAJ,0,0
