,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1155234,Pressure-induced amorphization of crystalline silica,1988,RJ Hemley and AP Jephcoat and Hi K Mao and LC Ming and MH Manghnani,334,Nature,6177,52-54,Nature Publishing Group,,True,lodo_YAAAAAJ:u-x6o8ySG0sC,637,,7067238560279845060,/scholar?cites=7067238560279845060,,,0,0,0
1155235,Pressure measurement at high temperature in X-ray diffraction studies: gold as a primary standard,1982,JC Jamieson and FRITZ JN and MANGHNANI MH,,,,,,,True,lodo_YAAAAAJ:d1gkVwhDpl0C,260,,292676149031352385,/scholar?cites=292676149031352385,,,0,0,0
1155236,Equivalence of the boson peak in glasses to the transverse acoustic van hove singularity in crystals,2011,AI Chumakov and G Monaco and A Monaco and WA Crichton and A Bosak and R Rüffer and A Meyer and F Kargl and L Comez and D Fioretto and H Giefers and S Roitsch and G Wortmann and MH Manghnani and A Hushur and Q Williams and J Balogh and K Parliński and P Jochym and P Piekarz,106,Physical review letters,22,225501,American Physical Society,,True,lodo_YAAAAAJ:4JMBOYKVnBMC,255,,12382161811229854845,/scholar?cites=12382161811229854845,,,0,0,0
1155237,Pressure derivatives of the elastic moduli of BCC Ti-V-Cr. Nb-Mo and Ta-W alloys,1979,KW Katahara and MH Manghnani and ES Fisher,9,Journal of Physics F: Metal Physics,5,773,IOP Publishing,,True,lodo_YAAAAAJ:9yKSN-GCB0IC,235,,10792610120692385982,/scholar?cites=10792610120692385982,,,0,0,0
1155238,Pressure dependence of Raman spectra of SiO2 polymorphs: a-quartz. coesite. and stishovite,1987,RJ Hemley,,High-pressure research in mineral physics,,347-359,Terra Scientific Publishing Company. Terrapub. Tokyo,,True,lodo_YAAAAAJ:YsMSGLbcyi4C,199,,3040120232535073643,/scholar?cites=3040120232535073643,,,0,0,0
1155239,Effects of pore and differential pressure on compressional wave velocity and quality factor in Berea and Michigan sandstones,1997,Manika Prasad and Murli H Manghnani,62,Geophysics,4,1163-1176,Society of Exploration Geophysicists,,True,lodo_YAAAAAJ:UeHWp8X0CEIC,194,,1813268163262388292,/scholar?cites=1813268163262388292,,,0,0,0
1155240,Compressional and shear wave velocities in granulite facies rocks and eclogites to 10 kbar,1974,Murli H Manghnani and R Ramananantoandro and Sydney P Clark Jr,79,Journal of Geophysical Research,35,5427-5446,,,True,lodo_YAAAAAJ:2osOgNQ5qMEC,180,,12914329942089776745,/scholar?cites=12914329942089776745,,,0,0,0
1155241,Elastic constants of single‐crystal rutile under pressures to 7.5 kilobars,1969,Murli H Manghnani,74,Journal of Geophysical Research,17,4317-4328,,,True,lodo_YAAAAAJ:qjMakFHDy7sC,179,,12038559600509632986,/scholar?cites=12038559600509632986,,,0,0,0
1155242,Isothermal compression of bcc transition metals to 100 kbar,1978,Li‐chung Ming and Murli H Manghnani,49,Journal of Applied Physics,1,208-212,American Institute of Physics,,True,lodo_YAAAAAJ:Tyk-4Ss8FVUC,122,,1789645287898273547,/scholar?cites=1789645287898273547,,,0,0,0
1155243,Elastic moduli of paramagnetic chromium and Ti-V-Cr alloys,1979,KW Katahara and M Nimalendran and MH Manghnani and ES Fisher,9,Journal of Physics F: Metal Physics,11,2167,IOP Publishing,,True,lodo_YAAAAAJ:Y0pCki6q_DkC,100,,2503111355842288380,/scholar?cites=2503111355842288380,,,0,0,0
1155244,Infrared absorption spectra of sodium silicate glasses at high pressures,1972,John R Ferraro and Murli H Manghnani,43,Journal of Applied Physics,11,4595-4599,American Institute of Physics,,True,lodo_YAAAAAJ:zYLM7Y9cAGgC,98,,1490109236340265917,/scholar?cites=1490109236340265917,,,0,0,0
1155245,Equations for the elastic constants and their pressure derivatives for three cubic lattices and some geophysical applications,1970,Orson L Anderson and Robert C Liebermann,3,Physics of the Earth and Planetary Interiors,,61-85,Elsevier,,True,lodo_YAAAAAJ:OBSaB-F7qqsC,82,,5018614859536426047,/scholar?cites=5018614859536426047,,,0,0,0
1155246,Pressure derivatives of the elastic moduli of niobium and tantalum,1976,KW Katahara and MH Manghnani and ES Fisher,47,Journal of Applied Physics,2,434-439,American Institute of Physics,,True,lodo_YAAAAAJ:WF5omc3nYNoC,80,,1692618862287927786,/scholar?cites=1692618862287927786,,,0,0,0
