,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1156529,A strategy for producing pure single‐layer graphene sheets based on a confined self‐assembly approach,2009,Weixia Zhang and Jiecheng Cui and Cheng‐an Tao and Yiguang Wu and Zhanping Li and Li Ma and Yuquan Wen and Guangtao Li,121,Angewandte Chemie,32,5978-5982,WILEY‐VCH Verlag,,True,dfaNlWoAAAAJ:u5HHmVD_uO8C,308,,1093370725562527785,/scholar?cites=1093370725562527785,,,0,0,0
1156530,Microfluidic fabrication of microparticles for biomedical applications,2018,Wen Li and Liyuan Zhang and Xuehui Ge and Biyi Xu and Weixia Zhang and Liangliang Qu and Chang-Hyung Choi and Jianhong Xu and Afang Zhang and Hyomin Lee and David A Weitz,47,,15,5646-5683,Royal Society of Chemistry,,True,dfaNlWoAAAAJ:wyM6WWKXmoIC,143,,14514438210885064930,/scholar?cites=14514438210885064930,,,0,0,0
1156531,Photonic Ionic Liquids Polymer for Naked‐Eye Detection of Anions,2008,Xiaobin Hu and Jing Huang and Weixia Zhang and Mohan Li and Chengan Tao and Guangtao Li,20,Advanced Materials,21,4074-4078,WILEY‐VCH Verlag,,True,dfaNlWoAAAAJ:u-x6o8ySG0sC,136,,16431997352466952470,/scholar?cites=16431997352466952470,,,0,0,0
1156532,Graphene-based nanomaterials for drug and/or gene delivery. bioimaging. and tissue engineering,2017,Hong Zhao and Ruihua Ding and Xin Zhao and Yiwei Li and Liangliang Qu and Hao Pei and Lara Yildirimer and Zhengwei Wu and Weixia Zhang,22,,9,1302-1317,Elsevier Current Trends,,True,dfaNlWoAAAAJ:H7nrzBkawXsC,124,,12101967534730335964,/scholar?cites=12101967534730335964,,,0,0,0
1156533,3D-ordered macroporous poly (ionic liquid) films as multifunctional materials,2010,Jing Huang and Chang-an Tao and Qi An and Weixia Zhang and Yiguang Wu and Xuesong Li and Dezhong Shen and Guangtao Li,46,Chemical communications,6,967-969,Royal Society of Chemistry,,True,dfaNlWoAAAAJ:qjMakFHDy7sC,102,,6523306972667089334,/scholar?cites=6523306972667089334,,,0,0,0
1156534,Bioinspired graphene membrane with temperature tunable channels for water gating and molecular separation,2017,Jingchong Liu and Nü Wang and Li-Juan Yu and Amir Karton and Wen Li and Weixia Zhang and Fengyun Guo and Lanlan Hou and Qunfeng Cheng and Lei Jiang and David A Weitz and Yong Zhao,8,Nature communications,1,1-9,Nature Publishing Group,,True,dfaNlWoAAAAJ:3_LpOwP6eMYC,87,,6977708362916170777,/scholar?cites=6977708362916170777,,,0,0,0
1156535,A general and efficient method to form self-assembled cucurbit [n] uril monolayers on gold surfaces,2008,Qi An and Guangtao Li and Chengan Tao and Yan Li and Yiguang Wu and Weixia Zhang,,Chemical communications,17,1989-1991,Royal Society of Chemistry,,True,dfaNlWoAAAAJ:UeHWp8X0CEIC,62,,16195286253016137169,/scholar?cites=16195286253016137169,,,0,0,0
1156536,Bio-inspired intelligent structural color materials,2019,Luoran Shang and Weixia Zhang and Ke Xu and Yuanjin Zhao,,Materials Horizons,,,The Royal Society of Chemistry,,True,dfaNlWoAAAAJ:Vno172sVVMwC,60,,3915619397803704874,/scholar?cites=3915619397803704874,,,0,0,0
1156537,Use of graphene as protection film in biological environments,2014,Weixia Zhang and Sudarat Lee and Kelly L McNear and Ting Fung Chung and Seunghyun Lee and Kyunghoon Lee and Scott A Crist and Timothy L Ratliff and Zhaohui Zhong and Yong P Chen and Chen Yang,4,Scientific Reports,,4097,Nature Publishing Group,,True,dfaNlWoAAAAJ:BqipwSGYUEgC,58,,16302653283875084585,/scholar?cites=16302653283875084585,,,0,0,0
1156538,Microfluidic Fabrication of Colloidal Nanomaterials-Encapsulated Microcapsules for Biomolecular Sensing,2017,Xi Xie* and Weixia Zhang* and Alireza Abbaspourrad* and Jiyoung Ahn and Andrew Bader and Suman Bose and Arturo Vegas and Jiaqi Lin and Jun Tao and Tian Hang and Hyomin Lee and Nicole Iverson and Gili Bisker and Linxian Li and Michael S Strano and David A Weitz and Daniel G Anderson,17,Nano letters,3,2015-2020,AMER CHEMICAL SOC,,True,dfaNlWoAAAAJ:bVQMTfhMCi4C,51,,7002358924518186686,/scholar?cites=7002358924518186686,,,0,0,0
