,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1177912,TLR7/8-agonist-loaded nanoparticles promote the polarization of tumour-associated macrophages to enhance cancer immunotherapy,2018,Christopher B Rodell and Sean P Arlauckas and Michael F Cuccarese and Christopher S Garris and Ran Li and Maaz S Ahmed and Rainer H Kohler and Mikael J Pittet and Ralph Weissleder,2,Nature biomedical engineering,8,578-588,Nature Publishing Group,,True,2o1QrvAAAAAJ:_FxGoFyzp5QC,287,,2054024677910797930,/scholar?cites=2054024677910797930,,,0,0,0
1177913,In vivo imaging reveals a tumor-associated macrophage–mediated resistance pathway in anti–PD-1 therapy,2017,Sean P Arlauckas and Christopher S Garris and Rainer H Kohler and Maya Kitaoka and Michael F Cuccarese and Katherine S Yang and Miles A Miller and Jonathan C Carlson and Gordon J Freeman and Robert M Anthony and Ralph Weissleder and Mikael J Pittet,9,Science translational medicine,389,,American Association for the Advancement of Science,,True,2o1QrvAAAAAJ:YsMSGLbcyi4C,267,,11200567513011298776,/scholar?cites=11200567513011298776,,,0,0,0
1177914,Heterogeneity of macrophage infiltration and therapeutic response in lung carcinoma revealed by 3D organ imaging,2017,Michael F Cuccarese and J Matthew Dubach and Christina Pfirschke and Camilla Engblom and Christopher Garris and Miles A Miller and Mikael J Pittet and Ralph Weissleder,8,Nature communications,1,1-10,Nature Publishing Group,,True,2o1QrvAAAAAJ:W7OEmFMy1HYC,103,,9426264718594459451,/scholar?cites=9426264718594459451,,,0,0,0
1177915,Radiation therapy primes tumors for nanotherapeutic delivery via macrophage-mediated vascular bursts,2017,Miles A Miller and Ravi Chandra and Michael F Cuccarese and Christina Pfirschke and Camilla Engblom and Shawn Stapleton and Utsarga Adhikary and Rainer H Kohler and James F Mohan and Mikael J Pittet and Ralph Weissleder,9,Science translational medicine,392,,American Association for the Advancement of Science,,True,2o1QrvAAAAAJ:eQOLeE2rZwMC,100,,4452469568764907886,/scholar?cites=4452469568764907886,,,0,0,0
1177916,Quantitating drug-target engagement in single cells in vitro and in vivo,2017,J Matthew Dubach and Eunha Kim and Katherine Yang and Michael Cuccarese and Randy J Giedt and Labros G Meimetis and Claudio Vinegoni and Ralph Weissleder,13,Nature chemical biology,2,168,Nature Publishing Group,,True,2o1QrvAAAAAJ:Tyk-4Ss8FVUC,62,,4051361193028640890,/scholar?cites=4051361193028640890,,,0,0,0
1177917,Modern synthetic methods in carbohydrate chemistry: From monosaccharides to complex glycoconjugates,2013,David Crich,,,,,John Wiley & Sons,,True,2o1QrvAAAAAJ:WF5omc3nYNoC,50,,7811499738869240626,/scholar?cites=7811499738869240626,,,0,0,0
1177918,Asymmetric synthesis II: more methods and applications,2013,Mathias Christmann and Stefan Bräse,,,,,John Wiley & Sons,,True,2o1QrvAAAAAJ:zYLM7Y9cAGgC,42,,17831979779884286761,/scholar?cites=17831979779884286761,,,0,0,0
1177919,Cryptocaryol Structure–Activity Relationship Study of Cancer Cell Cytotoxicity and Ability to Stabilize PDCD4,2014,Michael F Cuccarese and Yanping Wang and Penny J Beuning and George A O’Doherty,5,ACS medicinal chemistry letters,5,522-526,American Chemical Society,,True,2o1QrvAAAAAJ:u5HHmVD_uO8C,24,,17292125674721477834,/scholar?cites=17292125674721477834,,,0,0,0
1177920,A novel use of gentamicin in the ROS-mediated sensitization of NCI-H460 lung cancer cells to various anticancer agents,2013,Michael F Cuccarese and Amit Singh and Mansoor Amiji and George A O’Doherty,8,ACS chemical biology,12,2771-2777,American Chemical Society,,True,2o1QrvAAAAAJ:u-x6o8ySG0sC,23,,1905915095979678876,/scholar?cites=1905915095979678876,,,0,0,0
1177921,In vivo imaging reveals a tumor-associated macrophage–mediated resistance pathway in anti–PD-1 therapy. Sci Transl Med. 2017; 9: eaal3604,,SP Arlauckas and CS Garris and RH Kohler and M Kitaoka and MF Cuccarese and KS Yang and MA Miller and JC Carlson and GJ Freeman and RM Anthony and R Weissleder and MJ Pittet,,,,,,,True,2o1QrvAAAAAJ:roLk4NBRz8UC,21,,17087968329607408337,/scholar?cites=17087968329607408337,,,0,0,0
1177922,Near infrared imaging of Mer tyrosine kinase (MERTK) using MERi-SiR reveals tumor associated macrophage uptake in metastatic disease,2018,Miles A Miller and Eunha Kim and Michael F Cuccarese and Alec L Plotkin and Mark Prytyskach and Rainer H Kohler and Mikael J Pittet and Ralph Weissleder,54,Chemical Communications,1,42-45,Royal Society of Chemistry,,True,2o1QrvAAAAAJ:ufrVoPGSRksC,15,,13845164409968502455,/scholar?cites=13845164409968502455,,,0,0,0
1177923,Application of the Wharton Rearrangement for the de novo Synthesis of Pyranosides with ido. manno. and colito Stereochemistry,2013,Michael F Cuccarese and Hua‐Yu Leo Wang and George A O'Doherty,2013,European Journal of Organic Chemistry,15,3067-3075,WILEY‐VCH Verlag,,True,2o1QrvAAAAAJ:d1gkVwhDpl0C,8,,7039382858145108844,/scholar?cites=7039382858145108844,,,0,0,0
1177924,De novo approaches to monosaccharides and complex glycans,2014,Michael F Cuccarese and Jiazhen J Li and George A O’Doherty,,Modern Synthetic Methods in Carbohydrate Chemistry,,,,,True,2o1QrvAAAAAJ:9yKSN-GCB0IC,2,,18293804346470002607,/scholar?cites=18293804346470002607,,,0,0,0
1177925,Application of the Achmatowicz Rearrangement for the Synthesis of Oligosaccharides,2012,Michael F Cuccarese and George A O'doherty,,Asymmetric Synthesis II: More Methods and Applications,,249-259,Wiley‐VCH Verlag GmbH & Co. KGaA,,True,2o1QrvAAAAAJ:LkGwnXOMwfcC,1,,6665723837895554720,/scholar?cites=6665723837895554720,,,0,0,0
