,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1078299,Purification and Characterization of Thermostable Chitinase from Bacillus SW41 for Chitin Oligomer Production [http://www.asianjournalofchemistry.co.in/user/journal/viewarticle …,2016,S Wahyuni and M T Suhartono and A Khaeruni and A S Purnomo and Asranudin and Holilah and P A Riupassa,28,Asian Journal of Chemistry,12,2731-2736,Asian Publication Corporation,,True,w49JdmEAAAAJ:Y0pCki6q_DkC,19,,7946372050660614311,/scholar?cites=7946372050660614311,,,0,0,0
1078300,The Molecular Diversity-based ISSR of Durio tanjungpurensis Originating from West Kalimantan. Indonesia [http://journal.ui.ac.id/index.php/science/article/view/4479],2015,Pieter Agusthinus Riupassa and Tatik Chikmawati and Miftahudin and Suharsono,19,Makara Journal of Science,1,27-36,Directorate of Research and Community Engagement. Universitas Indonesia,,True,w49JdmEAAAAJ:d1gkVwhDpl0C,6,,13292267489571046084,/scholar?cites=13292267489571046084,,,0,0,0
1078301,Keragaman Genetika Bakteri Metilotrof Fakultatif Berpigmen Merah Muda pada Beberapa Sayuran Lalaban [Genetic Diversity of Pink-Pigmented Facultative Methylotroph (PPFM …,2004,Pieter Agusthinus Riupassa and Antonius Suwanto,11,Jurnal Hayati (HAYATI Journal of Biosciences),4,153-158,HAYATI Journal of Biosciences. IPB (Bogor Agricultaral University),,True,w49JdmEAAAAJ:qjMakFHDy7sC,5,,9819889091270199430,/scholar?cites=9819889091270199430,,,0,0,0
1078302,Perancangan Primer Oligonukleotida untuk Polimerisasi in Vitro Gen Sukrosa Sintase [http://journal.bio.unsoed.ac.id/index.php/biosfera/article/viewFile/182/141],2009,Pieter Agustinus Riupassa,26,Biosfera,3,131-137,,,True,w49JdmEAAAAJ:IjCSPb-OGe4C,3,,7362508031613832010,/scholar?cites=7362508031613832010,,,0,0,0
1078303,Keragaman Genetik Durian (Durio Spp) Berdasarkan Penanda Inter-Simple Sequence Repeat (Issr) [http://repository.ipb.ac.id/handle/123456789/80621],2016,Pieter Agusthinus Riupassa,,,,,,,True,w49JdmEAAAAJ:UeHWp8X0CEIC,2,,8231345846422858120,/scholar?cites=8231345846422858120,,,0,0,0
1078304,The abundance of phyllosphere bacteria isolated from some Indonesian fresh leafy salad (lalaban),2005,Pieter Agusthinus Riupassa and Antonius Suwanto and Aris Tjahjoleksono,10,Microbiology Indonesia,2,,,,True,w49JdmEAAAAJ:u-x6o8ySG0sC,2,,5679999638395759277,/scholar?cites=5679999638395759277,,,0,0,0
1078305,Kelimpahan dan keragaman genetik bakteri pink pigmented facultative methylotroph dari beberapa daun sayuran lalapan [http://repository.ipb.ac.id/handle/123456789/7670],2003,Pieter Agusthinus Riupassa,,,,,IPB (Bogor Agricultural University),,True,w49JdmEAAAAJ:u5HHmVD_uO8C,2,,9732214280821895719,/scholar?cites=9732214280821895719,,,0,0,0
1078306,Notes on taxonomy and distribution of some liverworts of tropical Asia,2019,Xing-Feng Bi and You-Liang Xiang and Pieter Agusthinus Riupassa and Kresyan Pentury and Haji Mohamed and Andi Maryani A Mustapeng and Monica Suleiman and Lei Shu and Lee Ping Ang and Chatchaba Promma and Xia-Fang Cheng and Rui-Liang Zhu,418,Phytotaxa,2,219-229,,,True,w49JdmEAAAAJ:WF5omc3nYNoC,0,,,,,,0,0,0
1078307,Soella (Marchantiophyta: Lejeuneaceae). a new genus from China and Japan,2018,Yu-Mei Wei Rui-Liang Zhu and Lei Shu and Qiong He,,,,,,,True,w49JdmEAAAAJ:YsMSGLbcyi4C,0,,,,,,0,0,0
1078308,Species-specific Loci of Three Indonesian Durio Inferred from ISSR Fingerprinting [http://www.sciencedomain.org/issue/1696 or http://www.sciencedomain.org/download/MTU1MDFAQHBm …,2016,Pieter Agusthinus Riupassa and Miftahudin and Suharsono and Tatik Chikmawati,10,Annual Research & Review in Biology,5,1-11,SCIENCEDOMAIN International,,True,w49JdmEAAAAJ:Tyk-4Ss8FVUC,0,,,,,,0,0,0
1078309,Pola Perkembangan Vegetasi Herba Daerah Pascabakar Merapi di Tebing Kali Boyong Yogyakarta dengan Metode Removal,1997,P A Riupassa and T S Djohan and M Nasir and Purnomo,,,,,,,True,w49JdmEAAAAJ:eQOLeE2rZwMC,0,,,,,,0,0,0
