,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1196937,Degradation of polymer-electrolyte membranes in fuel cells: I. experimental,2009,T Madden and D Weiss and N Cipollini and D Condit and M Gummalla and S Burlatsky and V Atrazhev,156,Journal of The Electrochemical Society,5,B657,IOP Publishing,,True,494LBvsAAAAJ:u5HHmVD_uO8C,67,,4624115128670813678,/scholar?cites=4624115128670813678,,,0,0,0
1196938,Degradation of polymer-electrolyte membranes in fuel cells: II. Theoretical model,2010,M Gummalla and VV Atrazhev and D Condit and N Cipollini and T Madden and NY Kuzminyh and D Weiss and SF Burlatsky,157,Journal of The Electrochemical Society,11,B1542,IOP Publishing,,True,494LBvsAAAAJ:2osOgNQ5qMEC,58,,5646342082903924151,/scholar?cites=5646342082903924151,,,0,0,0
1196939,A carbon corrosion model to evaluate the effect of steady state and transient operation of a polymer electrolyte membrane fuel cell,2013,Arun Pandy and Zhiwei Yang and Mallika Gummalla and Vadim V Atrazhev and Nikolay Yu Kuzminyh and Vadim I Sultanov and Sergei Burlatsky,160,Journal of the Electrochemical Society,9,F972,IOP Publishing,,True,494LBvsAAAAJ:KlAtU1dfN6UC,54,,5717894698822186060,/scholar?cites=5717894698822186060,,,0,0,0
1196940,Surface tension model for surfactant solutions at the critical micelle concentration,2013,Sergei F Burlatsky and Vadim V Atrazhev and Dmitry V Dmitriev and Vadim I Sultanov and Elena N Timokhina and Elena A Ugolkova and Sonia Tulyani and Antonio Vincitore,393,Journal of colloid and interface science,,151-160,Academic Press,,True,494LBvsAAAAJ:YsMSGLbcyi4C,54,,17893853635159527712,/scholar?cites=17893853635159527712,,,0,0,0
1196941,The impact of thermal conductivity and diffusion rates on water vapor transport through gas diffusion layers,2009,Sergei F Burlatsky and Vadim V Atrazhev and Mallika Gummalla and Dave A Condit and Fuqiang Liu,190,Journal of Power Sources,2,485-492,Elsevier,,True,494LBvsAAAAJ:d1gkVwhDpl0C,52,,12106053952938197115,/scholar?cites=12106053952938197115,,,0,0,0
1196942,A mathematical model for predicting the life of polymer electrolyte fuel cell membranes subjected to hydration cycling,2012,SF Burlatsky and M Gummalla and J O'Neill and VV Atrazhev and AN Varyukhin and DV Dmitriev and NS Erikhman,215,Journal of Power Sources,,135-144,Elsevier,,True,494LBvsAAAAJ:zYLM7Y9cAGgC,39,,18099389548483061823,/scholar?cites=18099389548483061823,,,0,0,0
1196943,The dynamics of platinum precipitation in an ion exchange membrane,2011,SF Burlatsky and M Gummalla and VV Atrazhev and DV Dmitriev and NY Kuzminyh and NS Erikhman,158,Journal of The Electrochemical Society,3,B322,IOP Publishing,,True,494LBvsAAAAJ:UeHWp8X0CEIC,35,,4931607169831263363,/scholar?cites=4931607169831263363,,,0,0,0
1196944,Aspects of PEMFC degradation,2006,Sergei F Burlatsky and Vadim Atrazhev and Ned Cipollini and David Condit and Nikolai Erikhman,1,ECS Transactions,8,239,IOP Publishing,,True,494LBvsAAAAJ:u-x6o8ySG0sC,35,,7864366559063938721,/scholar?cites=7864366559063938721,,,0,0,0
1196945,The potential of catalytic particle in ion exchange membrane,2007,VV Atrazhev and NS Erikhman and SF Burlatsky,601,Journal of Electroanalytical Chemistry,1-2,251-259,Elsevier,,True,494LBvsAAAAJ:9yKSN-GCB0IC,31,,1149967183327387860,/scholar?cites=1149967183327387860,,,0,0,0
1196946,Direct mechanism of OH radicals formation in PEM fuel cells,2008,Vadim Atrazhev and Elena Timokhina and Sergey F Burlatsky and Vadim Sultanov and Thomas Madden and Mallika Gummalla,6,ECS Transactions,25,69,IOP Publishing,,True,494LBvsAAAAJ:qjMakFHDy7sC,28,,12207735430832447820,/scholar?cites=12207735430832447820,,,0,0,0
