,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090094,Phytate in foods and significance for humans: food sources. intake. processing. bioavailability. protective role and analysis,2009,,,,,,,,False,0azNTzAAAAAJ:ufrVoPGSRksC,641,,,,,,,0,0,0
1090095,Sialolithiasis: mechanism of calculi formation and etiologic factors,2003,,,,,,,,False,0azNTzAAAAAJ:EkHepimYqZsC,234,,,,,,,0,0,0
1090096,Renal lithiasis and nutrition,2006,,,,,,,,False,0azNTzAAAAAJ:owLR8QvbtFgC,182,,,,,,,0,0,0
1090097,Simple classification of renal calculi closely related to their micromorphology and etiology,2002,,,,,,,,False,0azNTzAAAAAJ:mB3voiENLucC,165,,,,,,,0,0,0
1090098,Absorption and excretion of orally administered inositol hexaphosphate (IP6 or phytate) in humans,2001,,,,,,,,False,0azNTzAAAAAJ:Fu2w8maKXqMC,147,,,,,,,0,0,0
1090099,Urinary phytate in calcium oxalate stone formers and healthy people: dietary effects on phytate excretion,2000,,,,,,,,False,0azNTzAAAAAJ:AXkvAH5U_nMC,144,,,,,,,0,0,0
1090100,Heat stress nephropathy from exercise-induced uric acid crystalluria: a perspective on Mesoamerican nephropathy,2016,,,,,,,,False,0azNTzAAAAAJ:D03iK_w7-QYC,135,,,,,,,0,0,0
1090101,Urolithiasis and phytotherapy,1994,,,,,,,,False,0azNTzAAAAAJ:LdasjJ6CEcoC,127,,,,,,,0,0,0
1090102,Lemon juice has protective activity in a rat urolithiasis model,2007,,,,,,,,False,0azNTzAAAAAJ:QIV2ME_5wuYC,122,,,,,,,0,0,0
1090103,Phytate (IP6) is a powerful agent on preventing calcification in biological fluids. Usefulness in renal lithiasis treatment,1999,,,,,,,,False,0azNTzAAAAAJ:YohjEiUPhakC,119,,,,,,,0,0,0
1090104,Effects of phytate and pyrophosphate on brushite and hydroxyapatite crystallization,2000,,,,,,,,False,0azNTzAAAAAJ:9c2xU6iGI7YC,118,,,,,,,0,0,0
1090105,Biopathological crystallization: a general view about the mechanisms of renal stone formation,1998,,,,,,,,False,0azNTzAAAAAJ:HGTzPopzzJcC,113,,,,,,,0,0,0
1090106,Effects of phytic acid on renal stone formation in rats,1998,,,,,,,,False,0azNTzAAAAAJ:2osOgNQ5qMEC,109,,,,,,,0,0,0
1090107,Phytate acts as an inhibitor in formation of renal calculi,2007,,,,,,,,False,0azNTzAAAAAJ:4xDN1ZYqzskC,105,,,,,,,0,0,0
1090108,Type of renal calculi: variation with age and sex,2007,,,,,,,,False,0azNTzAAAAAJ:nrtMV_XWKgEC,96,,,,,,,0,0,0
1090109,Variation of InsP4. InsP5 and InsP6 levels in tissues and biological fluids depending on dietary phytate,2001,,,,,,,,False,0azNTzAAAAAJ:UxriW0iASnsC,93,,,,,,,0,0,0
1090110,Determination of uric acid in urine. saliva and calcium oxalate renal calculi by high-performance liquid chromatography/mass spectrometry,2005,,,,,,,,False,0azNTzAAAAAJ:K3LRdlH-MEoC,91,,,,,,,0,0,0
1090111,Inositol hexakisphosphate in urine: the relationship between oral intake and urinary excretion,2000,,,,,,,,False,0azNTzAAAAAJ:tzM49s52ZIMC,88,,,,,,,0,0,0
1090112,The influence of Zea mays on urinary risk factors for kidney stones in rats,1993,,,,,,,,False,0azNTzAAAAAJ:kuK5TVdYjLIC,88,,,,,,,0,0,0
1090113,Phytate prevents tissue calcifications in female rats,2000,,,,,,,,False,0azNTzAAAAAJ:J_g5lzvAfSwC,87,,,,,,,0,0,0
1090114,Phytate levels in diverse rat tissues: influence of dietary phytate,2001,,,,,,,,False,0azNTzAAAAAJ:zLWjf1WUPmwC,85,,,,,,,0,0,0
1090115,Development of calcium oxalate crystals on urothelium: effect of free radicals,1998,,,,,,,,False,0azNTzAAAAAJ:q3oQSFYPqjQC,80,,,,,,,0,0,0
1090116,Effect of Herniaria hirsuta and Agropyron repens on calcium oxalate urolithiasis risk in rats,1995,,,,,,,,False,0azNTzAAAAAJ:4fKUyHm3Qg0C,78,,,,,,,0,0,0
1090117,Effect of crystallization inhibitors on vascular calcifications induced by vitamin Da pilot study in Sprague-Dawley rats,2007,,,,,,,,False,0azNTzAAAAAJ:aqlVkmm33-oC,73,,,,,,,0,0,0
1090118,Anxiety and stress among science students. Study of calcium and magnesium alterations,2006,,,,,,,,False,0azNTzAAAAAJ:zA6iFVUQeVQC,73,,,,,,,0,0,0
1090119,Phosphates precipitating from artificial urine and fine structure of phosphate renal calculi,1996,,,,,,,,False,0azNTzAAAAAJ:kz9GbA2Ns4gC,72,,,,,,,0,0,0
1090120,Interenzyme substrate diffusion for an enzyme cascade organized on spatially addressable DNA nanostructures,2012,,,,,,,,False,gD8pyCUAAAAJ:OU6Ihb5iCvQC,522,,,,,,,0,0,0
1090121,Picosecond kinetics of the initial photochemical electron-transfer reaction in bacterial photosynthetic reaction centers,1985,,,,,,,,False,gD8pyCUAAAAJ:ns9cj8rnVeAC,413,,,,,,,0,0,0
1090122,Multi-enzyme complexes on DNA scaffolds capable of substrate channelling with an artificial swinging arm,2014,,,,,,,,False,gD8pyCUAAAAJ:1qzjygNMrQYC,305,,,,,,,0,0,0
1090123,Nanosecond fluorescence from isolated photosynthetic reaction centers of Rhodopseudomonas sphaeroides,1984,,,,,,,,False,gD8pyCUAAAAJ:pqnbT2bcN3wC,299,,,,,,,0,0,0
1090124,Protein dynamics control the kinetics of initial electron transfer in photosynthesis,2007,,,,,,,,False,gD8pyCUAAAAJ:p2g8aNsByqUC,249,,,,,,,0,0,0
1090125,Nanocaged enzymes with enhanced catalytic activity and increased stability against protease digestion,2016,,,,,,,,False,gD8pyCUAAAAJ:AvfA0Oy_GE0C,243,,,,,,,0,0,0
1090126,A DNA tweezer-actuated enzyme nanoreactor,2013,,,,,,,,False,gD8pyCUAAAAJ:qjMakFHDy7sC,235,,,,,,,0,0,0
1090127,Radical-pair energetics and decay mechanisms in reaction centers containing anthraquinones. naphthoquinones or benzoquinones in place of ubiquinone,1986,,,,,,,,False,gD8pyCUAAAAJ:35r97b3x0nAC,231,,,,,,,0,0,0
1090128,Effects of mutations near the bacteriochlorophylls in reaction centers from Rhodobacter sphaeroides,1992,,,,,,,,False,gD8pyCUAAAAJ:d1gkVwhDpl0C,229,,,,,,,0,0,0
1090129,The pathway. kinetics and thermodynamics of electron transfer in wild type and mutant reaction centers of purple nonsulfur bacteria,1995,,,,,,,,False,gD8pyCUAAAAJ:GnPB-g6toBAC,160,,,,,,,0,0,0
1090130,Time-dependent thermodynamics during early electron transfer in reaction centers from Rhodobacter sphaeroides.,1994,,,,,,,,False,gD8pyCUAAAAJ:UeHWp8X0CEIC,147,,,,,,,0,0,0
1090131,Characterization of Chlorobium tepidum chlorosomes: a calculation of bacteriochlorophyll c per chlorosome and oligomer modeling,2003,,,,,,,,False,gD8pyCUAAAAJ:epqYDVWIO7EC,139,,,,,,,0,0,0
1090132,Anoxygenic photosynthetic bacteria,1995,,,,,,,,False,gD8pyCUAAAAJ:HbR8gkJAVGIC,125,,,,,,,0,0,0
1090133,Exploring the sequence space of a DNA aptamer using microarrays,2007,,,,,,,,False,gD8pyCUAAAAJ:b0M2c_1WBrUC,120,,,,,,,0,0,0
1090134,Creating protein affinity reagents by combining peptide ligands on synthetic DNA scaffolds,2009,,,,,,,,False,gD8pyCUAAAAJ:Y0pCki6q_DkC,113,,,,,,,0,0,0
1090135,Relationship between thermodynamics and mechanism during photoinduced charge separation in reaction centers from Rhodobacter sphaeroides.,1994,,,,,,,,False,gD8pyCUAAAAJ:dfsIfKJdRG4C,112,,,,,,,0,0,0
1090136,Femtosecond spectroscopic observations of initial intermediates in the photocycle of the photoactive yellow protein from Ectothiorhodospira halophila,1999,,,,,,,,False,gD8pyCUAAAAJ:LjlpjdlvIbIC,108,,,,,,,0,0,0
1090137,Mutations designed to modify the environment of the primary electron donor of the reaction center from Rhodobacter sphaeroides: Phenylalanine to leucine at L167 and histidine …,1993,,,,,,,,False,gD8pyCUAAAAJ:5awf1xo2G04C,108,,,,,,,0,0,0
1090138,Fourier transform infrared study of the primary electron donor in chromatophores of Rhodobacter sphaeroides with reaction centers genetically modified at residues M160 and L131,1993,,,,,,,,False,gD8pyCUAAAAJ:IWHjjKOFINEC,104,,,,,,,0,0,0
1090139,Scalable high-density peptide arrays for comprehensive health monitoring,2014,,,,,,,,False,gD8pyCUAAAAJ:nb7KW1ujOQ8C,96,,,,,,,0,0,0
1090140,B-Side Electron Transfer in a Rhodobacter sphaeroides Reaction Center Mutant in Which the B-Side Monomer Bacteriochlorophyll Is Replaced with …,1999,,,,,,,,False,gD8pyCUAAAAJ:VaXvl8Fpj5cC,94,,,,,,,0,0,0
1090141,Immunosignature system for diagnosis of cancer,2014,,,,,,,,False,gD8pyCUAAAAJ:ML0RJ9NH7IQC,88,,,,,,,0,0,0
1090142,Excitation Wavelength Dependence of Energy Transfer and Charge Separation in Reaction Centers from Rhodobacter sphaeroides:  Evidence for Adiabatic …,1996,,,,,,,,False,gD8pyCUAAAAJ:g3aElNc5_aQC,87,,,,,,,0,0,0
1090143,Biochemical characterization and electron-transfer reactions of sym1. a Rhodobacter capsulatus reaction center symmetry mutant which affects the initial electron donor,1992,,,,,,,,False,gD8pyCUAAAAJ:isC4tDSrTZIC,81,,,,,,,0,0,0
1090144,Signaling aptamers created using fluorescent nucleotide analogues,2006,,,,,,,,False,gD8pyCUAAAAJ:ZHo1McVdvXMC,79,,,,,,,0,0,0
1090145,Self-trapped excitons in LH2 antenna complexes between 5 K and ambient temperature,2003,,,,,,,,False,gD8pyCUAAAAJ:WqliGbK-hY8C,74,,,,,,,0,0,0
1090146,Functionalized cucurbiturils and their applications,2007,,,,,,,,False,N_iqCXMAAAAJ:b0M2c_1WBrUC,847,,,,,,,0,0,0
1090147,A synthetic host-guest system achieves avidin-biotin affinity by overcoming enthalpy–entropy compensation,2007,,,,,,,,False,N_iqCXMAAAAJ:mVmsd5A6BfQC,522,,,,,,,0,0,0
1090148,Complexation of ferrocene derivatives by the cucurbit [7] uril host: a comparative study of the cucurbituril and cyclodextrin host families,2005,,,,,,,,False,N_iqCXMAAAAJ:CHSYGLWDkRkC,429,,,,,,,0,0,0
1090149,Inclusion of methylviologen in cucurbit [7] uril,2002,,,,,,,,False,N_iqCXMAAAAJ:j3f4tGmQtD8C,346,,,,,,,0,0,0
1090150,Novel molecular drug carrier: encapsulation of oxaliplatin in cucurbit [7] uril and its effects on stability and reactivity of the drug,2005,,,,,,,,False,N_iqCXMAAAAJ:LkGwnXOMwfcC,305,,,,,,,0,0,0
