,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
1178505,Luminescent Molecular Ag−S Nanocluster [Ag62S13(SBut)32](BF4)4,2010,Gen Li and Zhen Lei and Quan-Ming Wang,132,Journal of the American Chemical Society,50,17678-17679,American Chemical Society,,True,L5ts38cAAAAJ:hqOjcs7Dif8C,213,,13927863627338715844,/scholar?cites=13927863627338715844,,,0,0,0
1178506,Alkynyl approach toward the protection of metal nanoclusters,2018,Zhen Lei and Xian-Kai Wan and Shang-Fu Yuan and Zong-Jie Guan and Quan-Ming Wang,51,,10,2465-2474,American Chemical Society,,True,L5ts38cAAAAJ:2osOgNQ5qMEC,130,,10984368649809509742,/scholar?cites=10984368649809509742,,,0,0,0
1178507,Isolation and Total Structure Determination of an All‐Alkynyl‐Protected Gold Nanocluster Au144,2018,Zhen Lei and Jiao‐Jiao Li and Xian‐Kai Wan and Wen‐Han Zhang and Quan‐Ming Wang,130,Angewandte Chemie,28,8775-8779,,,True,L5ts38cAAAAJ:9yKSN-GCB0IC,78,,3050176603960910007,/scholar?cites=3050176603960910007,,,0,0,0
1178508,Cluster linker approach: preparation of a luminescent porous framework with NbO topology by linking silver ions with gold (I) clusters,2014,Zhen Lei and Xiao‐Li Pei and Zhan‐Guo Jiang and Quan‐Ming Wang,126,Angewandte Chemie,47,12985-12989,WILEY‐VCH Verlag,,True,L5ts38cAAAAJ:u-x6o8ySG0sC,66,,3537452991646309911,/scholar?cites=3537452991646309911,,,0,0,0
1178509,Alkynyl-protected gold and gold–silver nanoclusters,2017,Zhen Lei and Xian-Kai Wan and Shang-Fu Yuan and Jia-Qi Wang and Quan-Ming Wang,46,,11,3427-3434,Royal Society of Chemistry,,True,L5ts38cAAAAJ:zYLM7Y9cAGgC,59,,13900768761150233776,/scholar?cites=13900768761150233776,,,0,0,0
1178510,Full protection of intensely luminescent gold (I)–silver (I) cluster by phosphine ligands and inorganic anions,2017,Zhen Lei and Xiao‐Li Pei and Zong‐Jie Guan and Quan‐Ming Wang,129,Angewandte Chemie,25,7223-7226,,,True,L5ts38cAAAAJ:d1gkVwhDpl0C,56,,8702841798079249334,/scholar?cites=8702841798079249334,,,0,0,0
1178511,Same Magic Number but Different Arrangement: Alkynyl‐Protected Au25 with D3 Symmetry,2019,Jiao‐Jiao Li and Zong‐Jie Guan and Zhen Lei and Feng Hu and Quan‐Ming Wang,58,Angewandte Chemie International Edition,4,1083-1087,,,True,L5ts38cAAAAJ:kNdYIx-mwKoC,48,,10361720850962571153,/scholar?cites=10361720850962571153,,,0,0,0
1178512,Geminal Tetraauration of Acetonitrile: Hemilabile-Phosphine-Stabilized Au8Ag4 Cluster Compounds,2013,Xiao-Li Pei and Yang Yang and Zhen Lei and Quan-Ming Wang,135,Journal of the American Chemical Society,17,6435-6437,American Chemical Society,,True,L5ts38cAAAAJ:MXK_kJrjxJIC,46,,11495025564920564785,/scholar?cites=11495025564920564785,,,0,0,0
1178513,A luminescent gold (I)–copper (I) cluster with unprecedented carbon-centered trigonal prismatic hexagold,2011,Jian-Hua Jia and Jing-Xia Liang and Zhen Lei and Ze-Xing Cao and Quan-Ming Wang,47,Chemical Communications,16,4739-4741,Royal Society of Chemistry,,True,L5ts38cAAAAJ:KlAtU1dfN6UC,43,,10538612997372432815,/scholar?cites=10538612997372432815,,,0,0,0
1178514,A phosphorescent silver (I)–gold (I) cluster complex that specifically lights up the nucleolus of living cells with FLIM imaging,2013,Min Chen and Zhen Lei and Wei Feng and Chunyan Li and Quan-Ming Wang and Fuyou Li,34,Biomaterials,17,4284-4295,Elsevier,,True,L5ts38cAAAAJ:0EnyYjriUFMC,40,,17598216746334514326,/scholar?cites=17598216746334514326,,,0,0,0
