,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,gsrank,author_id,eprint_url,got_citations,got_author_ids,author_ids
1090224,Mechanistic studies on the hydroxylation of methane by methane monooxygenase,2003,,,,,,,,False,L4OsUuQAAAAJ:lf0D1wPZyaoC,504,,,,,,,0,0,0
1090225,Computing redox potentials in solution: Density functional theory as a tool for rational design of redox agents,2002,,,,,,,,False,L4OsUuQAAAAJ:Et1yZiPVzsMC,383,,,,,,,0,0,0
1090226,Theoretical study of cisplatin binding to purine bases: why does cisplatin prefer guanine over adenine?,2003,,,,,,,,False,L4OsUuQAAAAJ:BxcezVm2apwC,282,,,,,,,0,0,0
1090227,Direct nitric oxide detection in aqueous solution by copper (II) fluorescein complexes,2006,,,,,,,,False,L4OsUuQAAAAJ:I__7AI8a974C,268,,,,,,,0,0,0
1090228,cis.cis-[(bpy)2RuVO]2O4+ Catalyzes Water Oxidation Formally via in Situ Generation of Radicaloid RuIV−O•,2006,,,,,,,,False,L4OsUuQAAAAJ:A7-hzOuI2KQC,188,,,,,,,0,0,0
1090229,Peripheral heme substituents control the hydrogen-atom abstraction chemistry in cytochromes P450,2003,,,,,,,,False,L4OsUuQAAAAJ:dQJM2trw0wsC,168,,,,,,,0,0,0
1090230,Dioxygen activation in methane monooxygenase: a theoretical study,2004,,,,,,,,False,L4OsUuQAAAAJ:1HYIo8DVeu0C,146,,,,,,,0,0,0
1090231,Selective formation of γ-lactams via C–H amidation enabled by tailored iridium catalysts,2018,,,,,,,,False,L4OsUuQAAAAJ:YzE6FWut7DQC,132,,,,,,,0,0,0
1090232,Intermolecular C− H bond activation promoted by a titanium alkylidyne,2005,,,,,,,,False,L4OsUuQAAAAJ:SEmTV4UfSqwC,130,,,,,,,0,0,0
1090233,Intermolecular C− H Bond Activation Reactions Promoted by Transient Titanium Alkylidynes. Synthesis. Reactivity. Kinetic. and Theoretical Studies of the Ti⋮ C Linkage,2007,,,,,,,,False,L4OsUuQAAAAJ:mqcSLZKRP28C,116,,,,,,,0,0,0
1090234,Theoretical Study on the Stability of N-Glycosyl Bonds:  Why Does N7-Platination Not Promote Depurination?,2002,,,,,,,,False,L4OsUuQAAAAJ:AUmYgNQ2pq4C,107,,,,,,,0,0,0
