,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
122722,Myeloma proteins as tumor-specific transplantation antigens,1972,Richard G Lynch and Ralph J Graff and Stitaya Sirisinha and Ernest S Simms and Herman N Eisen,69,Proceedings of the National Academy of Sciences,6,1540-1544,National Academy of Sciences,,True,vfYeEdwAAAAJ:_axFR9aDTf0C,413,,13616494343770693659,/scholar?cites=13616494343770693659,,,0,0,0
122723,Polyreactivity increases the apparent affinity of anti-HIV antibodies by heteroligation,2010,Hugo Mouquet and Johannes F Scheid and Markus J Zoller and Michelle Krogsgaard and Rene G Ott and Shetha Shukair and Maxim N Artyomov and John Pietzsch and Mark Connors and Florencia Pereyra and Bruce D Walker and David D Ho and Patrick C Wilson and Michael S Seaman and Herman N Eisen and Arup K Chakraborty and Thomas J Hope and Jeffrey V Ravetch and Hedda Wardemann and Michel C Nussenzweig,467,Nature,7315,591-595,Nature Publishing Group,,True,vfYeEdwAAAAJ:UeHWp8X0CEIC,405,,494555299680387867,/scholar?cites=494555299680387867,,,0,0,0
122724,Identification of 23 complementation groups required for post-translational events in the yeast secretory pathway,1980,Peter Novick and Charles Field and Randy Schekman,21,Cell,1,205-215,Cell Press,,True,Cr0P9RAAAAAJ:u5HHmVD_uO8C,1969,,2934886632254383400,/scholar?cites=2934886632254383400,,,0,0,0
122725,Role of Rab GTPases in membrane traffic and cell physiology,2011,Alex H Hutagalung and Peter J Novick,91,,1,119-149,American Physiological Society,,True,Cr0P9RAAAAAJ:ufrVoPGSRksC,1230,,10392075424985081281,/scholar?cites=10392075424985081281,,,0,0,0
122726,A Saccharomyces cerevisiae genomic plasmid bank based on a centromere-containing shuttle vector,1987,Mark D Rose and Peter Novick and James H Thomas and David Botstein and Gerald R Fink,60,Gene,2-3,237-243,Elsevier,,True,Cr0P9RAAAAAJ:u-x6o8ySG0sC,1145,,10297729941589729927,/scholar?cites=10297729941589729927,,,0,0,0
122727,Rabs and their effectors: achieving specificity in membrane traffic,2006,Bianka L Grosshans and Darinel Ortiz and Peter Novick,103,,32,11821-11827,National Academy of Sciences,,True,Cr0P9RAAAAAJ:qjMakFHDy7sC,1104,,4341731404892540103,/scholar?cites=4341731404892540103,,,0,0,0
122728,A ras-like protein is required for a post-Golgi event in yeast secretion,1987,Antti Salminen and Peter J Novick,49,Cell,4,527-538,Cell Press,,True,Cr0P9RAAAAAJ:d1gkVwhDpl0C,978,,9682018344416842089,/scholar?cites=9682018344416842089,,,0,0,0
122729,The diversity of Rab proteins in vesicle transport,1997,Peter Novick and Marino Zerial,9,,4,496-504,Elsevier Current Trends,,True,Cr0P9RAAAAAJ:9yKSN-GCB0IC,909,,13489345087611719169,/scholar?cites=13489345087611719169,,,0,0,0
122730,The Exocyst is a multiprotein complex required for exocytosis in Saccharomyces cerevisiae.,1996,Daniel R TerBush and Trina Maurice and Dagmar Roth and Peter Novick,15,The EMBO journal,23,6483-6494,,,True,Cr0P9RAAAAAJ:IjCSPb-OGe4C,888,,15023636135388472446,/scholar?cites=15023636135388472446,,,0,0,0
122731,Order of events in the yeast secretory pathway,1981,Peter Novick and Susan Ferro and Randy Schekman,25,Cell,2,461-469,Cell Press,,True,Cr0P9RAAAAAJ:UeHWp8X0CEIC,848,,2537678904680898992,/scholar?cites=2537678904680898992,,,0,0,0
122732,Phosphoinositides as regulators in membrane traffic,1996,Pietro De Camilli and Scott D Emr and Peter S McPherson and Peter Novick,271,,5255,1533-1539,American Association for the Advancement of Science,,True,Cr0P9RAAAAAJ:2osOgNQ5qMEC,825,,11857754163299071882,/scholar?cites=11857754163299071882,,,0,0,0
122733,The exocyst is an effector for Sec4p. targeting secretory vesicles to sites of exocytosis,1999,Wei Guo and Dagmar Roth and Christiane Walch‐Solimena and Peter Novick,18,The EMBO journal,4,1071-1080,John Wiley & Sons. Ltd,,True,Cr0P9RAAAAAJ:Tyk-4Ss8FVUC,644,,6606789765170598618,/scholar?cites=6606789765170598618,,,0,0,0
122734,Secretion and cell-surface growth are blocked in a temperature-sensitive mutant of Saccharomyces cerevisiae,1979,Peter Novick and Randy Schekman,76,Proceedings of the national academy of sciences,4,1858-1862,National Academy of Sciences,,True,Cr0P9RAAAAAJ:W7OEmFMy1HYC,640,,17795683597851075329,/scholar?cites=17795683597851075329,,,0,0,0
122735,Sperm competition and its evolutionary consequences in the insects,2001,Leigh W Simmons,68,,,,Princeton University Press,,True,Ymqqv10AAAAJ:BmWJbWwHJAwC,1688,,17482759834392672773,/scholar?cites=17482759834392672773,,,0,0,0
122736,Sexual selection and mate choice,2006,Malte Andersson and Leigh W Simmons,21,,6,296-302,Elsevier Current Trends,,True,Ymqqv10AAAAJ:u-x6o8ySG0sC,1114,,9429499337240628322,/scholar?cites=9429499337240628322,,,0,0,0
122737,Reactive oxygen species as universal constraints in life-history evolution,2009,Damian K Dowling and Leigh W Simmons,276,,1663,1737-1745,The Royal Society,,True,Ymqqv10AAAAJ:LkGwnXOMwfcC,594,,11904643170049809219,/scholar?cites=11904643170049809219,,,0,0,0
122738,Attractiveness and sexual behavior: Does attractiveness enhance mating success?,2005,Gillian Rhodes and Leigh W Simmons and Marianne Peters,26,Evolution and human behavior,2,186-201,Elsevier,,True,Ymqqv10AAAAJ:zYLM7Y9cAGgC,502,,9602860210981135675,/scholar?cites=9602860210981135675,,,0,0,0
