,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
595107,Professor of Physics,,40021,6BwSmTgAAAAJ,{'indices'},,Akhtar Mahmood,,10429,83,29,341,129,0,0
595108,"Erasmus MC, University Medical Center Rotterdam, The Netherlands",,9298,Rpm0VQ0AAAAJ,{'indices'},,Jan L. Nouwen,,3325,34,21,57,39,0,0
595109,"Radboudumc, Nijmegen",,20155,JVFGW64AAAAJ,{'indices'},,Heiman Wertheim,,13007,56,45,134,121,0,0
595110,Erasmus MC - Erasmus University Medical Centre Rotterdam,,2405,9HFhBo0AAAAJ,{'indices'},,J. P. HAYS,,1293,25,20,51,41,0,0
595111,Professor of Surgery - University of Khartoum,,12108,P0kUeP0AAAAJ,{'indices'},,Prof. Ahmed Hassan Fahal,,6275,53,36,200,144,0,0
595112,"Associate professor,  Department of microbiology and Immunology, Arak University of Medical Sciences",,1578,uFbjemQAAAAJ,{'indices'},,Ehsanollah Ghaznavi-rad,,1047,20,17,36,34,0,0
595113,Universite Libre de Bruxelles,,28040,o2eeimYAAAAJ,{'indices'},,Marc J. Struelens,,11741,79,37,230,120,0,0
595114,"Centre of Expertise in Mycology Nijmegen NL, Federal University Parana, Curitiba, Brazil",,38587,mL4OlQkAAAAJ,{'indices'},,"Jacques F. Meis, Consultant",,19889,98,68,504,346,0,0
595115,"Professor of Medical Microibology, VU University medical center",,30370,G42b-6wAAAAJ,{'indices'},,Christina Vandenbroucke-Grauls,,9088,92,50,281,185,0,0
595116,Professor of Infection Control,,22972,RPiLnxoAAAAJ,{'indices'},,Andreas Voss,,9242,69,47,236,173,0,0
595117,National and Kapodistrian University of Athens,,7202,yQksPqkAAAAJ,{'indices'},,Panayotis T. Tassios,,2227,33,19,53,21,0,0
595118,,,4833,NF3cLU0AAAAJ,{'indices'},,Martin Welker,,1983,37,26,60,54,0,0
595119,Universiti Putra Malaysia,,1613,WzckvtAAAAAJ,{'indices'},,Rukman Awang Hamat,,1267,21,19,38,37,0,0
