,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
440325,McGill University,,11747,fD4h75sAAAAJ,{'indices'},,Alain Pinsonneault,,4757,41,30,68,51,0,0
440326,Ivey Business School - The University of Western Ontario,,97,n_xaU8sAAAAJ,{'indices'},,Yasser Rahrovani,,82,5,5,3,3,0,0
440327,IÉSEG School of Management,,111,46KzeeUAAAAJ,{'indices'},,Christopher M Conway,,56,5,4,4,3,0,0
440328,"Professur für Informationsmanagement und Wirtschaftsinformatik, Osnabrueck University ",,4028,8XwCQkYAAAAJ,{'indices'},,Oliver Thomas,,1804,30,20,104,46,0,0
440329,"Professor of Industrial Sales and Service Engineering, Ruhr-Universität Bochum",,3420,mJP9MH0AAAAJ,{'indices'},,Jens Pöppelbuß,,2312,21,17,33,29,0,0
440330,"Research Assistant and PhD Student, Accounting and Information Systems, University of Osnabrück",,427,YAid8NUAAAAJ,{'indices'},,Marc Walterbusch,,288,8,7,7,6,0,0
440331,"Senior Lecturer, University of Münster",,409,Y-czZMgAAAAJ,{'indices'},,Armin Stein,,169,12,7,12,5,0,0
440332,"Full Professor of Information Systems, University of Münster",,19806,VU0qH2MAAAAJ,{'indices'},,Jörg Becker,,7208,59,36,325,139,0,0
440333,"Business Architect and Projectmanager, Salt and Pepper Software, Researcher Information Systems",,254,vZVG2QgAAAAJ,{'indices'},,Dr. Christina Niemöller,,237,10,9,11,8,0,0
440334,"Professor of Quality Engineering and Management, Department of Management, University of Isfahan",,4715,3hTKQ4sAAAAJ,{'indices'},,Arash Shahin,,3113,32,26,106,81,0,0
440335,DBA Student in Edinburgh Business School,,71,MwoTSNkAAAAJ,{'indices'},,Bahman Nasir Zenouzi,,36,3,3,2,1,0,0
440336,"Sam M. Walton College of Business, University of Arkansas",,1234,xhAoJEoAAAAJ,{'indices'},,David Dobrzykowski,,937,19,16,21,19,0,0
440337,Professor of Management (Universidad de Sevilla),,7218,9EFtu1wAAAAJ,{'indices'},,José L. Roldán,,5440,37,33,65,53,0,0
440338,Associate Professor (Universidad de Sevilla),,1649,5kFijBsAAAAJ,{'indices'},,Antonio Luis Leal Rodríguez,,1565,22,22,29,29,0,0
440339,Kwame Nkrumah University of Science and Technology,,48,fmJtM8cAAAAJ,{'indices'},,Dr. Hannah Vivian Osei,,47,3,3,2,2,0,0
440340,"Kwame Nkrumah University of Science and Technology, Kumasi",,63,u50qqdMAAAAJ,{'indices'},,Dr. John Manso Frimpong,,51,4,4,2,2,0,0
440341,Snr. Lecturer in Logistics and Supply Chain Management,,66,Xfy6Q_cAAAAJ,{'indices'},,ABDUL SAMED MUNTAKA,,61,5,5,3,3,0,0
440342,KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,,332,0jvOjsYAAAAJ,{'indices'},,Ahmed Agyapong,,312,9,8,8,8,0,0
440343,"Professor in Business Information Systems & Analytics, Durham University",,3850,7u7ENCsAAAAJ,{'indices'},,"Kostas Nikolopoulos, Dipl. Eng. & D.E...",,2217,28,25,62,41,0,0
440344,University of Bath,,7658,Lsu2K1kAAAAJ,{'indices'},,Paul Goodwin,,3213,38,27,71,55,0,0
440345,Louisiana State University Shreveport,,14632,yLAnvFYAAAAJ,{'indices'},,Binshan Lin,,6614,63,45,181,99,0,0
440346,"Associate Professor, National Technical University of Athens",,2499,GYIGP4MAAAAJ,{'indices'},,Dimitris Askounis,,945,23,14,58,27,0,0
440347,University of Bath,,2582,KnMcKe0AAAAJ,{'indices'},,Fotios Petropoulos,,2316,24,22,36,34,0,0
440348,"Professor Emeritus, University of Illinois at Chicago",,4036,wgbbMx4AAAAJ,{'indices'},,Arkalgud Ramaprasad,,1457,27,15,57,25,0,0
440349,Florida Gulf Coast University,,623,XVtYO6AAAAAJ,{'indices'},,Thant Syn,,505,13,12,16,13,0,0
440350,University of North Texas,,11993,gGhl6pYAAAAJ,{'indices'},,Victor R. Prybutok,,5711,50,37,133,105,0,0
440351,"Professor of Information Systems & Chair, ITDS Department, Ryan College of Business, UNT",,5026,Iq8XENAAAAAJ,{'indices'},,Leon A. Kappelman,,1624,31,19,48,30,0,0
440352,University of North Texas,,2591,1VweMVsAAAAJ,{'indices'},,Chang E Koh,,1117,24,16,28,22,0,0
440353,"Associate Professor, Universidad Católica del Norte (Chile)",,1461,7B-fmIoAAAAJ,{'indices'},,"Patricio E. Ramírez Correa, Ph.D.",,1178,20,18,39,32,0,0
440354,"Universidad de la Frontera, Chile",,1568,WfHkpIkAAAAJ,{'indices'},,Guillermo Armando Ronda-Pupo,,992,17,14,35,19,0,0
440355,"Faculty of Engineering, Universidad de Talca",,2415,pWExNrMAAAAJ,{'indices'},,Narciso Cerpa,,1218,25,19,34,24,0,0
440356,Carlow University,,773,VriJlW4AAAAJ,{'indices'},,Enrique Mu,,608,13,9,14,9,0,0
440357,Bentley University,,1450,d2UnwrQAAAAJ,{'indices'},,Janis Gogan,,343,20,11,31,11,0,0
440358,Simon Kuznets Kharkiv National University of Economics,,442,Y4kNr38AAAAJ,{'indices'},,"Сергей Евсеев, Serhii Yevseiev",,308,10,9,11,7,0,0
440359,"Вінницький національний аграрний університет, к.т.н., доцент",,40,4mJniJ8AAAAJ,{'indices'},,Видмиш Андрій Андрійович / Видми...,,21,4,3,1,0,0,0
440360,"Ass.prof of CAMS department of NTU ""KhPI"" Kharkov, Ukraine",,116,Wyv6ESUAAAAJ,{'indices'},,Alexander Shmatko,,72,5,5,3,1,0,0
440361,Kharkiv National Automobile and Highway University,,280,b_TXDUQAAAAJ,{'indices'},,"Oleh Nikonov, Олег Ніконов, Олег Ни...",,193,8,7,6,5,0,0
440362,"Харьковский национальный автомобильно-дорожный университет, Kharkiv national automobile and highway",,474,WNB0OHUAAAAJ,{'indices'},,"Олег Алексеев, Олег Алексієв, Oleg A...",,166,10,8,12,5,0,0
440363,"Харківський національний автомобільно-дорожній університет, ХНАДУ",,304,loIhiRQAAAAJ,{'indices'},,"Богомолов В.О., Bogomolov V. O., Bo...",,150,9,5,9,3,0,0
440364,Kharkiv National University of Radio Electronics,,217,FMo8no4AAAAJ,{'indices'},,"Четвериков Г.Г., Chetverikov G.G., Ch...",,43,8,3,5,0,0,0
440365,Cracow University of Technology,,590,AtjXR3oAAAAJ,{'indices'},,"Vitalii Naumov, Виталий Наумов",,328,11,9,15,8,0,0
440366,Simon Kuznets Kharkiv National University of Economics,,314,_mri-_MAAAAJ,{'indices'},,Александр Милов,,100,10,5,10,5,0,0
440367,"ХНЕУ ім. С. Кузнеця, Simon Kuznets Kharkiv National University of Economics",,18,aGxFCCkAAAAJ,{'indices'},,"Алла Гаврилова, Alla Havrylova",,10,3,2,0,0,0,0
440368,"Informatics Department, Institut Teknologi Sepuluh Nopember",,519,cqAHkJ4AAAAJ,{'indices'},,Daniel Siahaan,,427,11,10,13,11,0,0
440369,"Department of Information Systems, Institut Teknologi Sepuluh Nopember",,233,hIwTbmEAAAAJ,{'indices'},,Arif Djunaidy,,221,8,8,8,8,0,0
440370,Politeknik Negeri Banjarmasin,,118,-k-Xm7cAAAAJ,{'indices'},,Reza Fauzan,,113,5,5,2,1,0,0
440371,ITB STIKOM BALI,,105,TilNd-EAAAAJ,{'indices'},,Suardika I Gede,,86,2,2,1,1,0,0
440372,"Informatics Department, Institut Teknologi Sepuluh Nopember",,414,ZihT82EAAAAJ,{'indices'},,Siti Rochimah,,349,10,10,11,11,0,0
440373,Dosen di Institut Teknologi dan Bisnis (ITB) STIKOM Bali,,14,ylI6Q8cAAAAJ,{'indices'},,Ida Bagus Suradarma,,14,2,2,0,0,0,0
440374,"Dosen Prodi Teknologi Informasi, ITB STIKOM Bali",,37,rsgrUx8AAAAJ,{'indices'},,Yohanes Priyo Atmojo,,35,4,4,1,1,0,0
440375,ITB STIKOM Bali,,122,SHH1HzUAAAAJ,{'indices'},,Muhammad Rusli,,113,6,6,3,2,0,0
440376,"Lecturer of Computer System,  STIKOM Bali",,91,SsKWr3wAAAAJ,{'indices'},,I Komang Rinartha Yasa Negara,,87,4,4,3,3,0,0
440377,ITB Stikom Bali,,98,zf6wKhMAAAAJ,{'indices'},,Putu Adi Guna Permana,,95,2,2,2,2,0,0
440378,Master Of Information System,,4,0HhUg0sAAAAJ,{'indices'},,Indrianto Kuseni,,4,1,1,0,0,0,0
440379,Universitas 17 Agustus 1945 Surabaya,,260,BoPDnGIAAAAJ,{'indices'},,Fajar Astuti Hermawati,,224,5,5,4,3,0,0
440380,Ph.D in Applied Mathematics. Professor Computer Science Department. Universidad de Las Palmas de,,6928,GPkYSOcAAAAJ,{'indices'},,Luis Alvarez,,1381,27,17,52,30,0,0
440381,Universidad de Las Palmas de Gran Canaria,,1516,_OBMvWwAAAAJ,{'indices'},,Juan Ruiz-Alzola,,301,19,8,28,7,0,0
440382,UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA (ULPGC),,888,MxwTLtYAAAAJ,{'indices'},,Luis Mazorra M.,,294,13,10,15,11,0,0
440383,University of Las Palmas de Gran Canaria,,2063,T2g-j1IAAAAJ,{'indices'},,Javier Sánchez,,703,16,12,20,14,0,0
