Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
30590,National Chiao Tung University,@cs.nctu.edu.tw,5024,T5Rs-ngAAAAJ,{'indices'},Data mining|Mobile data management,Wen-Chih Peng,https://scholar.google.com/citations?view_op=medium_photo&user=T5Rs-ngAAAAJ,2504,39,26,99,64,0,1
30591,"Professor, Department of Informatics, University of Leicester",@leicester.ac.uk,5020,DJGy8xUAAAAJ,{'indices'},Data Structures|Algorithms and Complexity|Data Mining,Rajeev Raman,https://scholar.google.com/citations?view_op=medium_photo&user=DJGy8xUAAAAJ,1536,36,19,76,43,0,1
30592,"University of São Paulo (USP), Brazil",@usp.br,5011,KGgOhbAAAAAJ,{'indices'},Data Science|Artificial Intelligence|Machine Learning|Big Data|Data Mining,Eduardo R. Hruschka,https://scholar.google.com/citations?view_op=medium_photo&user=KGgOhbAAAAAJ,2751,33,23,70,42,0,1
30593,Worcester Polytechnic Institute,@wpi.edu,5010,Lh7VfoMAAAAJ,{'indices'},Data Mining|Machine Learning,Xiangnan Kong,https://scholar.google.com/citations?view_op=medium_photo&user=Lh7VfoMAAAAJ,4096,31,26,58,54,0,1
30594,"Full Professor of Bioinformatics and Computer Engineering, University of Catanzaro, Italy",@unicz.it,5007,maA8fKEAAAAJ,{'indices'},Bioinformatics|Parallel Computing|Artificial Intelligence|Data Mining|Telemedicine,Mario Cannataro,https://scholar.google.com/citations?view_op=medium_photo&user=maA8fKEAAAAJ,1761,34,21,97,51,0,1
30595,"Associate Professor, School of Computing, KAIST",@kaist.ac.kr,4997,h9mbv9MAAAAJ,{'indices'},big data|data mining,Jae-Gil Lee,https://scholar.google.com/citations?view_op=medium_photo&user=h9mbv9MAAAAJ,2709,27,21,43,34,0,1
30596,"Senior Staff Engineer, Alibaba Group",@alibaba-inc.com,4991,AjYkTi8AAAAJ,{'indices'},Databases|Data Mining|Data Privacy|Algorithms,Bolin Ding,https://scholar.google.com/citations?view_op=medium_photo&user=AjYkTi8AAAAJ,3111,33,27,56,50,0,1
30597,"Vice Chancellor, Bangalore University, IEEE Fellow, ACM Distinguished Educator",@ieee.org,4991,F4Fhh8IAAAAJ,{'indices'},Wireless Sensor  Networks|Data Mining|Signal  Processing|IOT|Cloud Computing,Venugopal KR,https://scholar.google.com/citations?view_op=medium_photo&user=F4Fhh8IAAAAJ,2921,34,23,112,72,0,1
30598,"Lecturer, University of Technology, Sydney",@sydney.edu.au,4982,r-4uZIwAAAAJ,{'indices'},Natural language processing|Data Mining|Information Retrieval,David Milne,https://scholar.google.com/citations?view_op=medium_photo&user=r-4uZIwAAAAJ,1996,17,15,25,20,0,1
30599,"Ulm University, Institute of Neural Information Processing",@uni-ulm.de,4976,ie0eT6IAAAAJ,{'indices'},neural networks|machine learning|pattern recognition|data mining|affective computing,Friedhelm Schwenker,https://scholar.google.com/citations?view_op=medium_photo&user=ie0eT6IAAAAJ,2209,36,22,117,62,0,1
30600,"Associate Professor, Department of Computer Science and Engineering, University of …",@cs.uoi.gr,4975,Rmds8IcAAAAJ,{'indices'},Data Mining|Social Networks|Web Information Retrieval,Panayiotis Tsaparas,https://scholar.google.com/citations?view_op=medium_photo&user=Rmds8IcAAAAJ,1932,31,24,55,41,0,1
30601,Apache Software Foundation,@apache.org,4974,fdYnUxwAAAAJ,{'indices'},Data Mining,Zheng Shao,https://scholar.google.com/citations?view_op=medium_photo&user=fdYnUxwAAAAJ,2140,15,11,17,15,0,1
30602,"Professor of Computer Science, Kent State University",@cs.kent.edu,4969,lNQmMTMAAAAJ,{'indices'},Big Data|Deep Learning|Graph Analytics|Graph Database|Data Mining,Ruoming Jin,https://scholar.google.com/citations?view_op=medium_photo&user=lNQmMTMAAAAJ,2251,40,28,79,58,0,1
30603,"Professor of Computer Science, TU Dortmund University",@tu-dortmund.de,4965,LfmjF2UAAAAJ,{'indices'},Machine Learning|Data Mining|Big Data|Ubiquitous Knowledge Discovery|Industry 4.0,Katharina Morik,https://scholar.google.com/citations?view_op=medium_photo&user=LfmjF2UAAAAJ,1355,34,17,99,34,0,1
30604,"Professor für Data and Knowledge Engineering, Otto-von-Guericke-Universität Magdeburg",@ovgu.de,4960,LuMoBX0AAAAJ,{'indices'},Information Retrieval|Data Mining|Multimedia Retrieval|Human Computer Interaction|Digital Archives,Andreas Nürnberger,https://scholar.google.com/citations?view_op=medium_photo&user=LuMoBX0AAAAJ,2075,30,19,108,34,0,1
