,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
427718,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",,377188,kukA0LcAAAAJ,{'indices'},,Yoshua Bengio,,333509,179,162,618,544,0,0
427719,Facebook AI Research,,88479,kbN88gsAAAAJ,{'indices'},,Leon Bottou,,68811,73,59,139,105,0,0
427720,Interactions Corp,,51973,s8bAY0kAAAAJ,{'indices'},,Patrick Haffner,,37451,35,22,74,36,0,0
427721,UC Berkeley,,38628,NHIpV98AAAAJ,{'indices'},,Bernhard Boser,,18405,61,36,173,106,0,0
427722,Rutgers University,,24335,6KgM0OkAAAAJ,{'indices'},,Richard E. Howard,,11214,56,24,166,51,0,0
427723,"Research Scientist, Google",,37879,0nPi5YYAAAAJ,{'indices'},,Pierre Sermanet,,34768,23,20,32,27,0,0
427724,Facebook,,31023,NbXF7T8AAAAJ,{'indices'},,Marc'Aurelio Ranzato,,24071,50,47,75,73,0,0
427725,"Emeritus Prof. Comp Sci, U.Toronto & Engineering Fellow, Google",,425873,JicYPdAAAAAJ,{'indices'},,Geoffrey Hinton,,305479,162,116,368,268,0,0
427726,"Research Scientist, New York University",,8567,u3u16tgAAAAJ,{'indices'},,Clement Farabet,,6878,19,17,21,21,0,0
427727,DeepMind,,11551,SSTIBK0AAAAJ,{'indices'},,Michael Mathieu,,10266,15,15,16,16,0,0
427728,Microsoft Research,,21762,akrkYU0AAAAJ,{'indices'},,Patrice Simard,,12049,50,33,120,76,0,0
427729,DeepMind,,80662,sGFyDIUAAAAJ,{'indices'},,koray kavukcuoglu,,75594,65,64,84,78,0,0
427730,MACOM Technology Solutions Inc.,,7799,TGpo3KAAAAAJ,{'indices'},,Eduard Sackinger,,3786,21,14,30,16,0,0
427731,Imagen Technologies,,17098,ETU-ePAAAAAJ,{'indices'},,Sumit Chopra,,14880,30,29,42,40,0,0
427732,"Courant Institute of Mathematical Sciences, New York University",,16564,L4bNmsMAAAAJ,{'indices'},,Joan Bruna,,15817,31,31,48,46,0,0
427733,Google DeepMind,,13074,Q0YEc-QAAAAJ,{'indices'},,Raia Hadsell,,11572,32,27,48,42,0,0
427734,Facebook AI Research,,13177,u3-FxUgAAAAJ,{'indices'},,Arthur Szlam,,11792,41,34,71,64,0,0
427735,"Google Research, NY",,65549,U_IVY50AAAAJ,{'indices'},,Corinna Cortes,,35900,55,40,99,76,0,0
427736,Research scientist at Facebook AI Research,,6233,1T2Xh68AAAAJ,{'indices'},,Camille Couprie,,5089,16,15,23,20,0,0
427737,"Research Scientist, DeepMind. Professor of Computer Science, New York University",,77636,GgQ9GEkAAAAJ,{'indices'},,Rob Fergus,,56821,71,63,110,100,0,0
427738,Director at Bytedance Inc.,,30079,HWFvq_wAAAAJ,{'indices'},,Yang Jianchao,,19828,64,54,204,162,0,0
427739,Lenovo Research and previously Microsoft Research,,28778,rCGsLtcAAAAJ,{'indices'},,"Yong Rui, Fellow of ACM, IEEE, IAPR,...",,10349,80,50,233,171,0,0
427740,"NEU, Professor; FIEEE, FSPIE, FOSA, FIAPR",,19649,h-JEcQ8AAAAJ,{'indices'},,Yun Raymond Fu,,14680,69,59,263,232,0,0
427741,"Group Chief Scientist, SEA；NUS",,71787,DNuiPHwAAAAJ,{'indices'},,Shuicheng Yan @ Sea AI Labs (SAIL),,46077,115,97,766,558,0,0
427742,UII,,14966,-bp44DoAAAAJ,{'indices'},,Xiang Sean Zhou,,5133,50,30,209,87,0,0
427743,"Professor of Electrical Engineering and Computer Science, Northwestern University",,17556,zAlz89wAAAAJ,{'indices'},,Ying Wu,,7464,66,38,137,95,0,0
427744,"Professor of Electrical and Computer Engineering, University of Illinois",,20350,18O0OAwAAAAJ,{'indices'},,Mark Hasegawa-Johnson,,7135,48,33,238,116,0,0
427745,Startup nation,,7902,yuXLVPEAAAAJ,{'indices'},,Ira Cohen,,2561,37,27,67,45,0,0
427746,Huawei Cloud & AI,,26469,61b6eYkAAAAJ,{'indices'},,"Qi Tian, IEEE Fellow, Chief Scientist in...",,20296,78,63,378,312,0,0
427747,MIT-IBM Watson AI Lab,,4850,r21asW4AAAAJ,{'indices'},,SHIYU CHANG,,4593,34,33,63,57,0,0
427748,"Univ. of California, Irvine",,24515,MTZaRW4AAAAJ,{'indices'},,sharad mehrotra,,5957,66,35,204,93,0,0
427749,"Donald Biggar Willet Professor, University of Illinois at Urbana-Champagn",,35709,dY7OSl0AAAAJ,{'indices'},,Narendra Ahuja,,10838,82,45,312,132,0,0
427750,Google NYC,,6393,S-hBSfIAAAAJ,{'indices'},,Liangliang Cao,,3541,40,31,79,57,0,0
427751,Michigan State University,,15658,HnQ2gqMAAAAJ,{'indices'},,Juyang Weng,,2559,52,20,146,42,0,0
427752,Leiden University,,11032,q6Aq5XMAAAAJ,{'indices'},,Michael Lew,,4233,40,19,81,37,0,0
427753,Xi'an Jiaotong University,,26100,x2xdU7gAAAAJ,{'indices'},,Yihong Gong,,11622,67,43,208,134,0,0
427754,Eightfold.ai,,9331,a7QvIKUAAAAJ,{'indices'},,Ashutosh Garg,,3278,38,24,89,52,0,0
427755,University of Oregon | UIUC,,2349,WBvt5A8AAAAJ,{'indices'},,Humphrey Shi,,2342,20,20,27,27,0,0
427756,"Apple, Inc.",,2250,xW-IxnwAAAAJ,{'indices'},,Hao Tang,,1285,26,22,54,40,0,0
427757,"Professor of Electrical and Computer Engineering, Queen's University",,8516,4ktZehkAAAAJ,{'indices'},,Steven Blostein,,2091,33,15,82,23,0,0
427758,"KU Leuven - PSI, Belgium",,53982,EuFF9kUAAAAJ,{'indices'},,Tinne Tuytelaars,,25303,64,45,163,117,0,0
427759,ETH Zurich (previously at KU Leuven),,12821,u3MwH5kAAAAJ,{'indices'},,Radu Timofte,,11359,44,42,130,123,0,0
427760,"Director of Science, Microsoft HoloLens; Professor of Computer Science, ETH Zurich",,36419,YYH0BjEAAAAJ,{'indices'},,Marc Pollefeys,,17963,98,73,378,277,0,0
427761,University of Oxford,,244689,UZ5wscMAAAAJ,{'indices'},,Andrew Zisserman,,144179,165,104,516,365,0,0
427762,"Professor for Computer Vision, RWTH Aachen University",,22277,ZcULDB0AAAAJ,{'indices'},,Bastian Leibe,,10646,66,48,136,112,0,0
427763,ETH Zurich,,2642,T51W57YAAAAJ,{'indices'},,Dengxin Dai,,2312,28,25,41,38,0,0
427764,ETH Zurich,,30495,qjrp4S0AAAAJ,{'indices'},,Herbert Bay,,14352,14,11,15,12,0,0
427765,"Professor of Computer Science, Christian-Albrechts-University of Kiel, Germany",,10500,xgjKDqAAAAAJ,{'indices'},,Reinhard Koch,,2798,47,27,135,62,0,0
