,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
441167,"Senior Research Scientist, University of Maryland",,34579,VnwWgwIAAAAJ,{'indices'},,Catherine Plaisant,,8866,65,38,173,99,0,0
441168,"Adjunct Professor, Computer Science Dept., Stanford University",,51598,ccCNF08AAAAJ,{'indices'},,Stuart K. Card,,9737,92,42,177,102,0,0
441169,"Associate Professor of Biomedical Informatics, University of Pittsburgh",,5148,p6z7sL4AAAAJ,{'indices'},,Harry Hochheiser,,2874,30,22,60,42,0,0
441170,Northeastern University,,3700,qDjyCz8AAAAJ,{'indices'},,Cody Dunne,,2125,20,16,22,20,0,0
441171,Social Media Research Foundation,,14792,9Usm_wIAAAAJ,{'indices'},,Marc Smith,,4878,49,31,85,56,0,0
441172,"Technical Fellow, Tableau Software",,28976,SWworh8AAAAJ,{'indices'},,Jock D. Mackinlay,,6872,67,37,131,86,0,0
441173,"Professor of Computer Science, University of Maryland",,20933,IcW1vJEAAAAJ,{'indices'},,Benjamin B. Bederson,,4552,67,34,160,88,0,0
441174,"Department of Computer Science and Engineering, Seoul National University",,3087,K1GtDBEAAAAJ,{'indices'},,Jinwook Seo,,1264,27,19,53,31,0,0
441175,"Director, HCI Masters program, University of Maryland at College Park",,2067,6P8NCM8AAAAJ,{'indices'},,Bill Kules,,623,23,13,30,17,0,0
441176,"Computer Science, Virginia Tech",,9802,yBZ7vtkAAAAJ,{'indices'},,Chris North,,3965,53,33,128,85,0,0
441177,"Professor of IT & Cybersecurity, Brigham Young University",,5907,IpLkSvEAAAAJ,{'indices'},,Derek L. Hansen,,3508,34,26,53,43,0,0
441178,"Professor, College of Information Studies, University of Maryland",,8282,CDpfbBsAAAAJ,{'indices'},,"Jonathan Lazar, Ph.D., LL.M.",,3782,40,28,92,58,0,0
441179,university of north carolina chapel hill,,16408,x3WiOmQAAAAJ,{'indices'},,gary marchionini,,2993,52,24,142,55,0,0
441180,Twitter,,1581,s9B5sagAAAAJ,{'indices'},,Krist Wongsuphasawat,,973,17,14,22,19,0,0
441181,"Recorded Future, Inc.",,4178,rl6o3g8AAAAJ,{'indices'},,Dr. Christopher Ahlberg,,627,19,13,23,13,0,0
441182,Carnegie Mellon University,,4141,wAxr6b8AAAAJ,{'indices'},,Adam Perer,,2521,32,26,45,37,0,0
441183,The Pennsylvania State University,,9059,FugIaDwAAAAJ,{'indices'},,Andrew Sears,,2756,37,18,74,29,0,0
441184,"Assistant Teaching Professor at Northeastern University, before UC Berkeley, Uniandes, Yahoo Labs",,595,cih-S4kAAAAJ,{'indices'},,John Alexis Guerra-Gomez,,368,9,7,8,6,0,0
441185,,,1313,3mQ5kBkAAAAJ,{'indices'},,Rodrigo Botafogo,,75,8,4,7,3,0,0
441186,Google Research,,31438,pv54dqMAAAAJ,{'indices'},,Martin Wattenberg,,22846,54,40,88,67,0,0
441187,Microsoft Research,,78198,V4OPEAgAAAAJ,{'indices'},,Eric Horvitz,,30317,142,82,686,526,0,0
441188,"Chief Scientist, Microsoft",,15529,F5Ik84MAAAAJ,{'indices'},,Jaime Teevan,,6855,59,43,123,102,0,0
441189,"Professor of Information, Professor of Computer Science, Professor of Psychology,  University of Michigan",,31497,9tzvo38AAAAJ,{'indices'},,George Furnas,,7364,36,20,52,27,0,0
441190,"Partner Research Area Manager, Microsoft",,16017,U69fiZMAAAAJ,{'indices'},,Ryen W. White,,8210,67,48,209,167,0,0
441191,"Partner Research Manager, Microsoft Research",,5732,AIncPrIAAAAJ,{'indices'},,Paul N. Bennett,,3203,40,32,85,71,0,0
441192,"Principal Researcher, Microsoft Research",,11452,8dfY_RYAAAAJ,{'indices'},,Edward (Ed) Cutrell,,4151,50,36,107,88,0,0
441193,Google,,3430,6mERkvAAAAAJ,{'indices'},,Daniel J. Liebling,,1897,23,21,36,30,0,0
441194,Google,,69112,rtWKzFwAAAAJ,{'indices'},,John C. Platt,,25970,96,52,285,179,0,0
441195,Independent,,15261,tFq6hXAAAAAJ,{'indices'},,Gary William Flake,,5569,56,39,156,96,0,0
441196,"Professor of Computer Science, Stanford University",,21163,ZasL8IoAAAAJ,{'indices'},,Mehran Sahami,,6136,45,32,80,56,0,0
441197,Principal UX Designer AR/VR,,12983,mWSDv1cAAAAJ,{'indices'},,Daniel C. Robbins,,3666,54,35,85,65,0,0
441198,Microsoft Research,,82051,VTGXKrYAAAAJ,{'indices'},,David Heckerman,,24373,121,62,362,235,0,0
441199,"Sr. Principal Researcher and Research Manager, Microsoft Research",,15893,eJsW6W8AAAAJ,{'indices'},,Meredith Ringel Morris,,6973,66,47,143,119,0,0
441200,Microsoft Research,,3505,sNGk-9MAAAAJ,{'indices'},,Ahmed Hassan Awadallah,,2420,31,26,70,58,0,0
