Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
297561,"Tech Lead/Manager, Staff Software Engineer, Google",@google.com,10437,SrvmzJIAAAAJ,{'indices'},Android,Ashish Sharma,https://scholar.google.com/citations?view_op=medium_photo&user=SrvmzJIAAAAJ,6728,34,31,323,172,0,1
297562,Research Scholar,@4squarelogic.info,5408,eLHL-6AAAAAJ,{'indices'},Android|Artificial Intelligence,Rajat Sharma,https://scholar.google.com/citations?view_op=medium_photo&user=eLHL-6AAAAAJ,3082,30,19,122,54,0,1
297563,"Assistant Research Professor, IMDEA Software Institute",@imdea.org,3960,6uUwTrwAAAAJ,{'indices'},Software Engineering|Software Testing|Mobile apps|Android,Alessandra Gorla,https://scholar.google.com/citations?view_op=medium_photo&user=6uUwTrwAAAAJ,2423,21,18,27,24,0,1
297564,National Institute of Advanced Industrial Science and Technology,,3629,dXvBoPYAAAAJ,{'indices'},robotics|vision|gaze|android|interface,Yoshio Matsumoto,https://scholar.google.com/citations?view_op=medium_photo&user=dXvBoPYAAAAJ,1032,31,18,76,36,0,1
297565,University of Erlangen-Nuremberg,@spreitzenbarth.de,2419,CBppe-UAAAAJ,{'indices'},Mobile Malware|Mobile Phone Forensics|Digital Forensics|Android,Michael Spreitzenbarth,https://scholar.google.com/citations?view_op=medium_photo&user=CBppe-UAAAAJ,1991,11,10,13,10,0,1
297566,,,2343,4V7usdAAAAAJ,{'indices'},Artificial intelligence|Android|Networking,Daya Philip,https://scholar.google.com/citations?view_op=medium_photo&user=4V7usdAAAAAJ,667,23,12,33,19,0,1
297567,"Director of Engineering, Google",@rlove.org,2026,9G5MRoMAAAAJ,{'indices'},Operating Systems|Distributed Systems|Mobile Devices|Linux kernel|Android,Robert Love,https://scholar.google.com/citations?view_op=medium_photo&user=9G5MRoMAAAAJ,494,16,7,17,7,0,1
297568,AMD,@vip.qq.com,1748,qR73USEAAAAJ,{'indices'},IT|Android|Google,Michael Cheng,https://scholar.google.com/citations?view_op=medium_photo&user=qR73USEAAAAJ,439,21,9,33,9,0,1
297569,"Assistant Professor of Computer Engineering at University of Cagliari, Italy",@unica.it,1734,pnzh_cIAAAAJ,{'indices'},Computer Security|Pattern Recognition|Adversarial Machine Learning|PDF|Android,Davide Maiorca,https://scholar.google.com/citations?view_op=medium_photo&user=pnzh_cIAAAAJ,1609,16,16,17,17,0,1
297570,"EXATEC, Instituto Tecnológico de Estudios Superiores de Monterrey",@exatec.tec.mx,1319,uQ6U068AAAAJ,{'indices'},Inteligencia Artificial|Android|Proyectos,Julio Del Valle,https://scholar.google.com/citations?view_op=medium_photo&user=uQ6U068AAAAJ,317,21,11,31,12,0,1
297571,Universidad de Granada - Dept. Electrónica y Tecnología de Computadores,@ugr.es,814,jtpxtzoAAAAJ,{'indices'},Electronic instrumentation|Android|Optical Sensor|Colorimetry|Sensors,Nuria López Ruiz,https://scholar.google.com/citations?view_op=medium_photo&user=jtpxtzoAAAAJ,703,11,11,11,11,0,1
297572,Student in MALLA REDDY ENGINEERING COLLEGE,,755,vkBwsGoAAAAJ,{'indices'},AOSP|Android|Web Designing,RAKHI SAMUEL,https://scholar.google.com/citations?view_op=medium_photo&user=vkBwsGoAAAAJ,207,14,7,23,6,0,1
297573,"Student of ECE,KIOT",@kiot.ac.in,753,V1uv1nQAAAAJ,{'indices'},Embedded systems|Robotics|Android,sathish kumar,https://scholar.google.com/citations?view_op=medium_photo&user=V1uv1nQAAAAJ,204,4,3,3,2,0,1
297574,universitas musi rawas,,685,fzn_FBAAAAAJ,{'indices'},android|web,subhan,https://scholar.google.com/citations?view_op=medium_photo&user=fzn_FBAAAAAJ,467,14,12,21,14,0,1
297575,"University of California, Irvine",@uci.edu,681,nGjHjw0AAAAJ,{'indices'},Computer Networks|Network Coding|Android|Infromation-Centric Networking,Blerim Cici,https://scholar.google.com/citations?view_op=medium_photo&user=nGjHjw0AAAAJ,446,9,8,9,8,0,1
297576,Researcher and Professor at the University of la Laguna,@ull.edu.es,609,5sxaHCAAAAAJ,{'indices'},Vehicular Applications|Simulation|Security|M-learning|Android,CANDIDO CABALLERO GIL,https://scholar.google.com/citations?view_op=medium_photo&user=5sxaHCAAAAAJ,358,15,11,21,11,0,1
297577,Université de La Réunion,@univ-reunion.fr,582,htD690QAAAAJ,{'indices'},static analysis|Java|Android,Étienne Payet,https://scholar.google.com/citations?view_op=medium_photo&user=htD690QAAAAJ,188,12,7,16,4,0,1
297578,App Development Company in India,@brillmindz.com,581,YXn5z_wAAAAJ,{'indices'},android|ios,BrillMindz,https://scholar.google.com/citations?view_op=medium_photo&user=YXn5z_wAAAAJ,461,5,4,4,4,0,1
297579,"Department of Computer Science National Chiao Tung University Hsinchu, Taiwan (ROC)",@cs.nctu.edu.tw,535,e7DBdMwAAAAJ,{'indices'},security|operating system|malware|Android,Chia-Wei Hsu,https://scholar.google.com/citations?view_op=medium_photo&user=e7DBdMwAAAAJ,485,5,3,3,1,0,1
297580,University of Murcia,@um.es,526,vGthjPwAAAAJ,{'indices'},Mobile|Health|mHealth|Android|iOS,Belén Cruz Zapata,https://scholar.google.com/citations?view_op=medium_photo&user=vGthjPwAAAAJ,467,8,7,8,7,0,1
297581,"College of Computer Science and Electronic Engineering, Hunan University, Changsha …",@hnu.edu.cn,430,FqKRYlgAAAAJ,{'indices'},Network Computing|Blockchain|Android,Yang Xu,https://scholar.google.com/citations?view_op=medium_photo&user=FqKRYlgAAAAJ,425,11,11,11,11,0,1
