,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
325920,Politecnico di Torino,,15256,tRCNWC4AAAAJ,{'indices'},,Luciano Lavagno,,2240,54,21,205,60,0,0
325921,"Professore d'informatica, Universita' di Verona",,4091,o2cUkz4AAAAJ,{'indices'},,Tiziano Villa,,911,30,16,61,28,0,0
325922,"Professor of Computer Science, Columbia University",,8128,sEAoh3MAAAAJ,{'indices'},,Luca Carloni,,2833,45,28,117,65,0,0
325923,University of Trento,,4617,ziBaxi0AAAAJ,{'indices'},,Roberto Passerone,,1966,37,23,84,50,0,0
325924,"Professor, University of L'Aquila, Italy",,5997,_9E4gkoAAAAJ,{'indices'},,Maria Domenica Di Benedetto,,1807,39,21,141,61,0,0
325925,"Viterbi School of Engineering, University of Southern California",,2594,GsDdaaYAAAAJ,{'indices'},,Pierluigi Nuzzo,,1412,26,21,46,33,0,0
325926,"Full Professor, TECIP Institute, Scuola Superiore S. Anna",,5601,pbhFW1kAAAAJ,{'indices'},,Marco Di Natale,,2100,35,24,91,56,0,0
325927,"Professor of EECS, University of California at Berkeley",,56479,GP64q_kAAAAJ,{'indices'},,Jan Rabaey,,12627,92,49,335,146,0,0
325928,"University of California, Berkeley",,14411,SlZavnIAAAAJ,{'indices'},,Sanjit A. Seshia,,9324,57,48,162,129,0,0
325929,General Motors,,3350,kmRsOEAAAAAJ,{'indices'},,Paolo Giusto,,544,22,11,32,14,0,0
325930,"Professor of Advanced Quantum Architectures, EPFL",,11501,KWhGcA4AAAAJ,{'indices'},,Edoardo Charbon,,5702,59,39,217,143,0,0
325931,"Professor of Electrical Engineering and Computer Sciences, University of California at Berkeley",,49963,IJgXsgwAAAAJ,{'indices'},,Edward A. LEE,,14328,87,50,364,158,0,0
325932,Texas A&M University,,4507,ZD6J9JIAAAAJ,{'indices'},,Sunil Khatri,,903,32,13,93,23,0,0
325933,Sapienza Università di Roma,,2687,sZf6F1cAAAAJ,{'indices'},,Luca Benvenuti,,632,26,12,47,16,0,0
325934,Associate Professor of Electrical Engineering and Computer Science,,2526,TN09YMcAAAAJ,{'indices'},,Qi Zhu,,1706,28,23,63,51,0,0
325935,"PhD, University of California, Berkeley",,1483,UGgGMrIAAAAJ,{'indices'},,Mehdi Maasoumy,,1147,21,20,26,23,0,0
325936,Raytheon Technologies,,1439,PMwlwE0AAAAJ,{'indices'},,Alessandro Pinto,,455,20,12,32,15,0,0
325937,"Professor of Electrical Engineering, Koc University, Turkey",,3875,J-uRiRAAAAAJ,{'indices'},,Alper Demir,,741,25,13,41,17,0,0
325938,"Research Scientist, Intel",,1017,p8E6WqMAAAAJ,{'indices'},,Abhijit Davare,,215,14,7,20,6,0,0
325939,Intel,,2193,rJeTWOgAAAAJ,{'indices'},,Timothy Yee-Kwong Kam,,483,23,11,31,12,0,0
325940,Aristotle University of Thessaloniki,,2072,CeK-UugAAAAJ,{'indices'},,Spyridon Nikolaidis,,581,23,11,58,16,0,0
325941,"Università di Pisa, INFN",,181485,Fw45v2QAAAAJ,{'indices'},,Guido Volpi,,101359,185,139,984,734,0,0
325942,University of Pisa ,,260,L8eT6EsAAAAJ,{'indices'},,Saverio Citraro,,228,8,8,7,7,0,0
325943,Aristotle University of Thessaloniki,,177,RKll3lcAAAAJ,{'indices'},,Christos Gentsos,,124,7,7,5,5,0,0
325944,Università degli Studi di Milano - INFN (sezione di Milano),,100335,V9Mbb1wAAAAJ,{'indices'},,Alberto Stabile,,70901,134,117,620,536,0,0
325945,"Associate Professor, Aristotle University of Thessaloniki",,17210,um2I1vgAAAAJ,{'indices'},,Kostas Kordas,,13774,65,61,242,216,0,0
325946,CNRS,,192850,WKWkQzkAAAAJ,{'indices'},,Francesco Crescioli,,119422,188,148,1192,1016,0,0
325947,The university of Melbourne,,64469,n-o48PoAAAAJ,{'indices'},,Jafar (S Ruhollah) Shojaii,,58548,116,112,404,401,0,0
325948,"Professor of Electronics, Università degli Studi di Milano",,1792,MjjHHXkAAAAJ,{'indices'},,Valentino Liberali,,642,22,11,58,17,0,0
325949,"Dirigente di Ricerca, INFN",,180508,cXJfkhwAAAAJ,{'indices'},,Fabrizio Palla,,96773,181,141,1007,717,0,0
325950,University of Milan,,244,4mFfQJ8AAAAJ,{'indices'},,Luca Frontini,,234,9,9,7,7,0,0
325951,Professor at the University of Sussex,,225772,aTmazNgAAAAJ,{'indices'},,Alessandro Cerri,,127744,197,143,1152,816,0,0
325952,Research Director micro2gen,,476,R_WUVXIAAAAJ,{'indices'},,Athanasios M. Demiris,,55,12,5,16,2,0,0
325953,"LPNHE (IN2P3) Paris, France and Universita' di Pisa, Pisa, Italy",,213518,1HdfiUQAAAAJ,{'indices'},,Giovanni Calderini,,111512,196,143,1258,903,0,0
325954,"Associate Professor, University of Bergamo",,3959,HIENmnQAAAAJ,{'indices'},,Gianluca Traversi,,2303,22,13,62,18,0,0
325955,University of Bergamo,,270,8IsXzIIAAAAJ,{'indices'},,Francesco De Canio,,263,9,9,8,8,0,0
325956,University of Modena and Reggio Emilia,,351,W15D5ScAAAAJ,{'indices'},,Daniel Magalotti,,234,9,9,9,7,0,0
325957,"Assist. Prof., Electrical & Computer Eng., Univ. of Patras, Greece",,776,RNNuMNgAAAAJ,{'indices'},,George Theodoridis,,294,14,10,21,10,0,0
325958,"Direttore di ricerca, Istituto Nazionale di Fisica Nucleare",,167316,dZUjpssAAAAJ,{'indices'},,paola Giannetti,,79787,192,126,1133,707,0,0
325959,"Professor of Computer Science, Cornell Tech, Cornell University",,132465,3_WYcR4AAAAJ,{'indices'},,Deborah Estrin,,20307,134,68,364,205,0,0
325960,Microsoft Research,,16272,FWDKUMUAAAAJ,{'indices'},,Aman Kansal,,6203,54,40,122,87,0,0
325961,"Professor of Electrical and Computer Engineering, Purdue University",,8970,UB-2S9kAAAAJ,{'indices'},,Vijay Raghunathan,,3068,38,26,83,57,0,0
