,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
427131,UC Santa Barbara,,54525,3G79TTEAAAAJ,{'indices'},,Elizabeth Belding,,8697,58,31,137,74,0,0
427132,"Researcher, Microsoft Research India",,2823,FrEaIF8AAAAJ,{'indices'},,Vishnu Navda,,938,22,17,31,25,0,0
427133,Microsoft Research India,,13906,0P35aLUAAAAJ,{'indices'},,Ramachandran Ramjee,,3641,54,30,104,65,0,0
427134,Microsoft Research India,,39471,ae1ve-EAAAAJ,{'indices'},,Venkata N. Padmanabhan,,9730,68,38,136,93,0,0
427135,,,12145,oXasn9EAAAAJ,{'indices'},,Kevin Almeroth,,2271,50,25,132,44,0,0
427136,"Google, ACM Distinguished Scientist",,13335,xuVXDXkAAAAJ,{'indices'},,Konstantina Papagiannaki,,3997,55,33,95,69,0,0
427137,"Neubauer Professor of Computer Science, University of Chicago",,20003,XrIr0nYAAAAJ,{'indices'},,Haitao Zheng,,8878,62,43,324,196,0,0
427138,"Associate Professor, UT Austin",,2042,FukOricAAAAJ,{'indices'},,Mohit Tiwari,,1459,22,19,37,32,0,0
427139,IBM TJ Watson Research Center,,2220,-loJh1EAAAAJ,{'indices'},,Ramya Raghavendra,,1002,19,14,29,21,0,0
427140,"Uber, San Francisco, California",,2647,TIZWttcAAAAJ,{'indices'},,Krishna P. N. Puttaswamy,,1185,20,15,34,26,0,0
427141,"University of Hyderabad,India",,493,SOEx83gAAAAJ,{'indices'},,Hrushikesha Mohanty,,195,12,8,16,6,0,0
427142,Research Scientist,,1162,3f6owNoAAAAJ,{'indices'},,Sumit Singh,,623,10,7,10,6,0,0
427143,University at Albany SUNY,,306,eEqTPcwAAAAJ,{'indices'},,Mariya Zheleva,,233,9,9,9,8,0,0
427144,"Research Scientist, Google",,1197,zKORw8wAAAAJ,{'indices'},,Umar Syed,,732,15,12,19,13,0,0
427145,Google,,12826,b3HMX-sAAAAJ,{'indices'},,Sergei Vassilvitskii,,8589,39,31,85,71,0,0
427146,"Professor of Software Engineering, USI (Switzerland) and Milano Bicocca (Italy)",,9508,zhbGyEYAAAAJ,{'indices'},,Mauro Pezzè,,3422,43,26,132,68,0,0
427147,"Faculty, CISPA Helmholtz Center for Information Security; Professor, Saarland University",,19536,-Qytr_YAAAAJ,{'indices'},,Andreas Zeller,,8017,61,42,142,101,0,0
427148,MF Group AG,,358,kv-xIEcAAAAJ,{'indices'},,Andrea Mattavelli,,265,9,9,9,9,0,0
427149,University of Lugano,,243,JNWOLQcAAAAJ,{'indices'},,Nicolò Perino,,123,5,4,4,3,0,0
427150,"Researcher of Software Engineering, Saarland University",,633,9Cji1OcAAAAJ,{'indices'},,Florian Gross,,447,5,5,4,4,0,0
427151,Fraunhofer SIT,,3856,XASmks0AAAAJ,{'indices'},,Siegfried Rasthofer,,3253,16,14,22,21,0,0
427152,"Professor for Software Engineering at Heinz Nixdorf Institute, Paderborn University & Fraunhofer IEM",,8203,Kr7kPfAAAAAJ,{'indices'},,Eric Bodden,,5538,40,29,95,71,0,0
427153,Fraunhofer SIT,,3764,1F48ugYAAAAJ,{'indices'},,Steven Arzt,,3170,16,16,22,21,0,0
427154,"Professor of Computer Science, Georgia Institute of Technology",,12280,wCfYkMkAAAAJ,{'indices'},,Alessandro Orso,,4936,58,36,111,90,0,0
427155,DEIB - Politecnico di Milano,,10392,xvzzSFgAAAAJ,{'indices'},,Luciano Baresi,,2917,52,25,140,59,0,0
427156,"College of Information and Computer Sciences, University of Massachusetts Amherst",,7207,YVfr3wwAAAAJ,{'indices'},,Yuriy Brun,,3996,38,28,74,59,0,0
427157,Georgia Institute of Technology,,1187,G_NuPkgAAAAJ,{'indices'},,"Shauvik Roy Choudhary, PhD",,893,13,12,16,15,0,0
427158,"Associate professor Software Engineering, Linnaeus University",,4178,ymDQx2EAAAAJ,{'indices'},,Jesper Andersson,,1915,23,15,38,22,0,0
427159,"University of Kent, UK",,4901,gq9hIiAAAAAJ,{'indices'},,Rogério de Lemos,,1759,29,17,74,26,0,0
427160,Google,,2730,qIONh3YAAAAJ,{'indices'},,Jochen Wuttke,,1335,9,8,9,8,0,0
427161,University of Milano-Bicocca,,1501,ICxsKN0AAAAJ,{'indices'},,Giovanni Denaro,,479,22,13,37,17,0,0
427162,"Senior Lecturer in Computer Science, Aston University, UK",,6694,86H7HmkAAAAJ,{'indices'},,Nelly Bencomo,,3242,32,26,63,49,0,0
427163,Professor of Computer Science,,9251,x8XlRFgAAAAJ,{'indices'},,Paola Inverardi,,2485,45,20,145,38,0,0
427164,Università della Svizzera Italiana (USI),,11453,6n3gAUMAAAAJ,{'indices'},,Paolo Tonella,,3522,59,31,185,105,0,0
427165,"Professor of Computer Science, University of Passau",,7968,PLpOpawAAAAJ,{'indices'},,Gordon Fraser,,5349,45,37,116,90,0,0
427166,Nara Institute of Science and Technology,,3990,KT1VHksAAAAJ,{'indices'},,Tsukasa OGASAWARA,,1351,34,19,99,41,0,0
427167,Osaka University,,27165,BNhvcyYAAAAJ,{'indices'},,Hiroshi Ishiguro,,11304,82,50,429,253,0,0
427168,The University of Tokyo,,14307,iwOGCwwAAAAJ,{'indices'},,Masayuki Inaba,,4174,55,32,263,126,0,0
427169,"Mechanical Engineering, Georgia Institute of Technology",,2932,vVdRxtUAAAAJ,{'indices'},,Jun Ueda,,1437,27,20,79,49,0,0
427170,"University of Newcastle, DST, CSIRO, Australian National University, University of Wollongong",,7987,k1_yECMAAAAJ,{'indices'},,Professor Alex Zelinsky,,1792,43,20,105,37,0,0
427171,Osaka Institute of Technology,,295,T_DXTx8AAAAJ,{'indices'},,Etsuko Ueda,,71,6,4,5,1,0,0
427172,AIST,,887,oqXtvSUAAAAJ,{'indices'},,Yasushi Sumi,,180,16,8,24,6,0,0
427173,Hiroshima University,,1122,2jKXzt8AAAAJ,{'indices'},,Yuichi Kurita,,620,18,13,30,15,0,0
427174,National Institute of Advanced Industrial Science and Technology,,167,JY2ge5wAAAAJ,{'indices'},,Hideyuki Tanaka,,111,8,7,6,4,0,0
427175,AIST,,372,bwZjWD4AAAAJ,{'indices'},,yujin wakita,,109,12,5,13,2,0,0
427176,"Senior Lecturer, Monash University",,511,7KBapCAAAAAJ,{'indices'},,Surya G. Nurzaman,,379,14,12,18,15,0,0
427177,Osaka Institute of Technology,,509,UspRPpQAAAAJ,{'indices'},,Masahiro Yoshikawa,,324,12,10,13,10,0,0
427178,Okayama Prefectural University,,470,JCJh_HAAAAAJ,{'indices'},,Masanao KOEDA,,208,12,7,18,4,0,0
427179,Tokai univ.,,440,2_uynqQAAAAJ,{'indices'},,Kentaro Takemura,,256,11,9,14,8,0,0
427180,Professor of Kyushu Institute of Technology,,2397,Izp-zW0AAAAJ,{'indices'},,Tomohiro Shibata,,904,25,17,54,29,0,0
427181,University of Denver,,364,5nt4qVoAAAAJ,{'indices'},,Kerstin Sophie Haring,,326,11,11,12,11,0,0
427182,"Division of Information Science, Nara Institute of Science and Technology",,1840,9MYMKt8AAAAJ,{'indices'},,Jun Takamatsu,,714,22,14,46,20,0,0
427183,Grist Labs,,3053,FBeJOPgAAAAJ,{'indices'},,Paul Fitzpatrick,,776,24,13,36,17,0,0
427184,National Institute of Advanced Industrial Science and Technology,,1680,hneWo5EAAAAJ,{'indices'},,Isamu KAJITANI,,172,19,7,26,6,0,0
427185,"National Institute of Advanced Industrial Science and Technology, AIST",,7494,XWZydeMAAAAJ,{'indices'},,Eiichi Yoshida,,2324,44,24,141,71,0,0
427186,Technische Universität Braunschweig,,2907,poTYdf0AAAAJ,{'indices'},,Daniel Arp,,2602,14,14,14,14,0,0
427187,"Professor of Computer Science, TU Braunschweig",,8208,MrYBOTEAAAAJ,{'indices'},,Konrad Rieck,,5661,39,32,67,57,0,0
427188,DCSO Deutsche Cyber-Sicherheitsorganisation GmbH,,2504,P0Imc_UAAAAJ,{'indices'},,Hugo Gascón,,2207,11,11,11,11,0,0
427189,"Associate Professor, Computer Science, Aalborg University",,2022,sZssYagAAAAJ,{'indices'},,Florian Echtler,,1029,20,13,36,19,0,0
427190,Ruhr-Universität Bochum,,16220,tv2HR38AAAAJ,{'indices'},,Thorsten Holz,,8350,64,51,145,127,0,0
427191,Robert Bosch Corporate Research,,143,0fLaxisAAAAJ,{'indices'},,Christian Zimmermann,,114,7,7,4,3,0,0
427192,University of Erlangen-Nuremberg,,223,fAP0_qUAAAAJ,{'indices'},,Johannes Stüttgen,,163,7,5,7,5,0,0
427193,Münster University of Applied Sciences,,1132,wHh01ecAAAAJ,{'indices'},,Sebastian Schinzel,,783,11,10,12,10,0,0
427194,"Ph.d. Student, Ruhr-University Bochum",,3315,WicSp50AAAAJ,{'indices'},,Carsten Willems,,1751,15,11,15,11,0,0
427195,"Professor, Fachhochschule Südwestfalen",,46,FAl16vYAAAAJ,{'indices'},,Hans-Georg Eßer,,13,5,2,0,0,0,0
427196,"Professor, University of Cagliari",,8241,YRPZTNAAAAAJ,{'indices'},,Giorgio Giacinto,,4238,46,35,91,60,0,0
427197,"Assistant Professor at University of Cagliari, Co-Founder of Pluribus One",,6631,OoUIOYwAAAAJ,{'indices'},,Battista Biggio,,5806,37,33,55,51,0,0
427198,"Research Fellow, PRALab, University of Cagliari, Italy and Co-founder of Pluribus One",,2374,_Omv5NkAAAAJ,{'indices'},,Igino Corona,,1893,19,17,20,17,0,0
