,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
410419,"Centrale Lille, CRIStAL and INRIA , France",,9477,6iUyQhMAAAAJ,{'indices'},,Frederic Semet,,3575,39,29,55,43,0,0
410420,"Professor of Logistics Management, University of Liverpool",,8231,NsaWeXUAAAAJ,{'indices'},,Tolga Bektas,,6043,39,36,67,61,0,0
410421,Assistant Professor at Politecnico di Milano,,2473,X_qgZ4QAAAAJ,{'indices'},,Ola Jabali,,2220,26,25,32,32,0,0
410422,"Canada Research Chair in Integrated Logistics, CIRRELT, Université Laval",,3325,SgTOkHEAAAAJ,{'indices'},,Leandro C. Coelho,,2774,28,28,43,41,0,0
410423,"Professor of Operations Research, Università del Salento",,4426,yyb5lLQAAAAJ,{'indices'},,Gianpaolo Ghiani,,2023,31,20,56,40,0,0
410424,Université Laval,,4102,eajoh7kAAAAJ,{'indices'},,Jacques Renaud,,1959,30,26,45,42,0,0
410425,Universidad de Sevilla,,1727,vNmTAU0AAAAJ,{'indices'},,Juan Antonio Mesa,,780,22,16,42,23,0,0
410426,"professeur, Polytechnique Montréal",,12954,C_zesQgAAAAJ,{'indices'},,Alain Hertz,,2846,48,25,107,58,0,0
410427,Université Libre de Bruxelles,,6805,WS_O3bIAAAAJ,{'indices'},,Martine Labbé,,2218,48,25,119,60,0,0
410428,"Senior Researcher, Consiglio Nazionale delle Ricerche",,1614,28nnEQoAAAAJ,{'indices'},,Luigi Moccia,,700,15,14,17,15,0,0
410429,Massachusetts Institute of Technology,,109326,VUmcVOAAAAAJ,{'indices'},,Dimitri Bertsekas,,31974,101,56,264,163,0,0
410430,"Université catholique de Louvain, School of Engineering, ICTEAM, Belgium",,29222,VbXMQF4AAAAJ,{'indices'},,Vincent Blondel,,16768,62,39,129,85,0,0
410431,"Boeing Professor of Operations Research, MIT",,40040,prKmkzMAAAAJ,{'indices'},,Dimitris Bertsimas,,18722,90,61,257,198,0,0
410432,Stanford University,,12629,05sMX8MAAAAJ,{'indices'},,Benjamin Van Roy,,5845,52,38,107,78,0,0
410433,"Associate Professor, Boston University",,6266,YKwHoFMAAAAJ,{'indices'},,Alex Olshevsky,,4044,28,26,60,54,0,0
410434,Columbia University,,86423,rXYLXJMAAAAJ,{'indices'},,Christos H PAPADIMITRIOU,,18352,128,55,308,208,0,0
410435,"professor of mathematical engineering, ICTEAM, EPL, Université catholique de Louvain",,4859,S5dxJ4wAAAAJ,{'indices'},,Julien Hendrickx,,2627,31,25,68,49,0,0
410436,"Professor, Management Science and Engineering, Stanford University",,6935,fhLHgd8AAAAJ,{'indices'},,Ramesh Johari,,3409,41,26,86,52,0,0
410437,"Professor of Electrical and Computer, Systems, and Biomedical Engineering, Boston University",,4485,Es_hZ0QAAAAJ,{'indices'},,Ioannis Ch. Paschalidis,,2108,37,24,82,51,0,0
410438,Professor of Electrical Engineering @ Technion & Researcher @ Nvidia Research,,17788,q1HlbIUAAAAJ,{'indices'},,Shie Mannor,,11015,65,54,242,199,0,0
410439,MIT,,15793,LuIzTM8AAAAJ,{'indices'},,Eytan Modiano,,4982,64,34,204,116,0,0
410440,Nanyang Technological University,,2873,BkCI7rEAAAAJ,{'indices'},,Wee Peng Tay,,2175,25,21,64,58,0,0
410441,"Professor of Operations Research, MIT",,3815,qMDr8HUAAAAJ,{'indices'},,David Gamarnik,,1804,35,23,85,55,0,0
410442,"Thomas Kailath and Guanghan Xu Professor, Stanford University",,72435,MzD8rjoAAAAJ,{'indices'},,David Tse,,17067,83,47,240,141,0,0
410443,"NASA Jet Propulsion Laboratory, AT&T Research Labs, Massachusetts Institute of Technology (MIT)",,39879,qRd8Hh4AAAAJ,{'indices'},,Moe Win,,10682,89,50,298,172,0,0
410444,"Professor of Radiation Oncology, Massachusetts General Hospital and Harvard Medical School",,19032,v4WhAlUAAAAJ,{'indices'},,Thomas Bortfeld,,6652,73,43,174,117,0,0
410445,Massachusetts Institute of Technology,,17351,3qPiYJoAAAAJ,{'indices'},,Devavrat Shah,,6993,59,38,165,102,0,0
410446,"Professor, The Chinese University of Hong Kong, Shenzhen, China",,34698,dW3gcXoAAAAJ,{'indices'},,Zhi-Quan Luo,,14309,85,52,284,172,0,0
410447,USC Marshall School of Business,,303,EfNJa-YAAAAJ,{'indices'},,Kimon Drakopoulos,,263,9,8,7,7,0,0
410448,INSEAD,,127,v8P5l8cAAAAJ,{'indices'},,Spyros I. Zoumpoulis,,87,6,6,5,3,0,0
410449,VIT University,,13641,CMeMgrIAAAAJ,{'indices'},,Badal Kumar Mandal,,5016,46,35,85,67,0,0
410450,"Professor, Department of Mathematics, CCS UNIVERSITY,Meerut, UP, INDIA",,5191,cYeizvkAAAAJ,{'indices'},,S R Singh,,3433,26,20,105,70,0,0
410451,"Department of Mathematics, SRM University, Haryana (Sonepat), India",,339,64YWKI8AAAAJ,{'indices'},,Dr. Neeraj Kumar,,188,11,9,13,8,0,0
410452,"Assistant Professor, Department of Mathematics, Vardhaman College (MJP Rohilkhand University",,212,nKEugTUAAAAJ,{'indices'},,Dharmendra Yadav,,137,8,7,8,6,0,0
410453,"Professor of Operational Research, University of Delhi",,4136,eI-BKgYAAAAJ,{'indices'},,Prof. (Dr.) Chandra K. Jaggi,,2175,29,23,65,46,0,0
410454,"Professor, & Head Department of Mathematics, Gujarat University,Ahmedabad,India",,3267,ngfCbC8AAAAJ,{'indices'},,nita hasmukh Shah,,1692,25,19,83,50,0,0
410455,"Associate Professor, Department of Industrial Engineering, Yonsei University, Korea",,5850,dACJbc8AAAAJ,{'indices'},,Dr. Biswajit Sarkar,,5026,42,40,113,113,0,0
410456,"Professor, Department of Mathematics and Statistics,Banasthali Vidyapith",,750,bTHE4j0AAAAJ,{'indices'},,Sarla Pareek,,658,15,14,25,20,0,0
410457,"Assistant Professor, Acharya Narendra Dev College, University of Delhi",,267,C1MOPB4AAAAJ,{'indices'},,Dr. Chaman Singh,,126,9,7,9,5,0,0
410458,"Associate Professor of Mathematics, Banasthali Vidyapith",,67,GUTjTbcAAAAJ,{'indices'},,Isha Sangal,,61,5,5,2,1,0,0
410459,"Professor of Statistics, SV University",,1729,5cfTQtgAAAAJ,{'indices'},,KVS Sarma,,656,15,11,18,12,0,0
410460,"Department of Mathematics,Meerut college,Meerut,CCS university,Meerut,(U.P.) INDIA",,9,09M7iDgAAAAJ,{'indices'},,Ashok Kumar,,7,1,1,0,0,0,0
410461,Kaziranga University,,158349,EydsVjwAAAAJ,{'indices'},,ashwini sharma,,86122,173,123,943,708,0,0
410462,"School of Doctoral in Management Studies, Liverpool Business School, Liverpool John Moores",,8517,XLeKf68AAAAJ,{'indices'},,"Dr. Rameshwar Dubey,PhD(Operation...",,8312,46,45,114,109,0,0
410463,"Professor of Management, Kent Business School",,7444,ybQwaE8AAAAJ,{'indices'},,Thanos Papadopoulos,,6899,43,41,81,77,0,0
410464,Professor of Information and Operations Management,,26269,UThzDqwAAAAJ,{'indices'},,EWT Ngai,,13403,70,53,161,136,0,0
410465,Toulouse Business School,,10019,xjROkN0AAAAJ,{'indices'},,Fosso Wamba Samuel,,8370,48,42,114,91,0,0
410466,Professor of Operations and Logistics Management & Supply Chains - University of Sussex,,5579,m3fevR4AAAAJ,{'indices'},,Nachiappan Subramanian,,4515,35,35,73,69,0,0
410467,"Professor of Logistics and Operations Management, University of Central Lancashire, Preston, UK",,5906,glGhAjUAAAAJ,{'indices'},,Yahaya Yusuf,,2641,25,20,33,27,0,0
410468,University of Central Arkansas,,5718,2qNTHu4AAAAJ,{'indices'},,Ronald Mcgaughey,,2231,22,15,33,18,0,0
410469,Professor,,14083,A0eqzroAAAAJ,{'indices'},,Lenny SC Koh,,7819,66,46,168,122,0,0
410470,Professor of operations Management(Retired),,20445,jVSGj9wAAAAJ,{'indices'},,suresh goyal,,6664,66,40,187,98,0,0
410471,Curtin University,,31681,7Eszm_8AAAAJ,{'indices'},,Peter ED Love,,15013,102,67,390,320,0,0
410472,"Professor of Industrial Management, University of Vaasa",,6051,fp0XmGUAAAAJ,{'indices'},,Petri Helo,,3779,39,30,100,70,0,0
410473,"Associate Professor, Sydney Business School, University of Wollongong, Australia",,6571,a8uY0ckAAAAJ,{'indices'},,Shahriar Akter,,5791,30,29,53,49,0,0
410474,"Pro-Vice-Chancellor, University of Bradford",,22911,-MUL7MoAAAAJ,{'indices'},,Zahir Irani,,9902,81,54,254,179,0,0
410475,Professor of Business,,2393,AfdUNioAAAAJ,{'indices'},,Purnendu Mandal,,735,21,14,34,19,0,0
410476,University of Massachusetts-Dartmouth,,1125,YDO36-wAAAAJ,{'indices'},,Bharatendra Rai,,602,15,11,19,12,0,0
410477,"Symbiosis International University, Pune India",,635,jdbb-YIAAAAJ,{'indices'},,"Shibin K T, Ph D (Operations Manage...",,633,8,8,8,8,0,0
410478,"Director, National Institute of Industrial Engg.(NITIE),Mumbai,India &Prof.of ISE,IIT KGP",,17772,xDL-rrsAAAAJ,{'indices'},,Manoj Kumar Tiwari,,9452,68,48,276,205,0,0
410479,Senior Lecturer University of East London,,4153,NUolXNYAAAAJ,{'indices'},,Subramaniam Arunachalam,,982,41,10,47,11,0,0
410480,"Professeur des Universités, Université Grenoble Alpes",,1302,yjrsHKcAAAAJ,{'indices'},,Blandine Ageron,,915,11,10,13,10,0,0
410481,"Professor of Accounting, UNB-SJ",,1361,xUNdcHEAAAAJ,{'indices'},,"Mostaq M. Hussain, PhD.",,533,19,13,25,17,0,0
410482,"professor of operations research, Technion, israel Institute of technology",,28383,5exbYaoAAAAJ,{'indices'},,a ben tal,,11977,59,37,130,74,0,0
410483,Professor UGA,,10948,UcOYXXYAAAAJ,{'indices'},,Anatoli Juditsky,,4743,37,24,74,44,0,0
