Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
245069,"Research Staff Member, IBM Almaden Research Center",@us.ibm.com,216825,KvPSD8EAAAAJ,{'indices'},Human-Computer Interaction|Information Visualization|Computational Psychology|Natural Language Processing,Huahai Yang,https://scholar.google.com/citations?view_op=medium_photo&user=KvPSD8EAAAAJ,134196,213,169,1068,919,0,1
245070,"Professor of Computer Science, University of Maryland",@cs.umd.edu,96518,h4i4fh8AAAAJ,{'indices'},human-computer interaction|information visualization|social media,Ben Shneiderman,https://scholar.google.com/citations?view_op=medium_photo&user=h4i4fh8AAAAJ,22808,121,68,483,228,0,1
245071,"Technical Fellow, Microsoft Research",@microsoft.com,82134,x8dED5cAAAAJ,{'indices'},Information Retrieval|Human-Computer Interaction,Susan Dumais,https://scholar.google.com/citations?view_op=medium_photo&user=x8dED5cAAAAJ,23611,114,64,277,212,0,1
245072,Emeritus Hillman Professor of Computer Science and Human Computer Interaction …,@cs.cmu.edu,64118,8Qu_gAMAAAAJ,{'indices'},human-computer interaction|collaboration|human-robot interaction|social computing|online communities,Sara Kiesler,https://scholar.google.com/citations?view_op=medium_photo&user=8Qu_gAMAAAAJ,15853,101,63,213,140,0,1
245073,University of Minnesota,@umn.edu,64083,PH4mytYAAAAJ,{'indices'},Human-Computer Interaction|Recommender Systems|Social Computing|Online Communities,Joseph A. Konstan,https://scholar.google.com/citations?view_op=medium_photo&user=PH4mytYAAAAJ,23562,81,53,148,115,0,1
245074,MIT,@media.mit.edu,63290,1-hcASEAAAAJ,{'indices'},Affective Computing|Artificial Intelligence|Digital Health|Human-Computer Interaction|Machine Learning,Rosalind Picard,https://scholar.google.com/citations?view_op=medium_photo&user=1-hcASEAAAAJ,21880,103,68,343,248,0,1
245075,"Professor of Computer Science, Columbia University",@cs.columbia.edu,60027,PogsVkYAAAAJ,{'indices'},Human-Computer Interaction|Augmented Reality|Virtual Reality|3D User Interfaces|Wearable Computing,Steven Feiner,https://scholar.google.com/citations?view_op=medium_photo&user=PogsVkYAAAAJ,18066,81,42,225,112,0,1
245076,"Regents' Professor and JZ Liang Chair, School of Interactive Computing, Georgia Institute of",@gatech.edu,57918,gb8sbdcAAAAJ,{'indices'},Human-Computer Interaction|Mobile and Ubiquitous Computing,Gregory D. Abowd,https://scholar.google.com/citations?view_op=medium_photo&user=gb8sbdcAAAAJ,12459,87,45,280,162,0,1
245077,"(former) research associate, Stanford University",@tomgruber.org,54577,1VsHKeoAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Ontology|Knowledge Management|Human-computer Interaction,Thomas R Gruber,https://scholar.google.com/citations?view_op=medium_photo&user=1VsHKeoAAAAJ,18480,70,54,105,75,0,1
245078,"Human-Computer  Interaction Instititute, Carnegie Mellon University",@cmu.edu,54442,HKGYvu4AAAAJ,{'indices'},Social computing|computer-supported cooperative work|Human-Computer  Interaction|Online communities|Interpersonal communicat,Robert E. Kraut,https://scholar.google.com/citations?view_op=medium_photo&user=HKGYvu4AAAAJ,16115,110,62,252,184,0,1
245079,"Adjunct Professor, Computer Science Dept., Stanford University",@cs.stanford.edu,51469,ccCNF08AAAAJ,{'indices'},Human Computer Interaction,Stuart K. Card,https://scholar.google.com/citations?view_op=medium_photo&user=ccCNF08AAAAJ,9616,92,42,177,102,0,1
245080,"Distinguished Professor of Information Sciences and Technology, Pennsylvania State …",@ist.psu.edu,46811,7Mg8JZMAAAAJ,{'indices'},Human-Computer Interaction|Computer-Supported Collaborative Work|Community Informatics|Design Research|Learning Science,John M. Carroll,https://scholar.google.com/citations?view_op=medium_photo&user=7Mg8JZMAAAAJ,11495,95,49,519,229,0,1
245081,University of Washington,@uw.edu,46085,ydA8Q5AAAAAJ,{'indices'},human-computer interaction|ubiquitous computing|mobile computing|intelligent user interfaces|machine learning,Anind K. Dey,https://scholar.google.com/citations?view_op=medium_photo&user=ydA8Q5AAAAAJ,16218,75,56,226,174,0,1
