,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
646387,Instituto de Ecología A.C. -- INECOL,,1945,NRpC2C8AAAAJ,{'indices'},,Roger Guevara,,1307,24,17,36,29,0,0
646388,,,327,vc21uA0AAAAJ,{'indices'},,Ramón Rodriguez Macias,,212,10,7,11,6,0,0
646389,Researcher. Universidad Autónoma de Tamaulipas,,1295,1uEnNikAAAAJ,{'indices'},,Juana María Coronado-Blanco,,560,17,9,36,9,0,0
646390,"Profesor de Entomología, Universidad Autónoma de Tamaulipas",,1926,GboHtEYAAAAJ,{'indices'},,Enrique Ruíz Cancino,,698,21,10,56,11,0,0
646391,Universidad Distrital Francisco José de Caldas,,455,ySzIpy0AAAAJ,{'indices'},,Oscar J. Cadena-Castañeda,,287,13,8,17,7,0,0
646392,"Professor of Chemical Ecology, Cornell University",,9494,sfi5cQUAAAAJ,{'indices'},,Andre Kessler,,3711,39,33,67,60,0,0
646393,Cornell University,,19941,_sZsSvcAAAAJ,{'indices'},,Stephen Ellner,,6408,77,45,163,116,0,0
646394,University of British Columbia,,16047,qHUy6RMAAAAJ,{'indices'},,Michael Doebeli,,5986,56,40,125,83,0,0
646395,Talus Analytics; Georgetown University Center for Global Health Science and Security,,173,jivDUQcAAAAJ,{'indices'},,Ellie Graeden,,107,5,5,3,3,0,0
646396,"Senior Conservation Scientist, Royal Society for the Protection of Birds (RSPB)",,3140,P2bkzuMAAAAJ,{'indices'},,Steffen Oppel,,2247,31,23,65,47,0,0
646397,"Greifswald University, partner in the Greifswald Mire Centre",,1657,5MEHQl8AAAAJ,{'indices'},,Franziska Tanneberger,,917,17,14,25,20,0,0
646398,University of Freiburg,,4193,--eUHVgAAAAJ,{'indices'},,Judith Korb,,2218,37,25,73,59,0,0
646399,Jagiellonian University,,159,627fxX8AAAAJ,{'indices'},,Edyta Podmokła,,145,8,8,7,7,0,0
646400,Uniwersytet Warszawski,,39,et9Pk5kAAAAJ,{'indices'},,Alina Gerlée,,29,4,3,1,1,0,0
646401,World Travelling Birds,,45,urSSQOwAAAAJ,{'indices'},,Julien Foucher,,28,5,3,1,0,0,0
646402,"Museum and Institute of Zoology, Polish Academy of Sciences",,1023,a7ki0DMAAAAJ,{'indices'},,Anna Dubiec,,538,17,12,28,21,0,0
646403,University of Oulu Finland  and Wildlife Institute of India,,111,QGljkKYAAAAJ,{'indices'},,Sujeet Kumar Singh,,106,6,5,4,4,0,0
646404,"Junior Research Fellow, Zoological Survey of India",,34,3ODL4ZIAAAAJ,{'indices'},,Tanoy Mukherjee,,32,4,3,0,0,0,0
646405,Zoological Survey of India,,134,GFbfPAQAAAAJ,{'indices'},,Dr. Mukesh Thakur,,73,8,5,6,2,0,0
646406,Zoological Survey of India,,17,8iJGXkIAAAAJ,{'indices'},,gul jabin bhat,,17,3,3,0,0,0,0
646407,,,287,PLIjC_UAAAAJ,{'indices'},,Chun-Kai Yang,,165,8,6,8,5,0,0
646408,Mississippi State University,,554,8xrlcBUAAAAJ,{'indices'},,Zhong Lei,,380,11,10,11,10,0,0
646409,"Post Doctoral fellow, Syracuse University",,256,ZuPgxkUAAAAJ,{'indices'},,Zeeshan Ali Syed,,181,8,8,8,8,0,0
646410,"Professor of Biology, San Diego State University",,3020,0bLmIkAAAAAJ,{'indices'},,Kevin J. Burns,,1499,31,26,46,37,0,0
646411,"University of Colorado, Boulder",,1935,luOxBmgAAAAJ,{'indices'},,Erin Tripp,,1135,20,17,43,33,0,0
646412,"Ph.D Student, University of Colorado, Boulder",,501,hzeFVm4AAAAJ,{'indices'},,Kyle Keepers,,438,9,9,9,9,0,0
646413,"PhD, University of Colorado, Boulder",,125,EZNEaI4AAAAJ,{'indices'},,Cloe S. Pogoda,,125,7,7,4,4,0,0
646414,"Ecology and Evolutionary Biology (EBIO), University of Colorado, Boulder",,5238,h_BrebAAAAAJ,{'indices'},,Nolan C. Kane,,3129,43,32,70,64,0,0
646415,University of Texas at Austin,,830,DYStQx8AAAAJ,{'indices'},,Parrish Brady,,463,12,11,12,11,0,0
646416,"Section of Integrative Biology, University of Texas",,3489,55VV_usAAAAJ,{'indices'},,Molly Cummings,,1737,33,24,58,53,0,0
646417,University of Illinois at Urbana Champaign,,3712,WV7XovQAAAAJ,{'indices'},,Viktor Gruev,,2244,31,26,66,44,0,0
646418,"University of North Carolina, Chapel Hill",,4237,Pe3ZnfIAAAAJ,{'indices'},,Karin Pfennig,,2280,24,20,36,29,0,0
646419,"Research & Development (R&D), Incepta Vaccine Limited",,53,oohwYGcAAAAJ,{'indices'},,Abdullah Mahmud-Al-Rafat,,52,3,3,2,2,0,0
646420,"Researcher, University of Illinois at Chicago",,44,c9321HkAAAAJ,{'indices'},,Apurba Majumder,,44,2,2,2,2,0,0
646421,"Department of Biology, University of Texas Arlington",,281,_qLsXRYAAAAJ,{'indices'},,"Siraje Arif Mahmud, PhD",,169,7,7,6,5,0,0
646422,"Cancer Research Cluster, University of Saskatchewan, Canada",,57,iW5HSe4AAAAJ,{'indices'},,Md. Fahmid Islam,,43,4,3,2,2,0,0
646423,South Dakota State University,,81,cM8-9vEAAAAJ,{'indices'},,K M Taufiqur Rahman,,72,5,5,3,3,0,0
646424,"Principal Scientific Officer, Institute of Food and Radiation Biology, Bangladesh Atomic Energy",,348,Jwed7TUAAAAJ,{'indices'},,Abdullah-Al-Mahin,,228,9,8,7,6,0,0
646425,Macquarie University,,9207,sYKGMBYAAAAJ,{'indices'},,Gregory P Brown,,4418,51,34,145,120,0,0
646426,"Professor of Biology, Macquarie University",,65739,lc5qpkUAAAAJ,{'indices'},,Richard Shine,,21147,123,59,884,600,0,0
646427,Eawag - Swiss Federal Institute of Aquatic Science and Technology,,244,b7JziwUAAAAJ,{'indices'},,Cameron Hudson,,231,9,9,9,9,0,0
646428,"University of Oxford, University of Southern Denmark",,390,IF-KoLoAAAAJ,{'indices'},,José Manuel Aburto,,387,11,11,12,12,0,0
646429,"Professor, University of Southern Denmark",,44984,xTyO1rEAAAAJ,{'indices'},,JW Vaupel,,15595,103,57,348,225,0,0
646430,"Head of Health Unit of Biodemography, Associate professor, Epidemiology, University of Southern",,3206,jxnrxyYAAAAJ,{'indices'},,Rune jacobsen,,1539,28,21,52,44,0,0
646431,"Associate Professor Demography, Australian National University",,2494,G5fllccAAAAJ,{'indices'},,Vladimir Canudas Romo,,1615,29,23,48,36,0,0
646432,Johns Hopkins University Bloomberg School of Public Health,,119,U2IFegwAAAAJ,{'indices'},,Francisco Villavicencio,,117,6,6,6,6,0,0
646433,Federal University of Minas Gerais,,2753,y3LN4hkAAAAJ,{'indices'},,Fernando A. O. Silveira,,2176,27,23,60,53,0,0
646434,PhD - Universidade Federal de Minas Gerais (UFMG) and University of Western Australia (UWA),,314,HLw0vLkAAAAJ,{'indices'},,Roberta L C Dayrell,,249,9,9,9,7,0,0
646435,"Full Professor, Institute of Ecology AC (INECOL), Mexico",,1820,7UnH-TQAAAAJ,{'indices'},,Wesley Dáttilo,,1558,22,20,49,43,0,0
646436,Unesp,,239,Rk-e_9gAAAAJ,{'indices'},,Lisieux Fuzessy,,228,9,9,9,9,0,0
646437,Professor at Universidade Federal de Minas Gerais,,2797,8b62L10AAAAJ,{'indices'},,Frederico de Siqueira Neves,,1839,23,21,47,44,0,0
646438,"Pós-Doc Fellow, Universidade Federal de Outo Preto",,291,XLaAvsYAAAAJ,{'indices'},,Fernanda Vieira da Costa,,199,11,9,12,9,0,0
646439,"Distinguished Professor, Odum School of Ecology, University of Georgia",,21639,RR12clgAAAAJ,{'indices'},,Catherine M Pringle,,7269,73,42,187,132,0,0
646440,UFMG,,2967,SjWI0bAAAAAJ,{'indices'},,TATIANA GARABINI CORNELISSEN,,1638,26,18,38,27,0,0
646441,Departamento de Botânica e Ecologia - Universidade Federal de Mato Grosso,,363,phn3VE8AAAAJ,{'indices'},,Alberto L. Teixido,,265,12,11,12,11,0,0
646442,"Assistant Professor of Biological Sciences, North Dakota State University",,683,OEWQGIUAAAAJ,{'indices'},,Julia Bowsher,,470,14,10,16,11,0,0
646443,"Postdoctoral Research Associate, University of Western Ontario",,362,N4zyWyoAAAAJ,{'indices'},,Alex S. Torson,,348,7,7,7,7,0,0
646444,USDA-ARS,,3954,mApUJxsAAAAJ,{'indices'},,George Yocum,,1559,27,18,49,33,0,0
646445,acting Research Leader USDA-ARS Insects Unit,,3324,yE77LYMAAAAJ,{'indices'},,Joe Rinehart,,1410,27,20,45,36,0,0
646446,McMaster University,,3872,Iium3AEAAAAJ,{'indices'},,Ian Dworkin,,2184,30,24,58,45,0,0
646447,Indiana Department of Child Services,,8,LsjFsMIAAAAJ,{'indices'},,Elisabeth S Wilson,,8,2,2,0,0,0,0
646448,"Professor, Dept. of Biological Sciences; National University of Singapore",,15739,6qF7vGkAAAAJ,{'indices'},,Rudolf Meier,,8069,54,40,128,94,0,0
646449,National University of Singapore,,457,TtfVoOIAAAAJ,{'indices'},,Kathy Su,,217,9,8,8,7,0,0
646450,Australian National University,,2963,EGezbCsAAAAJ,{'indices'},,Ceridwen Fraser,,2095,23,20,37,36,0,0
646451,University of Tasmania,,20597,bK9L7ykAAAAJ,{'indices'},,Graham Edgar,,10215,75,47,195,145,0,0
