,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
93238,Osaka University,@biken.osaka-u.ac.jp,384454,0TG2laoAAAAJ,{'indices'},immunology,Shizuo Akira,https://scholar.google.com/citations?view_op=medium_photo&user=0TG2laoAAAAJ,109042,280,145,1136,928,0,0
93239,"Professor of Pharmacology and Pathology,UCSD,School of Medicine",@ucsd.edu,284640,xVvyb1gAAAAJ,{'indices'},Molecular Biology|Immunology|Cancer Biology|Signal Transduction,Michael Karin,https://scholar.google.com/citations?view_op=medium_photo&user=xVvyb1gAAAAJ,66095,258,125,644,488,0,0
93240,"Université de Paris, Hôpital Européen George Pompidou - AP-HP, Gustave Roussy Cancer …",@inserm.fr,264934,OU05Q_MAAAAJ,{'indices'},aging|cell biology|cancer|immunology|metabolism,Guido Kroemer,https://scholar.google.com/citations?view_op=medium_photo&user=OU05Q_MAAAAJ,111146,242,152,1099,883,0,0
93241,Professor of Medcine Harvard Medical School,@bwh.harvard.edu,236828,1LgbXjEAAAAJ,{'indices'},medicine|cardiology|atherosclerosis|immunology,Peter Libby,https://scholar.google.com/citations?view_op=medium_photo&user=1LgbXjEAAAAJ,68600,229,118,750,565,0,0
93242,"Sterling Professor of Immunobiology, Yale University, HHMI Investigator",@yale.edu,234550,IPbxgZkAAAAJ,{'indices'},Immunology,Richard A. Flavell,https://scholar.google.com/citations?view_op=medium_photo&user=IPbxgZkAAAAJ,63014,251,127,1137,784,0,0
93243,"Director, Institute of Stem Cell Biology and Regenerative Medicine",@stanford.edu,198064,Y66bJgUAAAAJ,{'indices'},stem cells|immunology|cancer|developmental biology|phylogeny,Irving Weissman,https://scholar.google.com/citations?view_op=medium_photo&user=Y66bJgUAAAAJ,51218,210,116,845,507,0,0
93244,Vanderbilt University,,130531,pLyPr9oAAAAJ,{'indices'},Immunology,Keunwook Lee,https://scholar.google.com/citations?view_op=medium_photo&user=pLyPr9oAAAAJ,54006,138,96,1287,671,0,0
93245,Johns Hopkins University school of medicine,@jhmi.edu,128214,e0E4Lm8AAAAJ,{'indices'},immunology|cancer|immunotheapy,Andrew Pardoll,https://scholar.google.com/citations?view_op=medium_photo&user=e0E4Lm8AAAAJ,66628,147,94,402,278,0,0
93246,"Paul de Kruif Professor of Pathology, University of Michigan Medical School",@umich.edu,121918,aJnM7c0AAAAJ,{'indices'},Immunology|Innate Immunity|Microbiome|Microbiology|Inflammation,Gabriel Nuñez,https://scholar.google.com/citations?view_op=medium_photo&user=aJnM7c0AAAAJ,39548,160,89,420,316,0,0
93247,"Professor, harvard",@fas.harvard.edu,119283,NKT5SkwAAAAJ,{'indices'},immunology,Jack Strominger,https://scholar.google.com/citations?view_op=medium_photo&user=NKT5SkwAAAAJ,12137,165,51,835,214,0,0
93248,Санкт-Петербургский государственный университет,@spbu.ru,118945,IemDEYcAAAAJ,{'indices'},Autoimmunity|Immunology|Rheumatology|Pathophysiology|Pathology,Yehuda Shoenfeld,https://scholar.google.com/citations?view_op=medium_photo&user=IemDEYcAAAAJ,39697,145,81,1371,701,0,0
93249,"Skirball Institute, NYU School of Medicine",@med.nyu.edu,118851,k_88WOoAAAAJ,{'indices'},immunology|microbiome|inflammation|genomics|transcription,Dan Littman,https://scholar.google.com/citations?view_op=medium_photo&user=k_88WOoAAAAJ,37646,160,86,330,235,0,0
93250,"Dana-Farber Cancer Institute, Harvard Medical SchoolUnknown affiliation",,111897,SAKfVgEAAAAJ,{'indices'},immunology|costimulation,Gordon Freeman,https://scholar.google.com/citations?view_op=medium_photo&user=SAKfVgEAAAAJ,50573,164,109,456,360,0,0
93251,"Director Institute for Research in Biomedicine,",@irb.usi.ch,109268,lcq610IAAAAJ,{'indices'},Immunology,Antonio Lanzavecchia,https://scholar.google.com/citations?view_op=medium_photo&user=lcq610IAAAAJ,25830,147,84,356,267,0,0
93252,"Computer Scientist, National Institutes of Health",@nih.gov,105785,yB-7gCwAAAAJ,{'indices'},Bioinformatics|Cancer|Algorithms|Medical Genetics|Immunology,Alejandro Schaffer,https://scholar.google.com/citations?view_op=medium_photo&user=yB-7gCwAAAAJ,25429,81,48,201,130,0,0
93253,La Jolla Institute for Allergy & Immunology,@liai.org,105783,QzfSIEUAAAAJ,{'indices'},biology|evolution|immunology|genomics|machine learning,Yohan Kim,https://scholar.google.com/citations?view_op=medium_photo&user=QzfSIEUAAAAJ,57154,142,121,803,468,0,0
93254,Feinstein Institute for Medical Research,@northwell.edu,103019,g-GIWEMAAAAJ,{'indices'},immunology|neuroscience|sepsis|TNF|inflammatory reflex,Kevin J. Tracey,https://scholar.google.com/citations?view_op=medium_photo&user=g-GIWEMAAAAJ,32577,149,93,437,313,0,0
93255,"Immunology Frontier Research Center, Osaka University",@ifrec.osaka-u.ac.jp,101994,DnbGVYQAAAAJ,{'indices'},Immunology,Shimon Sakaguchi,https://scholar.google.com/citations?view_op=medium_photo&user=DnbGVYQAAAAJ,32368,117,77,262,210,0,0
93256,"Associated Professor of Immunology, Zhejiang University",@zju.edu.cn,101413,PRIfd6IAAAAJ,{'indices'},Immunology|Cell biology|Molecular biology,Di Wang,https://scholar.google.com/citations?view_op=medium_photo&user=PRIfd6IAAAAJ,57622,116,85,1240,825,0,0
93257,"Professor of Microbiology and Immunology, UCSF",@ucsf.edu,101011,Vo2jOVYAAAAJ,{'indices'},Immunology,Lewis L Lanier,https://scholar.google.com/citations?view_op=medium_photo&user=Vo2jOVYAAAAJ,26082,170,81,451,298,0,0
93258,"Birmingham, Schering plough, DNAX, MD Anderson, Medimmune, Sanofi",@sanofi.com,100700,EfpBkNAAAAAJ,{'indices'},immunology|dendritic cell|innate|cancer|sensing,YJ liu,https://scholar.google.com/citations?view_op=medium_photo&user=EfpBkNAAAAAJ,26053,138,74,392,265,0,0
93259,Director of Emory Vaccine Center,@emory.edu,94712,xNcyhtIAAAAJ,{'indices'},Immunology|Virology|Immunotherapy,Rafi Ahmed,https://scholar.google.com/citations?view_op=medium_photo&user=xNcyhtIAAAAJ,32172,149,96,445,330,0,0
93260,National Institutes of Health,@nih.gov,93896,--xLf1MAAAAJ,{'indices'},virology|medicine|microbiology|genetics|immunology,Bernard Moss,https://scholar.google.com/citations?view_op=medium_photo&user=--xLf1MAAAAJ,11632,162,48,785,335,0,0
93261,"Institut Gustave Roussy, Université de Paris Saclay, INSERM",@igr.fr,92980,QYyrxzsAAAAJ,{'indices'},cancer|tumor immunology|immunology,Laurence Zitvogel,https://scholar.google.com/citations?view_op=medium_photo&user=QYyrxzsAAAAJ,50617,140,103,425,370,0,0
93262,"Director, Ragon Institute of MGH, MIT and Harvard",@mgh.harvard.edu,90662,XfQwCTcAAAAJ,{'indices'},immunology|T cells|HIV|vaccines,Bruce D Walker,https://scholar.google.com/citations?view_op=medium_photo&user=XfQwCTcAAAAJ,23146,156,77,583,385,0,0
93263,Strieter Consulting,@virginia.edu,89454,IzQbe8YAAAAJ,{'indices'},Early drug development|Immunology|Inflammation|Fibrosis|Angiogenesis,"Robert M. Strieter, MD",https://scholar.google.com/citations?view_op=medium_photo&user=IzQbe8YAAAAJ,13488,169,57,574,334,0,0
93264,"HHMI, The Rockefeller University",@rockefeller.edu,88002,7FMLxGkAAAAJ,{'indices'},Immunology,michel nussenzweig,https://scholar.google.com/citations?view_op=medium_photo&user=7FMLxGkAAAAJ,33370,162,102,364,309,0,0
