Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
586322,"ULB, Unipi, VKI, Utah",,2734.0,jP4eB7YAAAAJ,{'indices'},energy|combustion|CFD|MILD combustion|reduced-order modelling,Alessandro Parente,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jP4eB7YAAAAJ&citpid=4,1912.0,27,24,55,53,0,0
586323,"Professor of Fluid Dynamics, University of Pisa",,3090.0,VoHP6fIAAAAJ,{'indices'},Fluid Dynamics|Turbulence|Numerical Simulation,Maria Vittoria Salvetti,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VoHP6fIAAAAJ&citpid=2,1375.0,30,21,64,42,0,0
586324,"Honorary Professor, University College London; Emeritus Professor, KIng's College London",,6168.0,qdUkEMkAAAAJ,{'indices'},Fluid Mechanics|Fluid Mixing,Michael Yianneskis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qdUkEMkAAAAJ&citpid=3,1525.0,42,22,101,52,0,0
586325,"Shahid Beheshti University, Department of Mechanical and Energy Engineering",,420.0,ASYOu0IAAAAJ,{'indices'},CFD|Heat Transfer|Combustion|Gasification|Process Optimization,Javad Aminian,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ASYOu0IAAAAJ&citpid=2,261.0,7,7,7,7,0,0
586326,,,1768.0,4Es-FM4AAAAJ,{'indices'},Chemical Engineering|Energy|Environment,Enrico Biagini,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ASYOu0IAAAAJ&citpid=2,736.0,20,16,29,18,0,0
586327,"Professor of Chemical Engineering, Iran University of Science and Technology",,1879.0,O1XyGmIAAAAJ,{'indices'},Chemical process modelling and control|Polymer|Biotechnology,shahrokh shahhosseini,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=O1XyGmIAAAAJ&citpid=2,1288.0,25,21,58,49,0,0
586328,Università di Pisa,,2209.0,x5fLi4oAAAAJ,{'indices'},Biomass|Pyrolysis,Federica Barontini,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x5fLi4oAAAAJ&citpid=2,905.0,21,16,30,23,0,0
586329,University of Pisa,,275.0,hu9ZHKYAAAAJ,{'indices'},Bioengineering|Microfluidics|Fluid Mechanics|CFD|Mathematical Modeling,Gianni Orsi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x5fLi4oAAAAJ&citpid=2,213.0,7,7,5,5,0,0
586330,Politecnico di Milano,,8551.0,4SWUML8AAAAJ,{'indices'},Chemical kinetics of pyrolysis and combustion|CFD of reacting flows,Alessio Frassoldati,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4SWUML8AAAAJ&citpid=2,5609.0,49,40,114,102,0,0
586331,"Associate Professor, Politecnico di Milano",,5997.0,4UWu0NAAAAAJ,{'indices'},Combustion|Detailed kinetics|CFD of reacting flows,Alberto Cuoci,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4UWu0NAAAAAJ&citpid=1,4405.0,41,37,86,78,0,0
586332,Professor of Refrigeration and Clean Energy Technologies,,4223.0,abU4EjAAAAAJ,{'indices'},Solar Thermal|Sorption Refrigeration|Hydrogen Storage,S S MURTHY,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=abU4EjAAAAAJ&citpid=1,1542.0,35,21,105,54,0,0
586333,Indian Institute of Technology Madras,,901.0,u6HI-qsAAAAJ,{'indices'},Fluid mechanics|heat transfer|vortex dynamics|non-linear dynamics,Shaligram Tiwari,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=abU4EjAAAAAJ&citpid=1,572.0,16,13,28,19,0,0
586334,"Professor of Civil Engineering, Indian Institute of Technology Madras",,2414.0,lFVg7bQAAAAJ,{'indices'},Urban Air Quality Management|Indoor Air Quality|Real Time Vehicle Exhaust Emission Modelling|Source Apportionment,Shiva Nagendra SM,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lFVg7bQAAAAJ&citpid=2,1783.0,24,22,48,46,0,0
586335,Indian Institute of Technology Madras,,206.0,wvEx2qAAAAAJ,{'indices'},Thermal comfort|passive cooling|air-conditioning|thermally activated building system,Leo Samuel,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wvEx2qAAAAAJ&citpid=1,169.0,5,5,3,3,0,0
586336,"Department of Mechanical Engineering, IIT Guwahati",,2535.0,TQ3fiegAAAAJ,{'indices'},Hydrogen storage|Metal hydride based thermal machines|sorption heating and cooling systems|thermal energy storage|porous med,"Prof. P. Muthukumar, FIE(I)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TQ3fiegAAAAJ&citpid=4,1829.0,31,24,65,57,0,0
586337,"Professor of Mechanical Engineering, Anna University",,1361.0,QJlZQKoAAAAJ,{'indices'},Absorption Cooling Systems|Polygeneration|Energy Conversion,Rajagopal Saravanan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QJlZQKoAAAAJ&citpid=6,752.0,21,15,29,22,0,0
586338,Associate Professor of Mechanical,,833.0,esQtsE4AAAAJ,{'indices'},Energy storage|Hydrogen storage,Anil Kumar,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=esQtsE4AAAAJ&citpid=9,729.0,16,15,25,22,0,0
586339,University of Saskatchewan,,69.0,QEPdX3oAAAAJ,{'indices'},Desiccant Air-Conditioning|Heat and Mass Transfer|HVAC and R Systems,Dr. A Gurubalan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=esQtsE4AAAAJ&citpid=9,69.0,4,4,3,3,0,0
586340,SINTEF Energi AS,,1483.0,xucl63oAAAAJ,{'indices'},,Krzysztof Banasiak,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=esQtsE4AAAAJ&citpid=9,1330.0,22,21,35,34,0,0
586341,"Chief Scientist at SINTEF and Adjunct Professor at NTNU, Norway",,2113.0,hj4yIpAAAAAJ,{'indices'},Energy efficiency|process engineering|refrigeration technology,Petter Nekså,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=esQtsE4AAAAJ&citpid=9,1021.0,21,16,45,25,0,0
586342,"Birla Institute of Technology and Science, Pilani",,16178.0,RAF6I7AAAAAJ,{'indices'},nan,Simarpreet Singh,nan,8385.0,47,34,299,174,0,0
586343,"1)Institute for Grey System Studies, NUAA, CN;2)Centre for Computational Intelligence, DMU, UK",,33502.0,NWAdCZUAAAAJ,{'indices'},nan,Sifeng Liu,nan,11321.0,70,41,528,211,0,0
586344,"Professor, Chongqing Technology and Business University",,5491.0,1A6TNl4AAAAJ,{'indices'},nan,Chuan LI,nan,4997.0,40,40,93,88,0,0
586345,"Associate Prof. in Mathematics, Southwest University of Science and Technology",,1748.0,WUwRi7QAAAAJ,{'indices'},nan,Xin Ma,nan,1742.0,25,25,44,44,0,0
586346,Chongqing Technology and Business University,,1364.0,inzKPAkAAAAJ,{'indices'},nan,Yun Bai,nan,1320.0,20,20,31,30,0,0
586347,Chongqing Technology and Business University,,650.0,oovET9MAAAAJ,{'indices'},nan,Xian Jun Long,nan,363.0,14,11,21,13,0,0
586348,RMIT,,2085.0,VrSKYJsAAAAJ,{'indices'},nan,Yongtao Tan,nan,1737.0,27,26,40,34,0,0
586349,"Professor of Civil and Environmental Engineering, Stanford University",,11767.0,JKR4krMAAAAJ,{'indices'},nan,stephen monismith,nan,4756.0,60,36,159,128,0,0
