,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
127234,"Professor of Management, Seton Hall University",@shu.edu,939,aYhyX0wAAAAJ,{'indices'},knowledge organizations|business management|production|engineering|science,AD Amar (Amar Dev Amar),https://scholar.google.com/citations?view_op=medium_photo&user=aYhyX0wAAAAJ,335,13,8,13,8,0,0
127235,Nantong University,@ntu.edu.cn,938,UMOCIoAAAAAJ,{'indices'},science,baochun jiang,https://scholar.google.com/citations?view_op=medium_photo&user=UMOCIoAAAAAJ,878,15,15,21,20,0,0
127236,"Professor, University of Florida",@ufl.edu,932,MjLSulwAAAAJ,{'indices'},public relations|science|agricultural communication|health communication,"Lisa K. Lundy, PhD",https://scholar.google.com/citations?view_op=medium_photo&user=MjLSulwAAAAJ,424,17,9,24,9,0,0
127237,Central European Annals of Clinical Research,@ceacr.net,929,JMFeuSwAAAAJ,{'indices'},medicine|science|clinical research|icu,CEACR,https://scholar.google.com/citations?view_op=medium_photo&user=JMFeuSwAAAAJ,797,13,12,18,16,0,0
127238,"Senior Lecturer in Early Childhood Education, University of New England",@une.edu.au,928,7aA1ANEAAAAJ,{'indices'},early childhood education|sustainability|science|nature play|outdoor playspaces,Sue Elliott,https://scholar.google.com/citations?view_op=medium_photo&user=7aA1ANEAAAAJ,587,13,10,17,12,0,0
127239,University of Nebraska,@unl.edu,917,Z2Aer6UAAAAJ,{'indices'},entomology|agricutlure|zoology|science,Jeffrey D. Bradshaw,https://scholar.google.com/citations?view_op=medium_photo&user=Z2Aer6UAAAAJ,428,17,12,26,16,0,0
127240,IFERP,,914,jgjButsAAAAJ,{'indices'},science|Engineering and management,IJSEM,https://scholar.google.com/citations?view_op=medium_photo&user=jgjButsAAAAJ,409,16,12,21,14,0,0
127241,Leiden University,@fsw.leidenuniv.nl,914,iepRs90AAAAJ,{'indices'},Science,Wouter Boekel,https://scholar.google.com/citations?view_op=medium_photo&user=iepRs90AAAAJ,752,9,9,9,9,0,0
127242,"senior vice president, conservation international",@conservation.org,908,2LugI8YAAAAJ,{'indices'},science,hank cauley,https://scholar.google.com/citations?view_op=medium_photo&user=2LugI8YAAAAJ,224,6,3,5,3,0,0
127243,Hind Agri-Horticultural Society,@researchjournal.co.in,908,emc2wKkAAAAJ,{'indices'},Agriculture|Science|Commerce|Arts|Medical,HAS (Hind Agri-Horticultural Society),https://scholar.google.com/citations?view_op=medium_photo&user=emc2wKkAAAAJ,671,10,8,10,3,0,0
127244,"Associate Professor of Sociology, Rutgers University",@sociology.rutgers.edu,904,dcgQQO8AAAAJ,{'indices'},Sociology of Medicine|Science|Gender|Body|Culture,Joanna Kempner,https://scholar.google.com/citations?view_op=medium_photo&user=dcgQQO8AAAAJ,523,9,8,9,8,0,0
127245,,,900,0L3esw8AAAAJ,{'indices'},science,bertsy Goic,https://scholar.google.com/citations?view_op=medium_photo&user=0L3esw8AAAAJ,553,9,8,9,8,0,0
127246,"Associate Professor, North Carolina State University",@ncsu.edu,896,PC_IdnIAAAAJ,{'indices'},Science|risk|mass media|public attitudes,Andrew R. Binder,https://scholar.google.com/citations?view_op=medium_photo&user=PC_IdnIAAAAJ,666,16,15,17,17,0,0
127247,CRG1,@crg.eu,881,gn2uofsAAAAJ,{'indices'},Science,Javier Delgado,https://scholar.google.com/citations?view_op=medium_photo&user=gn2uofsAAAAJ,561,13,12,15,12,0,0
127248,"Director of Education and Student Affairs, Faculty of Science, University of Utrecht",@uu.nl,879,R4DrmbcAAAAJ,{'indices'},Research|science|Education policy|bilingual education|management,Cornelia de Wolf,https://scholar.google.com/citations?view_op=medium_photo&user=R4DrmbcAAAAJ,223,9,7,9,5,0,0
127249,Professor of Science and Innovation Policy,@up.ac.za,871,gFQYEK0AAAAJ,{'indices'},Science|technology and innovation and biotechnology …,John Ouma-Mugabe,https://scholar.google.com/citations?view_op=medium_photo&user=gFQYEK0AAAAJ,194,15,6,30,5,0,0
127250,,,868,xu3B2dIAAAAJ,{'indices'},astronomy|science,Danuta Paraficz,https://scholar.google.com/citations?view_op=medium_photo&user=xu3B2dIAAAAJ,348,13,9,14,9,0,0
127251,University of Queensland,@uq.edu.au,866,pLEwNcQAAAAJ,{'indices'},science|complexity|medicine,Peter T Bell,https://scholar.google.com/citations?view_op=medium_photo&user=pLEwNcQAAAAJ,850,9,9,9,8,0,0
127252,,@umcg.nl,865,tMRvIpUAAAAJ,{'indices'},Science|microbiology|Biofilms|dentistry|3d animation,René Dijkstra,https://scholar.google.com/citations?view_op=medium_photo&user=tMRvIpUAAAAJ,366,18,10,22,11,0,0
127253,,,863,wSO8LigAAAAJ,{'indices'},Science,Mohammad Moniruzzaman Milton,https://scholar.google.com/citations?view_op=medium_photo&user=wSO8LigAAAAJ,553,16,12,33,20,0,0
127254,"Research Associate Prof. of Molecular Biotechnology, National Research Center, Cairo …",,846,g-BBIWQAAAAJ,{'indices'},Higher education|Science|Technology and innovation & Molecular …,Wagdy A. Sawahel,https://scholar.google.com/citations?view_op=medium_photo&user=g-BBIWQAAAAJ,234,13,5,15,3,0,0
127255,"Associate Professor, University of Virginia",@virginia.edu,837,iWK7deIAAAAJ,{'indices'},history|history of technology|science|technology|and society,Peter Norton,https://scholar.google.com/citations?view_op=medium_photo&user=iWK7deIAAAAJ,448,7,6,6,6,0,0
127256,ISBN,@businessline.global,834,VyoMiNcAAAAJ,{'indices'},Science|General research and Technology,Global Business Line,https://scholar.google.com/citations?view_op=medium_photo&user=VyoMiNcAAAAJ,512,15,12,19,13,0,0
127257,Freelance science writer,,829,EaFunfcAAAAJ,{'indices'},Science|Medicine|Biotechnology,Jim Kling,https://scholar.google.com/citations?view_op=medium_photo&user=EaFunfcAAAAJ,250,15,8,25,6,0,0
127258,BA Fashion Textiles,@onet.pl,827,zDAvX7sAAAAJ,{'indices'},Fashion|Trend Forecasting|Psychology|Philosophy|Science,Laura Flaszczynska,https://scholar.google.com/citations?view_op=medium_photo&user=zDAvX7sAAAAJ,241,11,6,11,5,0,0
127259,professor of Computer Science,,825,owM2hxkAAAAJ,{'indices'},computers|science|physics,Urbanus Kyalo,https://scholar.google.com/citations?view_op=medium_photo&user=owM2hxkAAAAJ,274,13,9,15,9,0,0
127260,"Distinguished Researcher, Keio University",@sfc.keio.ac.jp,819,qvIrlSQAAAAJ,{'indices'},Design|Engineering|Art|Science,Joichi Ito,https://scholar.google.com/citations?view_op=medium_photo&user=qvIrlSQAAAAJ,654,12,9,14,8,0,0
127261,"Department of Sociology, University of Ghana",@ug.edu.gh,818,xDPhsTAAAAAJ,{'indices'},Science|Technology and Innovation Policy|Triple Helix|Development,James Dzisah,https://scholar.google.com/citations?view_op=medium_photo&user=xDPhsTAAAAAJ,410,11,9,12,9,0,0
127262,Tribhuvan University,@cdmi.tu.edu.np,805,0rmEMrQAAAAJ,{'indices'},microbiology|medical|science|virology|bacteriology,Prof.Dr.Dwij Raj Bhatta,https://scholar.google.com/citations?view_op=medium_photo&user=0rmEMrQAAAAJ,496,16,13,27,20,0,0
127263,student,,802,tJ-QAGQAAAAJ,{'indices'},science|arts and music,Ankita Varshney,https://scholar.google.com/citations?view_op=medium_photo&user=tJ-QAGQAAAAJ,428,14,10,17,12,0,0
127264,Abdullah Gül Üniversitesi,,802,cXoMhXwAAAAJ,{'indices'},Science,orhan demirci,https://scholar.google.com/citations?view_op=medium_photo&user=cXoMhXwAAAAJ,405,13,12,24,16,0,0
127265,University of Vermont,@jhu.edu,796,2PgShdgAAAAJ,{'indices'},music|science|and related computing,John Mantegna,https://scholar.google.com/citations?view_op=medium_photo&user=2PgShdgAAAAJ,374,10,8,10,7,0,0
127266,"Deputy Head, Laboratory of Economics of Innovation, National Research University Higher …",@hse.ru,788,jPGJPKoAAAAJ,{'indices'},Science|Technology and Innovation Studies,Vitaliy Roud,https://scholar.google.com/citations?view_op=medium_photo&user=jPGJPKoAAAAJ,530,16,14,18,15,0,0
127267,zhengzhou university,@zzu.edu.cn,780,MpbpTo4AAAAJ,{'indices'},science,Pei Li,https://scholar.google.com/citations?view_op=medium_photo&user=MpbpTo4AAAAJ,523,17,14,23,19,0,0
127268,"Responsable des Biotechnologies de la reproduction, SYSAAF",@inrae.fr,779,a7oAZOsAAAAJ,{'indices'},Reproduction|biologie|science,Maxime REVERCHON,https://scholar.google.com/citations?view_op=medium_photo&user=a7oAZOsAAAAJ,623,17,15,17,17,0,0
