Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
610514,"Professor, Harvard University",,19361,4HbER1EAAAAJ,{'indices'},error,Dyann Wirth,nan,5722,80,41,250,140,0,0
610515,"Higgins Professor of Biology, Harvard University",,53026,h_MOIUUAAAAJ,{'indices'},Genetics|Genomics|Evolution,Daniel L. Hartl,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=h_MOIUUAAAAJ&citpid=2,12178,114,51,392,192,0,0
610516,"Senior Computational Biologist, Broad Institute",,58776,tiovJ-EAAAAJ,{'indices'},error,Stephen Schaffner,nan,17400,59,46,115,82,0,0
610517,"Viral Genomics, Broad Institute of Harvard and MIT",,5776,_BU33KcAAAAJ,{'indices'},Infectious disease genomics and evolution,Daniel J. Park,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_BU33KcAAAAJ&citpid=2,3880,32,29,39,37,0,0
610518,Monash University / Harvard School of Public Health,,5124,Kty5i3wAAAAJ,{'indices'},Disease Vectors|Malaria|Arboviruses|Genomics|Genomic Epidemiology,Seth Redmond,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Kty5i3wAAAAJ&citpid=4,3107,17,14,19,18,0,0
610519,"Assistant Professor, National Tsing Hua University, Taiwan",,1125,TG3mBAkAAAAJ,{'indices'},Population genetics|Evolution|Infectious diseases|Drug resistance,Hsiao-Han Chang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TG3mBAkAAAAJ&citpid=3,969,18,17,19,19,0,0
610520,"Associate Professor, Boston University",,48503,T2UE00sAAAAJ,{'indices'},error,James Galagan,nan,13986,56,42,79,73,0,0
610521,"Computational Biologist, Broad Institute",,282,LhdJRMQAAAAJ,{'indices'},Evolution|Population Genetics|Host-Microbe Interactions|Malaria|Drosophila,Angela M. Early,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LhdJRMQAAAAJ&citpid=3,237,10,9,10,9,0,0
610522,"PharmD, PhD, Institut Pasteur de la Guyane",,1966,Go5cQOUAAAAJ,{'indices'},error,Lise Musset,nan,1461,25,20,34,33,0,0
610523,Harvard T.H. Chan School of Public Health,,424,IaJwGawAAAAJ,{'indices'},error,Aimee Taylor,nan,417,10,10,10,10,0,0
610524,Virginia Tech,,3402,vWqS5GMAAAAJ,{'indices'},Genomics|Cytogenetics|Evolutionary Biology|Vector Biology,Igor Sharakhov,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vWqS5GMAAAAJ&citpid=4,2286,27,22,65,46,0,0
610525,"Professor of Biology and Computer Science, Indiana University",,22341,ShySYTIAAAAJ,{'indices'},Evolution|Population genetics|Molecular evolution|Phylogenetics|Bioinformatics,Matthew W. Hahn,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ShySYTIAAAAJ&citpid=2,11157,69,55,140,122,0,0
610526,CNRS researcher at MIVEGEC,,2699,rvFE0t4AAAAJ,{'indices'},Evolutionary Biology|Population Genetics|Genomics|Marine Mammals|Mosquitoes & Human Evolution,Michael C. Fontaine,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rvFE0t4AAAAJ&citpid=3,1845,26,21,40,37,0,0
610527,Broad Institute,,7523,jCnD0tYAAAAJ,{'indices'},infectious disease|genomics|evolution|epidemiology|global health,Bronwyn MacInnis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jCnD0tYAAAAJ&citpid=1,5423,35,29,46,41,0,0
610528,"Associate Professor, University of Tennessee (EECS)",,9969,QiYAB0wAAAAJ,{'indices'},bioinformatics|non-model genomics|high-throughput computing,Scott Emrich,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QiYAB0wAAAAJ&citpid=4,5410,33,24,62,46,0,0
610529,"Dept. Ecology & Evolution & Swiss Institute of Bioinformatics, University of Lausanne",,14825,4FnFU4oAAAAJ,{'indices'},Arthropod Evolutionary-Functional Genomics,Robert M. Waterhouse,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4FnFU4oAAAAJ&citpid=5,11660,42,39,64,62,0,0
610530,"Professor, University of California, Berkeley",,147455,bMK_K2cAAAAJ,{'indices'},fungi|mycology|evolution|phylogeny,John W. Taylor,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bMK_K2cAAAAJ&citpid=2,67201,127,69,715,365,0,0
610531,"Associate Professor, Oregon State University",,10695,0g2z34EAAAAJ,{'indices'},Gut Microbiome Systems Biology,Thomas J. Sharpton,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0g2z34EAAAAJ&citpid=4,7770,24,24,37,37,0,0
610532,"Silver Professor; Professor of Biology, and Global Public Health, New York University",,21191,mCpDQqYAAAAJ,{'indices'},Comparative genomics|evolutionary biology|protists|malaria|trichomonads,Jane M Carlton,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mCpDQqYAAAAJ&citpid=2,6825,62,37,116,87,0,0
610533,"Professor of Biology, Temple University",,10956,nWhT1u8AAAAJ,{'indices'},Malaria|Evolution|Phylogeny|Parasitology|Drug Resistance,Ananias A. Escalante,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nWhT1u8AAAAJ&citpid=5,3944,55,33,125,107,0,0
610534,Lawrence Berkeley National Laboratory,,19848,lV5kfioAAAAJ,{'indices'},photosynthesis|plant cell walls|polysaccharides|biofuels|glycosyltransferases,Henrik V. Scheller,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lV5kfioAAAAJ&citpid=3,8436,73,45,191,136,0,0
610535,"Professor, Newcastle University",,13899,LlEZSU4AAAAJ,{'indices'},Plants cell walls,William Willats,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LlEZSU4AAAAJ&citpid=2,6569,55,42,143,128,0,0
610536,University of Copenhagen,,1953,6rVK0ZoAAAAJ,{'indices'},error,Naomi Geshi,nan,767,22,17,27,19,0,0
610537,"Professor of Plant Cell Biology, University of Leeds",,20431,vsYeCHMAAAAJ,{'indices'},Plant cell walls|polysaccharides|plant-soil interactions|plant cell biology|plant biology,Paul Knox,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vsYeCHMAAAAJ&citpid=6,6958,75,43,191,140,0,0
