Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
569917,,,867.0,A0dOqCQAAAAJ,{'indices'},Electrochemistry,Federico Bertasi,,787.0,18,17,23,23,1,0
569918,"Professor of Chemistry, Medgar Evers College and Graduate Center of the City University of New York",,1084.0,sgPQedQAAAAJ,{'indices'},energy storage and generation|nanotechnology|materials chemistry|biohybrids,Michele Vittadello,,378.0,20,11,29,14,1,0
569919,"Professor of Chemical and Biological Engineering, Colorado School of Mines",,7921.0,r-4fIvAAAAAJ,{'indices'},Energy|Electrochemical Engineering|Polymer Electrolytes|Chemical Engineering|Chemistry,Andrew M Herring,,4477.0,45,31,105,71,1,0
569920,"Professor of Chemical Engineering and Gibson Endowed Chair of Engineering, University of Tennessee",,8802.0,ILAw6sYAAAAJ,{'indices'},proton transport|simulation|computation|fuel cells|energy storage,Stephen J Paddison,,2878.0,47,28,88,63,1,0
569921,University of Padova,,9718.0,1YHACWsAAAAJ,{'indices'},Stem cell engineering,Nicola Elvassore,,5244.0,45,27,97,65,1,0
569922,Technology Development Engineer at Intel Corporation,,397.0,HUm2cekAAAAJ,{'indices'},Polymers|ion conducting membranes|fuel cells|semiconductor,Tara Pandey,,375.0,8,7,6,6,1,0
569923,University of Tennessee-Knoxville,,262.0,QuIai4UAAAAJ,{'indices'},Chemical Engineering|Rheology|Chemistry|Physics,Fatemeh Sepehr,,242.0,9,9,7,7,1,0
569924,NUS,,19233.0,_qa33qIAAAAJ,{'indices'},,Jishan Wu (NUS),,10325.0,69,47,216,187,1,0
569925,"Professor of Chemistry, Florida State University",,4299.0,CKYHbmkAAAAJ,{'indices'},Inorganic Chemistry|Materials Chemistry|Crystallography|Magnetism,Michael Shatruk,,2290.0,37,25,84,60,1,0
569926,National University of Singapore,,5597.0,qHGB3e4AAAAJ,{'indices'},pi-Conjugated molecules and materials,Chunyan Chi,,3237.0,42,30,86,68,1,0
569927,"Professor of Chemistry, Florida State University",,3661.0,QN2Fu6oAAAAJ,{'indices'},Organic Chemistry|Supramolecular Chemistry,Lei Zhu,,1538.0,32,23,52,39,1,0
569928,"Professor of Chemistry, Carnegie Mellon University",,3079.0,aen7xQ0AAAAJ,{'indices'},Inorganic Chemistry,Catalina Achim,,808.0,31,16,50,25,1,0
569929,"Iowa State University, Department of Chemistry",,6267.0,VyGD2DUAAAAJ,{'indices'},Inorganic and materials chemistry,Kirill A. Kovnir,,3884.0,41,31,111,92,1,0
569930,"University of California, Berkeley",,129786.0,cJ2B_K0AAAAJ,{'indices'},Chemistry and Chemical engineering,Jean Frechet,,26391.0,185,76,787,420,1,0
569931,University of Massachusetts - Amherst,,6764.0,KfT2kVkAAAAJ,{'indices'},Polymer Science,Kenneth Carter,,1821.0,44,23,112,55,1,0
569932,IBM ,,41987.0,hp5SuP0AAAAJ,{'indices'},polymer,James L. Hedrick,,15406.0,109,63,468,288,1,0
569933,,,162.0,wbWPupkAAAAJ,{'indices'},,Sam Hein,,144.0,6,6,6,6,1,0
569934,"Professor of Chemistry and Materials, UCSB",,86166.0,LYgV738AAAAJ,{'indices'},Materials|Polymers,Craig Hawker,,23884.0,148,75,591,430,1,0
569935,"Research Staff Member, IBM Almaden Research Center",,11144.0,6Na5lF4AAAAJ,{'indices'},Hybrid Polymeric Materials,Willi Volksen,,2196.0,52,21,155,42,1,0
569936,"Adjunct Prof. Material Science 7 Engineering, Stanford university",,32070.0,WQwtNLoAAAAJ,{'indices'},,robert miller,,4777.0,83,29,380,105,1,0
569937,"University of Southern California, Princeton University, California Institute of Technology, Oxford University",,89041.0,dFdP6U0AAAAJ,{'indices'},,Mark Thompson,,26585.0,136,73,199,181,1,0
569938,"Development Engineer, Zeopore Technologies NV",,530.0,W9m4HW0AAAAJ,{'indices'},Hierarchical zeolite|Catalysis,Martin d'Halluin,,477.0,10,10,12,12,1,0
569939,Institut National Polytechnique de Toulouse,,13370.0,zKLUjn8AAAAJ,{'indices'},organometallic chemistry|controlled radical polymerization|homogeneous catalysis,Rinaldo Poli,,3918.0,56,30,305,114,1,0
569940,"Université de Montpellier, Laboratories Servier",,350.0,ZCO_liwAAAAJ,{'indices'},chimie organique|catalyse|chimie organométallique|chimie des matériaux|peptides,JORDI RULL-BARRULL,,312.0,9,9,9,7,1,0
569941,"Institut des Matériaux Jean Rouxel , Nantes, France",,1787.0,4-BsyMAAAAAJ,{'indices'},Nuclear Magnetic Resonance,Michaël Paris,,1087.0,24,19,51,38,1,0
569942,Prof. University of Nantes,,22255.0,bAAdTKMAAAAJ,{'indices'},Theoretical chemistry|excited-states|dyes,Denis Jacquemin,,12251.0,70,51,392,270,1,0
569943,Chemistry Professor,,5105.0,FzL6HCsAAAAJ,{'indices'},polymer|nanoparticle|photocatalysis|nanocomposite,jerome claverie,,2240.0,36,26,77,54,1,0
569944,Université de Bourgogne,,4090.0,khWdMHUAAAAJ,{'indices'},chimie,Philippe RICHARD,,1339.0,34,18,115,40,1,0
569945,CNRS,,2426.0,O0YG26EAAAAJ,{'indices'},,Jean-Luc Parrain,,620.0,27,13,89,17,1,0
569946,"Associate Professor, Institute of Chemical Technology Mumbai-Marathwada Campus",,8329.0,tmdAM1QAAAAJ,{'indices'},2D cabon nanostructures|Nanocatalysis|green synthesis|Benign reaction technologies,"Manoj B. GAWANDE, FRSC (UK), Doc...",,6613.0,42,38,81,70,1,0
569947,"Professeur, Université de Nantes",,2715.0,mkwM96MAAAAJ,{'indices'},Quantitative NMR|Fast multidimensional methods|Hyperpolarization|Metabolomics|Benchtop NMR,Patrick Giraudeau,,1761.0,34,26,72,54,1,0
569948,Université de Nantes,,240.0,A0k82foAAAAJ,{'indices'},Operations research|Optimization|Chemical engineering|Mathematical programming,Daniel Cortés-Borda,,212.0,8,8,7,7,1,0
569949,Instytut Chemii Organicznej PAN,,11087.0,lAvxq5MAAAAJ,{'indices'},Supramolecular chemistry|sugars|asymmetric synthesis,Janusz Jurczak,,2086.0,47,19,288,51,1,0
569950,Universitat Jaume I,,5030.0,_ODbcpIAAAAJ,{'indices'},Chemistry,Rosa Llusar,,1528.0,39,20,134,49,1,0
569951,"Professor of Physical Chemistry, The University of the West Indies",,1082.0,2x4UqPAAAAAJ,{'indices'},thermodynamics|modified electrodes|surfactant monolayers|structural phase transitions in minerals,Willem H. Mulder,,295.0,17,8,27,6,1,0
569952,Department of Chemistry: The UWI (Mona),,249.0,Nkytmd4AAAAJ,{'indices'},Synthesis|electrochemistry|electrocatalysis|kinetics and reaction mechanisms,Mark A.W. Lawrence,,225.0,9,9,8,7,1,0
569953,"Department of Chemistry, University of the West Indies Mona",,228.0,2J1dnFwAAAAJ,{'indices'},Materials Chemistry,Peter Nelson,,176.0,9,7,6,3,1,0
569954,University of the West Indies,,397.0,OpKzXiEAAAAJ,{'indices'},Natural Products Chemistry,Petrea Facey,,182.0,11,8,11,7,1,0
569955,"Full professor Chemistry, University of Antwerp",,23972.0,6VJHsJwAAAAJ,{'indices'},plasma chemistry|CO2 conversion|plasma catalysis|plasma medicine|modeling,Annemie Bogaerts,,13822.0,76,56,435,296,1,0
569956,Full Professor - Chemistry - University of Antwerp,,7451.0,iD-YY1sAAAAJ,{'indices'},plasma-surface interactions|molecular dynamics|carbon nanotubes|plasma catalysis,Erik C. Neyts,,5106.0,41,32,110,86,1,0
569957,Clean Combustion Research Center/ King Abdullah University of Science and Technology,,2657.0,yJesMMIAAAAJ,{'indices'},combustion|plasma|energy & environment,Min Suk Cha,,1429.0,31,23,57,45,1,0
569958,"University of Bologna, Department of Industrial Chemistry ""Toso Montanari""",,1291.0,F-ob7IsAAAAJ,{'indices'},Analytical Chemistry,Andreas Lesch,,998.0,22,19,37,34,1,0
