Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
563300,University of Bath,,4608.0,fS7jW-YAAAAJ,{'indices'},error,Matthew G. Davidson,nan,1591.0,37,21,96,42,0,0
563301,"Professor of Chemical Engineering, University of Bath, UK",,4449.0,Ob46qCUAAAAJ,{'indices'},membranes|catalysis|environmental nanotechnology,Davide Mattia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ob46qCUAAAAJ&citpid=2,3006.0,30,26,61,53,0,0
563302,UCL,,379.0,fKqp3C0AAAAJ,{'indices'},,Rhodri Owen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fKqp3C0AAAAJ&citpid=1,331.0,10,10,10,10,0,0
563303,STFC,,479.0,1nDT0G4AAAAJ,{'indices'},Policy|Environment|Science|Nanotechnology|Catalysis,Justin O'Byrne,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1nDT0G4AAAAJ&citpid=2,301.0,14,11,16,12,0,0
563304,"Professor für Bioanorganische Chemie, RWTH Aachen University",,3613.0,WIRdCc0AAAAJ,{'indices'},Bioanorganische Chemie|Polymerisationskatalyse,Sonja Herres-Pawlis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WIRdCc0AAAAJ&citpid=1,2067.0,33,23,111,82,0,0
563305,University of Bath,,7601.0,KqmIkf0AAAAJ,{'indices'},Synthesis|Catalysis|Medicinal chemistry|Green chemistry|Chemical sensing,Professor Steven D Bull,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KqmIkf0AAAAJ&citpid=4,3395.0,46,28,151,75,0,0
563306,"Whorrod Research Fellow, University of Bath",,4179.0,DVR5gZAAAAAJ,{'indices'},Chemistry,Dr Antoine Buchard,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DVR5gZAAAAAJ&citpid=2,2577.0,25,23,40,33,0,0
563307,"University of Aveiro, Department of Chemistry - CICECO",,11882.0,njgCR8gAAAAJ,{'indices'},Metal-Organic Frameworks|Crystallography|Functional Hybrid Materials,Filipe A. Almeida Paz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=njgCR8gAAAAJ&citpid=3,5679.0,51,29,209,124,0,0
563308,Chair in Bioinorganic and Materials Chemistry,,2836.0,N-MINeMAAAAJ,{'indices'},metals in medicine|nanotechnology|molecular imaging|radiochemistry|carbon nano materials,Professor Sofia Pascu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N-MINeMAAAAJ&citpid=2,1188.0,32,20,71,47,0,0
563309,"NMR Spectroscopist, University of Bath",,2394.0,U3mMlTAAAAAJ,{'indices'},NMR|medicinal chemistry|organometallic chemistry|drug discovery,Timothy John Woodman,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=N-MINeMAAAAJ&citpid=2,1371.0,25,15,46,24,0,0
563310,"University of Paderborn, Germany",,5886.0,mQPzndAAAAAJ,{'indices'},Polymer Synthesis|Functional Hydrogels|Responsive Materials,Dirk Kuckling,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mQPzndAAAAAJ&citpid=2,1896.0,38,23,111,52,0,0
563311,"Professor, University of Bath",,1965.0,P_BL7x0AAAAJ,{'indices'},Bioprocess Engineering,Christopher Chuck,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P_BL7x0AAAAJ&citpid=3,1479.0,25,21,48,45,0,0
563312,PhD,,235.0,0KuUWL0AAAAJ,{'indices'},Life Cycle Assessment|Carbon Dioxide Utilisation|Nanomaterials,O G Griffiths,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P_BL7x0AAAAJ&citpid=3,183.0,4,4,4,4,0,0
563313,University of Bath,,3271.0,3--HJssAAAAJ,{'indices'},life cycle assessment|energy|environment|bioenergy|sustainability,marcelle mcmanus,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P_BL7x0AAAAJ&citpid=3,2078.0,32,25,48,43,0,0
563314,University of Bath,,17774.0,rTL8MBsAAAAJ,{'indices'},,Marken F,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rTL8MBsAAAAJ&citpid=2,5484.0,67,30,370,164,0,0
563315,University of Strathclyde,,1776.0,yhnSV0gAAAAJ,{'indices'},Organometallic chemistry,charles o'hara,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rTL8MBsAAAAJ&citpid=2,729.0,23,14,45,23,0,0
