Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
188757,"Ikerbasque Prof. of Astrophysics, University of the Basque Country",,27969,unjiYgQAAAAJ,{'indices'},Cosmology|Gravitational Lensing|Dark Matter|Galaxy Clusters|Galaxy Evolution,Tom Broadhurst,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=unjiYgQAAAAJ&citpid=2,8547,93,50,254,171,0,0
188758,Durham University,,30052,Y0jvrTsAAAAJ,{'indices'},astrophysics|astronomy,Alastair Edge,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=unjiYgQAAAAJ&citpid=2,11060,92,57,255,189,0,0
188759,"Queen Mary, University of London",,33795,fuOSRfkAAAAJ,{'indices'},Astronomy|Observational cosmology|Galaxy surveys,Will Sutherland,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=unjiYgQAAAAJ&citpid=2,5761,83,31,107,65,0,0
188760,ICRAR / UWA,,14789,Pjr6b_gAAAAJ,{'indices'},Ex-Galactic|Galaxy Groups|Cosmology,Aaron Robotham,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Pjr6b_gAAAAJ&citpid=2,10627,66,58,169,160,0,0
188761,"Institute for Computational Cosmology, Durham University, UK",,41952,DZVUsuoAAAAJ,{'indices'},Astrophysics|Astronomy|Cosmology|Space Sciences,Carlton Baugh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Pjr6b_gAAAAJ&citpid=2,11769,96,53,244,187,0,0
188762,"Ogden Professor of Fundamental Physics, Durham University",,133329,1sSj1fYAAAAJ,{'indices'},Astrophysics,Carlos Frenk,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Pjr6b_gAAAAJ&citpid=2,44057,156,99,486,380,0,0
188763,University of Colorado,,6301,l2lXrWwAAAAJ,{'indices'},Protoplanetary Disks|Extrasolar Planets|Supernova Remnants|Astronomical Instrumentation,Kevin France,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=l2lXrWwAAAAJ&citpid=3,4257,42,34,122,97,0,0
188764,Swinburne Unversity of Technology,,68314,aDOX6EMAAAAJ,{'indices'},Astronomy|astrophysics|cosmology|astronomical instrumentation,Prof. Karl Glazebrook,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aDOX6EMAAAAJ&citpid=2,20281,117,71,288,222,0,0
188765,Italian Space Agency,,80525,vuiGOA0AAAAJ,{'indices'},astrophysics|cosmology|astroparticle,paolo giommi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vuiGOA0AAAAJ&citpid=2,33028,126,79,432,248,0,0
188766,European Southern Observatory,,31153,vQTbomQAAAAJ,{'indices'},AGN|Galaxy evolution|IFU instrumentation,Vincenzo Mainieri,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vQTbomQAAAAJ&citpid=1,13401,97,62,220,184,0,0
188767,"Professor of Astrophysics, University of Ferrara",,42750,_9bItzkAAAAJ,{'indices'},Observational Astrophysics - Cosmology,Piero Rosati,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_9bItzkAAAAJ&citpid=2,14687,108,59,348,235,0,0
188768,"Professor of Physics, Technical University of Munich",,30107,UR3ZOhsAAAAJ,{'indices'},Astronomy|neutrino|cosmic rays,Elisa Resconi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UR3ZOhsAAAAJ&citpid=1,16396,90,64,190,149,0,0
188769,PostDoc - IFGW Unicamp,,1014,lyPGLx4AAAAJ,{'indices'},Astrophysics,Bruno Arsioli,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lyPGLx4AAAAJ&citpid=2,1001,9,9,9,9,0,0
188770,"Dirigente di Ricerca, INAF, Osservatorio Astronomico di Brera",,47845,m8EgJIMAAAAJ,{'indices'},astronomy and astrophysics,Gianpiero Tagliaferri,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=m8EgJIMAAAAJ&citpid=4,18393,98,61,430,218,0,0
