Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
55086,"Assistant professor of Biotechnology, PSG College of Technology",,482,aeFG4z4AAAAJ,{'indices'},Molecular biology|Genetics,J.Poongothai,https://scholar.google.com/citations?view_op=medium_photo&user=aeFG4z4AAAAJ,209,4,3,2,1,0,0
55087,"Molecular Biology and Genetics, İstanbul University",@istanbul.edu.tr,482,PlhWldwAAAAJ,{'indices'},genetics|plant tissue culture|genomics|genetic engineering|biotechnology,Prof. Dr. Şule Arı,https://scholar.google.com/citations?view_op=medium_photo&user=PlhWldwAAAAJ,308,15,11,19,13,0,0
55088,"Associate Professor, Department of Biotechnology and Genetic Engineering, Noakhali …",,482,tT7-akkAAAAJ,{'indices'},Biology|Microbiology|Fisheries|Genetics,Mohammed Mafizul Islam,https://scholar.google.com/citations?view_op=medium_photo&user=tT7-akkAAAAJ,289,13,11,13,11,0,0
55089,Beijing Normal University,@mail.bnu.edu.cn,481,NBWUgY4AAAAJ,{'indices'},Neuroscience|Genetics,Xuemei Lei,https://scholar.google.com/citations?view_op=medium_photo&user=NBWUgY4AAAAJ,306,11,9,14,9,0,0
55090,Brigham and Women's Hospital/Harvard Medical School,@bwh.harvard.edu,481,n2ok8BoAAAAJ,{'indices'},genetics|genomics,Raul Pina-Aguilar,https://scholar.google.com/citations?view_op=medium_photo&user=n2ok8BoAAAAJ,378,9,8,8,6,0,0
55091,Al-Quds University,@staff.alquds.edu,481,8vlDKj8AAAAJ,{'indices'},Microbiology|Genetics,Murad Ibrahim,https://scholar.google.com/citations?view_op=medium_photo&user=8vlDKj8AAAAJ,145,6,5,6,5,0,0
55092,University of Bergen,@uib.no,480,cZEiMFEAAAAJ,{'indices'},genetics,Leticia Maria Nery Spindola,https://scholar.google.com/citations?view_op=medium_photo&user=cZEiMFEAAAAJ,411,14,13,19,16,0,0
55093,"POSTDOCTORAL FELLOW, MOREHOUSE SCHOOLOF MEDICINE",@msm.edu,480,HDCL7roAAAAJ,{'indices'},microbiology|molecular biology|genetics,JULIO AYALA,https://scholar.google.com/citations?view_op=medium_photo&user=HDCL7roAAAAJ,323,14,12,15,14,0,0
55094,University of Texas Southwestern Medical Center,@utsouthwestern.edu,480,UWZyTgsAAAAJ,{'indices'},Genetics|Molecular biology|Developmental biology,Megan L. Norris,https://scholar.google.com/citations?view_op=medium_photo&user=UWZyTgsAAAAJ,395,5,5,5,5,0,0
55095,23andMe,,479,lflPv2sAAAAJ,{'indices'},Genetics,Kimberly McManus,https://scholar.google.com/citations?view_op=medium_photo&user=lflPv2sAAAAJ,466,8,8,7,7,0,0
55096,"Department of Molecular Biology and Genetics, Cornell University",@cornell.edu,479,ys0nxBIAAAAJ,{'indices'},Interspecies interaction|Genetics|Biology|Metabolism|Microscopy,"Chih-chun (Janet) Lin, Ph.D.",https://scholar.google.com/citations?view_op=medium_photo&user=ys0nxBIAAAAJ,429,5,5,3,3,0,0
55097,"Researcher, University Lyon 1",@univ-lyon1.fr,479,RztkKMAAAAAJ,{'indices'},Microbiology|Entomology|Immunology|Genetics|Bio-informatics,Vincent RAQUIN,https://scholar.google.com/citations?view_op=medium_photo&user=RztkKMAAAAAJ,329,7,7,7,7,0,0
