,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
188320,University of Colorado,@snobear.colorado.edu,76521,5_NuZKMAAAAJ,{'indices'},cryosphere|hydrology|biogeochemical cycling|glaciology|mountains,Mark Williams,https://scholar.google.com/citations?view_op=medium_photo&user=5_NuZKMAAAAJ,37455,120,81,789,533,0,0
188321,"Lancaster University, Lancaster Environment Centre",,76082,RNpyqeAAAAAJ,{'indices'},Hydrology,Keith Beven,https://scholar.google.com/citations?view_op=medium_photo&user=RNpyqeAAAAAJ,21743,122,63,424,283,0,0
188322,Texas A&M University,@tamu.edu,67980,0sRq-6oAAAAJ,{'indices'},Hydrology,Vijay P. Singh,https://scholar.google.com/citations?view_op=medium_photo&user=0sRq-6oAAAAJ,31139,117,76,1013,642,0,0
188323,"College of Water Sciences, Beijing Normal University",@bnu.edu.cn,64934,JHz63tMAAAAJ,{'indices'},Groundwater|Hydrogeology|Hydrology|Earth Sciences,Wang Jinsheng（王金生）,https://scholar.google.com/citations?view_op=medium_photo&user=JHz63tMAAAAJ,33458,109,75,1178,771,0,0
188324,,@uwm.edu,63618,iWykd1cAAAAJ,{'indices'},Environmental Remote Sensing|GIS|Hydrology|Karst Landform,Wei Huang,https://scholar.google.com/citations?view_op=medium_photo&user=iWykd1cAAAAJ,54653,103,96,1359,1199,0,0
188325,Professor of Civil and Environmental Engineering,@princeton.edu,58925,_JwpSkkAAAAJ,{'indices'},remote sensing|hydrology|climate|forecasting|statistics,Eric F Wood,https://scholar.google.com/citations?view_op=medium_photo&user=_JwpSkkAAAAJ,25950,129,80,406,304,0,0
188326,NASA - GISS - Goddard Institute for Space Studies GSFC Emeritus,@nasa.gov,51043,SXkTVDkAAAAJ,{'indices'},Climate Change|Atmospheric Dynamics|Stratosphere|Paleoclimate|Hydrology,David Rind,https://scholar.google.com/citations?view_op=medium_photo&user=SXkTVDkAAAAJ,10896,97,44,224,115,0,0
188327,"Professor of Civil Engineering, UC Irvine",@uci.edu,46335,G1FxEFIAAAAJ,{'indices'},hydrology|Climate|Systems Engineering,soroosh sorooshian,https://scholar.google.com/citations?view_op=medium_photo&user=G1FxEFIAAAAJ,17787,89,62,273,192,0,0
188328,NASA Ames Research Center,@nasa.gov,44710,AZoQ20oAAAAJ,{'indices'},remote sensing|climate|hydrology|ecology,Ramakrishna Nemani,https://scholar.google.com/citations?view_op=medium_photo&user=AZoQ20oAAAAJ,16385,89,59,200,156,0,0
188329,"professor of hydrology, Princeton University",@princeton.edu,37357,GSyUS9wAAAAJ,{'indices'},hydrology|ecohydrology|statistics|water resources|ecology,Ignacio Rodriguez-Iturbe,https://scholar.google.com/citations?view_op=medium_photo&user=GSyUS9wAAAAJ,11156,99,53,275,192,0,0
188330,Duke University,@duke.edu,35650,OVCVvgEAAAAJ,{'indices'},Biosphere-Atmosphere Interactions|Turbulence|Micrometeorology|Hydrology|Atmospheric Sciences,Gabriel Katul,https://scholar.google.com/citations?view_op=medium_photo&user=OVCVvgEAAAAJ,13316,93,52,362,291,0,0
188331,"Professor, TU Wien",@hydro.tuwien.ac.at,34664,AFibUF4AAAAJ,{'indices'},Hydrology|Water resources|Hydrology and water resources|Floods|Water,Günter Blöschl,https://scholar.google.com/citations?view_op=medium_photo&user=AFibUF4AAAAJ,17222,97,71,282,238,0,0
188332,"Emeritus Professor, University of Melbourne",@unimelb.edu.au,34527,4G5rwSMAAAAJ,{'indices'},Hydrology|water resources,Thomas A McMahon,https://scholar.google.com/citations?view_op=medium_photo&user=4G5rwSMAAAAJ,12773,72,42,236,117,0,0
188333,NASA/GSFC,@nasa.gov,32466,1uWpWfkAAAAJ,{'indices'},Hydrology|Climate,Randal Koster,https://scholar.google.com/citations?view_op=medium_photo&user=1uWpWfkAAAAJ,15116,80,54,159,130,0,0
188334,World Bank and SAIS Johns Hopkins University,@worldbank.org,31752,uA70DNwAAAAJ,{'indices'},hydrology|flood management|water resources|irrigation,Winston Yu,https://scholar.google.com/citations?view_op=medium_photo&user=uA70DNwAAAAJ,18826,74,59,730,537,0,0
188335,"Department of Geography, University of Toronto",@geog.utoronto.ca,31033,NLqcl5EAAAAJ,{'indices'},Remote Sensing|Terrestrial Carbon Cycle|Hydrology,Jing M Chen,https://scholar.google.com/citations?view_op=medium_photo&user=NLqcl5EAAAAJ,11963,87,54,325,244,0,0
188336,University of Colorado,@colorado.edu,30958,BC8cW-gAAAAJ,{'indices'},sedimentology|earth system science|hydrology|marine geology|geophysics,Jaia Syvitski,https://scholar.google.com/citations?view_op=medium_photo&user=BC8cW-gAAAAJ,14084,82,54,223,140,0,0
188337,Pacific Institute,@pacinst.org,30666,ToFRoZ0AAAAJ,{'indices'},Hydrology|climatology|water systems|sustainability,Peter Gleick,https://scholar.google.com/citations?view_op=medium_photo&user=ToFRoZ0AAAAJ,10595,71,47,191,105,0,0
188338,"Professor of Hydroclimatic Modelling, Loughborough University",@lboro.ac.uk,30551,QcfQYaYAAAAJ,{'indices'},Climate change|Hydrology|Downscaling|Hydroclimatology|Drought,Robert Wilby,https://scholar.google.com/citations?view_op=medium_photo&user=QcfQYaYAAAAJ,12857,81,57,195,158,0,0
188339,ECMWF,@ecmwf.int,29535,NSsEc4UAAAAJ,{'indices'},hydrology|climate|NWP|remote sensing|soil moisture,Patricia De Rosnay,https://scholar.google.com/citations?view_op=medium_photo&user=NSsEc4UAAAAJ,20137,55,38,108,92,0,0
188340,"Professor, University of Illinois at Urbana-Champaign",@illinois.edu,29314,nPKTZXIAAAAJ,{'indices'},Hydrology|Socio-hydrology|Water Resources|Hydrology and Water Resources,Murugesu Sivapalan,https://scholar.google.com/citations?view_op=medium_photo&user=nPKTZXIAAAAJ,12588,87,55,265,194,0,0
