Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
210825,InterSystems,,11831,mK-RWy4AAAAJ,{'indices'},error,Eduardo Anglada,nan,10998,22,17,25,20,0,0
210826,"Senior researcher, Leiden Observatory, Leiden University",,21417,9vsUnfoAAAAJ,{'indices'},error,Anthony G.A. Brown,nan,16253,46,41,101,80,0,0
210827,INAF Osservatorio Astronomico di Palermo,,25100,OAcHSMYAAAAJ,{'indices'},error,Giuseppina Micela,nan,10640,79,49,349,214,0,0
210828,"Ricercatore Astonomo, INAF-Oss. Astronomico di Palermo",,9102,rdNcAXMAAAAJ,{'indices'},Astronomy|Astrophysics|Stellar Physics|X-ray Astronomy,Ettore Flaccomio,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rdNcAXMAAAAJ&citpid=3,4917,55,38,121,105,0,0
210829,Ricercatore astronomo INAF - Osservatorio Astronomico di Palermo,,6580,bW51LIEAAAAJ,{'indices'},Astronomia e Astrofisica,Francesco Damiani,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rdNcAXMAAAAJ&citpid=3,3390,40,29,101,78,0,0
210830,"Professor, Depts. of Astrophysics and Physics and Harris School of Public Policy",,24643,vOIziFYAAAAJ,{'indices'},error,Robert Rosner,nan,3875,73,23,202,63,0,0
210831,Harvard-Smithsonian Center fot Astrophysics,,7365,QwcUxx0AAAAJ,{'indices'},Young Stars|Charge-Exchange|Exoplanets|X-rays|Infrared,Scott J. Wolk,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QwcUxx0AAAAJ&citpid=3,2627,47,27,126,75,0,0
210832,"Professor of Astrophysics, University of Palermo",,7384,3vO-e4sAAAAJ,{'indices'},Astrophysics|Plasma Physics|High performance computation,giovanni peres,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QwcUxx0AAAAJ&citpid=3,1761,46,22,142,48,0,0
210833,INAF,,3420,hwyKDAUAAAAJ,{'indices'},astrophysics|stellar activity|exoplanets,Ignazio Pillitteri,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hwyKDAUAAAAJ&citpid=2,1828,28,18,50,33,0,0
210834,"Professor of Astronomy and Astrophysics, Università degli Studi di Palermo",,5467,vXA3NZEAAAAJ,{'indices'},Astronomy ann Astrophysics|Instrumentation,Marco Barbera,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hwyKDAUAAAAJ&citpid=2,1746,25,15,70,26,0,0
210835,University of Palermo,,6539,8_Ic6qIAAAAJ,{'indices'},Astrophysics,Fabio Reale,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8_Ic6qIAAAAJ&citpid=2,1998,47,24,131,63,0,0
210836,Astronomer at INAF-Osservatorio Astronomico di Palermo,,3257,Suz0liAAAAAJ,{'indices'},X-ray astronomy,Fabrizio Bocchino,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8_Ic6qIAAAAJ&citpid=2,1340,30,18,72,39,0,0
210837,INAF - Osservatorio Astronomico di Roma,,10553,suTl2OwAAAAJ,{'indices'},,Paolo Ventura,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8_Ic6qIAAAAJ&citpid=2,5206,56,36,118,95,0,0
210838,,,22824,Xc4GOocAAAAJ,{'indices'},,Leon Golub,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8_Ic6qIAAAAJ&citpid=2,7403,71,37,190,101,0,0
210839,"Professor of Astrophysics, Keele University",,9011,J9fM_lgAAAAJ,{'indices'},Astrophysics|Star formation|Brown dwarfs|Exoplanets|Stellar ages,Rob Jeffries,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=J9fM_lgAAAAJ&citpid=3,4064,51,32,162,99,0,0
210840,Universidad Carlos III de Madrid,,3874,r4hX7-sAAAAJ,{'indices'},error,JAVIER LOPEZ-SANTIAGO,nan,2349,30,23,48,36,0,0
210841,UC San Diego,,25722,2H08ubAAAAAJ,{'indices'},astronomy|astrophysics|physics education,Adam J. Burgasser,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2H08ubAAAAAJ&citpid=2,12420,86,57,235,209,0,0
210842,College of Staten Island,,3429,C3ILe0oAAAAJ,{'indices'},Astronomy|brown dwarf|extra-solar planets|star formation,Emily Rice,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C3ILe0oAAAAJ&citpid=2,2075,27,22,47,40,0,0
210843,"Professor of Physics and Astronomy, University of Delaware",,27607,rGLuKDYAAAAJ,{'indices'},Astronomy|Observational Astronomy|Very-Low-Mass Stars|Brown Dwarfs|Physics,John Gizis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rGLuKDYAAAAJ&citpid=2,8774,62,35,123,78,0,0
210844,"Associate Professor of Astronomy, Boston University",,25258,aXABD4wAAAAJ,{'indices'},,Andrew A. West,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rGLuKDYAAAAJ&citpid=2,8792,63,38,121,102,0,0
210845,"Professor of Physics and Astronomy, University of Toledo",,11269,2nR3tpUAAAAJ,{'indices'},Low-mass stars|brown dwarfs|exoplanets|data reduction algorithms,Michael Cushing,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rGLuKDYAAAAJ&citpid=2,4624,50,34,94,81,0,0
210846,JPL/Caltech,,14695,qQsWNi4AAAAJ,{'indices'},Formation and evolution of stars|planets|satellites|circumstellar|and circumplanetary disks. Stellar ages,Eric Mamajek,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qQsWNi4AAAAJ&citpid=3,7515,65,43,153,126,0,0
210847,"Postdoc Researcher, Observatoire de la Côte d'Azur",,1284,sa8ZdFEAAAAJ,{'indices'},,Stephen R. Schwartz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sa8ZdFEAAAAJ&citpid=3,1173,18,18,30,28,0,0
210848,Southwest Research Institute,,9033,uh9931AAAAAJ,{'indices'},Planetary Science|Planet Formation|Asteroids,Kevin J. Walsh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uh9931AAAAAJ&citpid=2,5843,47,36,122,98,0,0
210849,"Southwest Research Institute, Boulder, Colorado",,17362,7-65k-oAAAAJ,{'indices'},Asteroid and comet evolution. Early solar system bombardment.  Planet formation.  Meteorite delivery.,William F. Bottke,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7-65k-oAAAAJ&citpid=3,8027,77,50,181,153,0,0
210850,"Lunar and Planetary Laboratory, University of Arizona",,1322,obC1RUcAAAAJ,{'indices'},Asteroids|Planetary Science|Granular Dynamics|Astrophysics|DEM,Ron Ballouz,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=obC1RUcAAAAJ&citpid=4,1262,17,16,26,23,0,0
210851,Observatoire de la Côte d'Azur,,12569,e7YSUmcAAAAJ,{'indices'},astrophysics,Paolo Tanga,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=e7YSUmcAAAAJ&citpid=1,10802,35,26,85,58,0,0
210852,University of Arizona,,7055,Xv79_vMAAAAJ,{'indices'},Asteroids|Meteorites|Comets|Spacecraft missions|Origin of the Solar System,Dante Lauretta,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Xv79_vMAAAAJ&citpid=6,4490,49,36,124,98,0,0
210853,Johns Hopkins University Applied Physics Laboratory,,5328,aGVsk3IAAAAJ,{'indices'},Planetary Astronomy,Andy Rivkin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Xv79_vMAAAAJ&citpid=6,2498,39,29,92,56,0,0
210854,University of Colorado,,20701,m5JpZNkAAAAJ,{'indices'},Celestial Mechanics|Astrodynamics|Planetary Science|Space Situational Awareness|Navigation,Daniel J. Scheeres,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=m5JpZNkAAAAJ&citpid=9,10154,72,49,331,229,0,0
210855,Observatoire de la Côte d'Azur - Géoazur - Université de Nice Sophia-Antipolis,,838,8PxPIQUAAAAJ,{'indices'},,Clement Ganino,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=8PxPIQUAAAAJ&citpid=2,541,10,9,11,9,0,0
210856,Primo Ricercatore (Associate Professor) at INAF Astrophysical Observatory of Arcetri; Professor of,,5678,pY5zjDQAAAAJ,{'indices'},Astrobiology|Planetology|Laboratory analysis,John Robert Brucato,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pY5zjDQAAAAJ&citpid=5,1913,37,21,83,51,0,0
210857,Kobe University,,3552,r_0dbBAAAAAJ,{'indices'},Planetary Science,Akiko Nakamura,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pY5zjDQAAAAJ&citpid=5,1424,27,17,62,33,0,0
210858,European Space Agency,,9962,hrJr8kwAAAAJ,{'indices'},meteors|asteroids|comets|impacts|planetary science,Detlef Koschny,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hrJr8kwAAAAJ&citpid=2,7415,51,44,154,134,0,0
210859,University of Arizona,,9484,KuxefusAAAAJ,{'indices'},Planetary Science,Michael C. Nolan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KuxefusAAAAJ&citpid=3,3925,52,33,125,84,0,0
210860,Southwest Research INstitute,,16734,BeLy4xcAAAAJ,{'indices'},,David Nesvorny,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KuxefusAAAAJ&citpid=3,7978,71,48,230,180,0,0
210861,Massachusetts Institute of Technology,,184,r__tZP8AAAAJ,{'indices'},Planetary Sciences,Clara Maurel,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r__tZP8AAAAJ&citpid=2,182,7,7,6,6,0,0
210862,Southwest Research Institute,,25543,B2ikkHgAAAAJ,{'indices'},Dynamical Astronomy,Harold F. Levison,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=B2ikkHgAAAAJ&citpid=2,7716,74,43,148,110,0,0
210863,Johns Hopkins University,,16152,WlxbNq0AAAAJ,{'indices'},Mechanics|materials|impact|planetary science,K.T. Ramesh,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WlxbNq0AAAAJ&citpid=6,6748,66,39,206,161,0,0
210864,,,5811,8KxTuyIAAAAJ,{'indices'},,k holsapple,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WlxbNq0AAAAJ&citpid=6,1736,34,23,55,34,0,0
210865,University of Aizu,,5536,Yy2KoqYAAAAJ,{'indices'},,Naru Hirata,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WlxbNq0AAAAJ&citpid=6,3043,35,30,71,58,0,0
210866,Danish Technical University Space Department,,652,BZOVpwMAAAAJ,{'indices'},Swarm mission|magnetic field|asteroid|planetary defence,Line Drube,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WlxbNq0AAAAJ&citpid=6,366,11,10,11,10,0,0
210867,"Astrophysicist, JPL/Caltech",,64955,QVbokjsAAAAJ,{'indices'},astronomy & astrophysics,Daniel Stern,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WlxbNq0AAAAJ&citpid=6,31293,116,77,564,471,0,0
210868,Universidad Diego Portales,,8231,TW5VlFsAAAAJ,{'indices'},Active Galactic Nuclei|Galaxy Evolution,ROBERTO J. ASSEF,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TW5VlFsAAAAJ&citpid=2,5258,50,41,94,85,0,0
210869,"Professor of Physics and Astronomy, UCLA",,117282,0rlyyTwAAAAJ,{'indices'},Cosmology|Infrared Astronomy,Edward L. Wright,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0rlyyTwAAAAJ&citpid=2,29985,105,56,302,181,0,0
210870,NASA,,18640,209rBqgAAAAJ,{'indices'},,Dominic Benford,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=209rBqgAAAAJ&citpid=2,8703,48,32,142,72,0,0
210871,"University of California, Los Angeles",,2322,UDME3vAAAAAJ,{'indices'},Astrophysics,Jingwen Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UDME3vAAAAAJ&citpid=2,1443,25,20,44,34,0,0
210872,Penn State Research Scientist (Astronomy),,4643,LEFBTgkAAAAJ,{'indices'},Astrophysics,Roger L. Griffith,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LEFBTgkAAAAJ&citpid=2,2388,37,25,49,40,0,0
210873,Virginia Tech,,23871,AIaDhRMAAAAJ,{'indices'},Astrophysics|Cosmology|VT Physics,Duncan Farrah,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AIaDhRMAAAAJ&citpid=2,11943,85,59,262,222,0,0
210874,Institute of Astrophysics - FORTH,,6273,2g0llCMAAAAJ,{'indices'},Galaxy Evolution|Infrared Galaxies|Active Galactic Nuclei,Tanio Diaz Santos,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2g0llCMAAAAJ&citpid=2,4327,44,37,94,90,0,0
210875,UCLA Dept of Physics and Astronomy,,4987,-6U1zhwAAAAJ,{'indices'},astrophysics,Jean Turner,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2g0llCMAAAAJ&citpid=2,1460,43,17,74,37,0,0
210876,Swinburne University of Technology,,4946,i14zpNwAAAAJ,{'indices'},Galaxy Evolution,michelle cluver,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=i14zpNwAAAAJ&citpid=2,4166,41,37,78,74,0,0
210877,New Mexico Tech,,2625,api76GsAAAAJ,{'indices'},astrophysics|astrochemistry,David Meier,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=i14zpNwAAAAJ&citpid=2,1616,32,24,60,51,0,0
210878,Research Professor,,13433,4iJ_JWwAAAAJ,{'indices'},Astrophysics|Data Science|Aboriginal Astronomy,Ray Norris,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4iJ_JWwAAAAJ&citpid=2,5308,61,33,242,142,0,0
210879,"Directeur de Recherche, CNRS / IRAP / OMP / Université Fédérale Toulouse Midi-Pyrénées",,20410,gpxjxjcAAAAJ,{'indices'},stellar magnetic fields|star / planet formation|exoplanets|spectropolarimetry / velocimetry|tomographic techniques,Jean-Francois Donati,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gpxjxjcAAAAJ&citpid=2,7572,78,45,233,171,0,0
210880,"Professor of Physics, Dean of Science, Royal Military College of Canada",,12163,X0uiUAYAAAAJ,{'indices'},Stellar astrophysics,G.A. Wade,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gpxjxjcAAAAJ&citpid=2,6039,62,39,233,179,0,0
210881,"Laboratoire Univers et Particules de Montpellier, Université de Montpellier, CNRS",,5250,kZVBEJkAAAAJ,{'indices'},Astrophysics,Julien Morin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kZVBEJkAAAAJ&citpid=2,3685,37,32,58,56,0,0
210882,"Université de Toulouse, Observatoire Midi-Pyrénées, CNRS-Irap, Cnes",,4201,AjekFAMAAAAJ,{'indices'},(Astro)physique,Frédéric Paletou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AjekFAMAAAAJ&citpid=9,1401,31,18,53,26,0,0
210883,"Professor of Astronomy, SUPA, School of Physics and Astronomy, University of St Andrews",,31494,ppCcLJwAAAAJ,{'indices'},Astronomy,Andrew Collier Cameron,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ppCcLJwAAAAJ&citpid=2,13557,90,57,411,284,0,0
210884,Universidade Federal do Rio Grande do Norte,,3141,a_Ql4gIAAAAJ,{'indices'},Stellar Astrophysics,Jose Dias do Nascimento Jr,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ppCcLJwAAAAJ&citpid=2,1890,32,24,68,49,0,0
210885,"Université de Toulouse, CNRS",,3157,l1HSXWcAAAAJ,{'indices'},Astrophysique,Remi Cabanac,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ppCcLJwAAAAJ&citpid=2,1040,28,16,46,28,0,0
210886,University of Liege,,5842,HOxieOkAAAAJ,{'indices'},Astrophysics,Valerie Van Grootel,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ppCcLJwAAAAJ&citpid=2,4554,39,30,60,51,0,0
210887,"Adjunct Research Fellow, University of Southern Queensland",,1125,MGD_z74AAAAJ,{'indices'},Astrophysics,Ian Waite,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ppCcLJwAAAAJ&citpid=2,745,17,14,21,16,0,0
210888,"Directeur de Recherche, IPAG, Grenoble",,18268,YrvfjakAAAAJ,{'indices'},Protoplanetary disks|Star and Planet Formation|Radiative Transfer,Francois Menard,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YrvfjakAAAAJ&citpid=3,9302,74,50,267,209,0,0
