,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
578429,Georgia Institute of Technology,,22042,nvMAHY8AAAAJ,{'indices'},,Nian Liu,,17633,56,53,77,72,0,0
578430,"Columbia University, MIT, Stanford",,24984,aThDZTcAAAAJ,{'indices'},,Yuan Yang,,15414,44,41,76,71,0,0
578431,Stanford University,,21593,E8dHXg0AAAAJ,{'indices'},,Wesley G Zheng,,17828,53,53,61,61,0,0
578432,"Massachusetts Institute of Technology (Postdoc), Stanford University (PhD)",,13264,K2XdY4oAAAAJ,{'indices'},,Yayuan Liu,,13019,48,48,64,64,0,0
578433,Harvard University,,11505,toi3rhQAAAAJ,{'indices'},,Dingchang Lin,,11431,41,41,50,49,0,0
578434,"Associate Professor, Mechanical Engineering and Materials Science, Yale University",,19013,elDD9BwAAAAJ,{'indices'},,judy j. cha,,13420,52,45,82,77,0,0
578435,Duke University,,12898,cRvvT10AAAAJ,{'indices'},,Po-Chun Hsu,,11584,40,39,49,49,0,0
578436,Tsinghua University,,22186,61DNIX0AAAAJ,{'indices'},,Hui Wu,,14968,56,50,144,139,0,0
578437,"Assistant Professor, Georgia Institute of Technology",,19859,VRZVDH8AAAAJ,{'indices'},,Matthew T. McDowell,,14199,49,44,69,68,0,0
578438,"Energy and Chemical Engineering, UNIST",,15555,g4wKRv4AAAAJ,{'indices'},,Hyun-Wook Lee,,14060,46,45,69,69,0,0
578439,Rice University,,17858,dC4j6AMAAAAJ,{'indices'},,Haotian Wang,,16379,48,48,60,59,0,0
578440,"Professor, College of Engineering and Applied Sciences, Nanjing University",,14503,aGZhbJQAAAAJ,{'indices'},,DESHENG KONG,,10442,42,39,51,48,0,0
578441,"Professor at Physical Chemistry, Peking University",,22864,IIaj7-AAAAAJ,{'indices'},,Hailin Peng,,13917,67,56,154,141,0,0
578442,"University of California, Los Angeles",,7105,rMplp0oAAAAJ,{'indices'},,Yuzhang Li,,7042,33,33,41,41,0,0
