,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
83642,"Professor, University of Cambridge",@cam.ac.uk,77024,D3LhPC4AAAAJ,{'indices'},Geology|Geophysics|Seismology|Tectonics|Earthquakes,james jackson,https://scholar.google.com/citations?view_op=medium_photo&user=D3LhPC4AAAAJ,27427,132,67,385,270,0,0
83643,"Newberry Professor, Lamont-Doherty Earth Observatory (LDEO), Columbia University",@ldeo.columbia.edu,76971,LmaL6okAAAAJ,{'indices'},Climate|Climate change|Geology|Oceanography|Paleoclimate,Wallace S. Broecker  (1931 - 2019),https://scholar.google.com/citations?view_op=medium_photo&user=LmaL6okAAAAJ,10771,140,50,503,214,0,0
83644,"Research Geologist, US Geological Survey",,70794,Nb64DfIAAAAJ,{'indices'},Geology,samuel johnson,https://scholar.google.com/citations?view_op=medium_photo&user=Nb64DfIAAAAJ,21889,94,58,705,313,0,0
83645,"department of earth sciences, cambridge university",@madingley.org,59729,h7wRsWcAAAAJ,{'indices'},geophysics|geochemistry|geology|fluid dynamics,dan p mckenzie,https://scholar.google.com/citations?view_op=medium_photo&user=h7wRsWcAAAAJ,10665,103,51,219,136,0,0
83646,Cardiff University,@cf.ac.uk,58323,c3GcM_0AAAAJ,{'indices'},Geology|geochemistry,Julian A. Pearce,https://scholar.google.com/citations?view_op=medium_photo&user=c3GcM_0AAAAJ,18828,76,47,138,105,0,0
83647,"Distinguished Professor of Geosciences, SUNY Stony Brook",@stonybrook.edu,56459,AYFwijsAAAAJ,{'indices'},Geochemistry|Geology|Planetary Science|Mars,Scott M. McLennan,https://scholar.google.com/citations?view_op=medium_photo&user=AYFwijsAAAAJ,21851,92,58,204,159,0,0
83648,"SENIOR RESARCH PROFESSOR ,UNIVERSITY OF LEEDS  AND UNIVERSITY OF …",@leeds.ac.uk,55101,b-jgZIAAAAAJ,{'indices'},STATISITCS|BIONIFORMATICS|IMAGE ANALYSIS|GEOLOGY,Kanti Mardia,https://scholar.google.com/citations?view_op=medium_photo&user=b-jgZIAAAAAJ,16440,71,39,208,98,0,0
83649,"Professor of Biology, Harvard University",@oeb.harvard.edu,54920,F6mLNzoAAAAJ,{'indices'},Paleontology|paleobiology|evolutionary biology|geology|geobiology,Andrew H Knoll,https://scholar.google.com/citations?view_op=medium_photo&user=F6mLNzoAAAAJ,18100,127,74,342,260,0,0
83650,"Distinguished Professor of Geochemistry, University of California, Los Angeles",@oro.ess.ucla.edu,54023,tsaCqu8AAAAJ,{'indices'},Geochemistry|Geology,T. Mark Harrison,https://scholar.google.com/citations?view_op=medium_photo&user=tsaCqu8AAAAJ,16456,113,61,255,188,0,0
83651,Professor of Geology,@bristol.ac.uk,48848,Eq7l0AIAAAAJ,{'indices'},geology|volcanology,Stephen Sparks,https://scholar.google.com/citations?view_op=medium_photo&user=Eq7l0AIAAAAJ,13314,126,56,387,303,0,0
83652,"Professor emeritus, Rice University",@rice.edu,46500,6NThbjgAAAAJ,{'indices'},sequence stratigraphy|geology|exploration seismology,Peter Vail,https://scholar.google.com/citations?view_op=medium_photo&user=6NThbjgAAAAJ,7826,58,27,95,52,0,0
83653,"Senior Research Fellow, University of Bristol",@bristol.ac.uk,45956,EI7XvrEAAAAJ,{'indices'},Geology|Geochemistry,CJ Hawkesworth,https://scholar.google.com/citations?view_op=medium_photo&user=EI7XvrEAAAAJ,13346,121,56,316,225,0,0
83654,"Professor of Geochemistry, China University of Geosciences, Wuhan",@cug.edu.cn,42403,DzSisQsAAAAJ,{'indices'},Geology|Geochemistry|Geophysics,Shan Gao (1962-2016),https://scholar.google.com/citations?view_op=medium_photo&user=DzSisQsAAAAJ,21854,81,61,202,164,0,0
83655,Stanford University and University of Michigan,@stanford.edu,42396,2vjgzfIAAAAJ,{'indices'},geology|materials science|nuclear materials|environmental|nuclear waste,Rodney C Ewing,https://scholar.google.com/citations?view_op=medium_photo&user=2vjgzfIAAAAJ,14078,101,52,569,320,0,0
83656,"Professor of Physics, University of Toronto",@atmosp.physics.utoronto.ca,41352,yes-VnIAAAAJ,{'indices'},geophysics|mechanics|geology|climate change|meteorology,WR Peltier,https://scholar.google.com/citations?view_op=medium_photo&user=yes-VnIAAAAJ,10112,96,47,373,184,0,0
