,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
135653,"Professor of Mathematics, UCLA",@math.ucla.edu,79117,TFx_gLQAAAAJ,{'indices'},Analysis|Combinatorics|Random Matrix Theory|PDE,Terence Tao,https://scholar.google.com/citations?view_op=medium_photo&user=TFx_gLQAAAAJ,32696,97,66,334,253,0,0
135654,Korea Institute of Ceramic Engineering and Technology,@kicet.re.kr,64521,ieh2HZAAAAAJ,{'indices'},Electrochemistry|Corrosion|Heat dissipation|Analysis|Standardization,Donghyun Kim,https://scholar.google.com/citations?view_op=medium_photo&user=ieh2HZAAAAAJ,28605,102,63,1171,762,0,0
135655,The Australian National University,@anu.edu.au,35854,DYkudfwAAAAJ,{'indices'},Mathematics|Partial Differential Equations|Analysis|Differential Geometry,Neil Trudinger,https://scholar.google.com/citations?view_op=medium_photo&user=DYkudfwAAAAJ,9781,50,30,98,65,0,0
135656,"Professor of Ophthalmology and Visual Sciences, Electrical and Computer Engineering and …",@uiowa.edu,35088,O1b7GZMAAAAJ,{'indices'},retina|image|analysis|automated|diabetes,Michael D. Abramoff,https://scholar.google.com/citations?view_op=medium_photo&user=O1b7GZMAAAAJ,17232,64,50,224,169,0,0
135657,"Professor of Physics, New York University;  Professor of Mathematics, University College …",@nyu.edu,26702,wWWEwk0AAAAJ,{'indices'},Combinatorics|analysis|statistical mechanics,Alan D. Sokal,https://scholar.google.com/citations?view_op=medium_photo&user=wWWEwk0AAAAJ,6054,63,34,163,91,0,0
135658,"Raymond N. Shibley Professor of Mathematics, Pennsylvania State university",@math.psu.edu,24956,VoAaVRAAAAAJ,{'indices'},Dynamical systems|Ergodic theory|Analysis|Geometry,Anatole Katok,https://scholar.google.com/citations?view_op=medium_photo&user=VoAaVRAAAAAJ,7209,55,29,124,63,0,0
135659,"Professor of Enology, University of California, Davis",@ucdavis.edu,21008,yY-df4UAAAAJ,{'indices'},wine chemistry|polyphenols|antioxidants|anthocyanins|analysis,Andrew L. Waterhouse,https://scholar.google.com/citations?view_op=medium_photo&user=yY-df4UAAAAJ,6088,66,39,146,105,0,0
135660,"Emeritus Professor of Mathematics, King's College London",@kcl.ac.uk,20864,PlDjblcAAAAJ,{'indices'},Analysis|spectral theory|general science,EB Davies,https://scholar.google.com/citations?view_op=medium_photo&user=PlDjblcAAAAJ,4459,60,29,168,74,0,0
135661,"Professor of Applied Mathematics, The University of Western Ontario",@uwo.ca,15542,JEWha9UAAAAJ,{'indices'},Mechanics|Scientific Computation|Analysis,David J. Jeffrey,https://scholar.google.com/citations?view_op=medium_photo&user=JEWha9UAAAAJ,4795,34,19,72,34,0,0
135662,"Asst. Professor, Acharya Institute of Technology, Bangalore, India",@acharya.ac.in,15297,XrTrieoAAAAJ,{'indices'},Analysis,Sandeep Kumar,https://scholar.google.com/citations?view_op=medium_photo&user=XrTrieoAAAAJ,9056,56,38,312,232,0,0
135663,Doswell Scientific Consulting,,14895,cJNJCS8AAAAJ,{'indices'},Meteorology|severe weather|analysis|forecastin,Charles A. Doswell III,https://scholar.google.com/citations?view_op=medium_photo&user=cJNJCS8AAAAJ,4038,62,33,125,75,0,0
135664,Distinguished Professor,@business.rutgers.edu,14497,BhYLPZsAAAAJ,{'indices'},supply chain management|stochastic processes|modeling|analysis|simulation,Benjamin Melamed,https://scholar.google.com/citations?view_op=medium_photo&user=BhYLPZsAAAAJ,3224,41,15,86,23,0,0
135665,"Civil Engineering, University of Toronto",@civ.utoronto.ca,14385,XPjxBsUAAAAJ,{'indices'},Concrete structures|analysis|assessment|design,Frank Vecchio,https://scholar.google.com/citations?view_op=medium_photo&user=XPjxBsUAAAAJ,5535,54,34,116,96,0,0
135666,"Professor of Mathematics, Imperial College London",@imperial.ac.uk,11280,RRBNQAgAAAAJ,{'indices'},Probability|Analysis|Statistics,Nicholas Hugh Bingham,https://scholar.google.com/citations?view_op=medium_photo&user=RRBNQAgAAAAJ,2978,34,15,95,33,0,0
135667,Engg,,9539,lpUaNAsAAAAJ,{'indices'},Analysis,vijay kumar,https://scholar.google.com/citations?view_op=medium_photo&user=lpUaNAsAAAAJ,4099,44,26,191,107,0,0
135668,Gifu University,@fjt.info.gifu-u.ac.jp,9235,A5tkbZ4AAAAJ,{'indices'},Medical Image Evaluation|Analysis|Processing & Recognition,Hiroshi Fujita,https://scholar.google.com/citations?view_op=medium_photo&user=A5tkbZ4AAAAJ,2892,46,24,153,65,0,0
135669,"Professor für Mathematik, Leibniz Universität Hannover",@ifam.uni-hannover.de,9157,lsFfh2gAAAAJ,{'indices'},Analysis|PDE,Joachim Escher,https://scholar.google.com/citations?view_op=medium_photo&user=lsFfh2gAAAAJ,3213,43,27,106,60,0,0
135670,"Professor, BOKU Vienna",@boku.ac.at,8662,cbCE5ZEAAAAJ,{'indices'},cellulose|lignin|analysis|biorefinery|paper conservation,Antje Potthast,https://scholar.google.com/citations?view_op=medium_photo&user=cbCE5ZEAAAAJ,4756,47,33,192,135,0,0
135671,Social Scientist,@lancaster.ac.uk,8184,A5jdX2UAAAAJ,{'indices'},organisation design|analysis|misbehaviour|public sector management|professions,Stephen Ackroyd,https://scholar.google.com/citations?view_op=medium_photo&user=A5jdX2UAAAAJ,2304,36,23,60,40,0,0
135672,"Frederick R. Dickerson Chair and Professor, School of Civil & Env Engg, School of Ind & Sys …",@gatech.edu,8061,mX-caWgAAAAJ,{'indices'},Analysis|Modeling and Control of Transportation and …|Network Modeling|Travel Behavior|Intelligen,Srinivas Peeta,https://scholar.google.com/citations?view_op=medium_photo&user=mX-caWgAAAAJ,4045,45,35,134,102,0,0
135673,"Research Scientist, Google",@google.com,7928,_OGDK0AAAAAJ,{'indices'},Storage Systems|Distributed Systems|Modeling|Analysis,Arif Merchant,https://scholar.google.com/citations?view_op=medium_photo&user=_OGDK0AAAAAJ,2387,43,25,117,55,0,0
135674,JJ Sylvester Professor of Mathematics Johns Hopkins University,@jhu.edu,7720,ykP2UTkAAAAJ,{'indices'},Analysis|Partial Differential Equations|Harmonic Analysis|Geometric Analysis,Christopher D. Sogge,https://scholar.google.com/citations?view_op=medium_photo&user=ykP2UTkAAAAJ,2741,44,28,92,68,0,0
135675,"Lead Scientist, US Department of Agriculture, Agricultural Research Service",@ars.usda.gov,7655,o1aG-awAAAAJ,{'indices'},Natural Toxins|Analysis|Immunoassay|Biosensors,Chris Maragos,https://scholar.google.com/citations?view_op=medium_photo&user=o1aG-awAAAAJ,2127,44,25,92,62,0,0
135676,"Frederick R. Dickerson Chair and Professor, School of Civil & Environmental Engineering …",@gatech.edu,7546,tDjX6VkAAAAJ,{'indices'},Analysis|Modeling and Control of Transportation and …|Network Modeling|Travel Behavior|Intelligen,Srinivas Peeta,https://scholar.google.com/citations?view_op=medium_photo&user=tDjX6VkAAAAJ,3790,44,33,127,98,0,0
135677,los alamos national lab,@lanl.gov,7490,nuwKEMMAAAAJ,{'indices'},statistics|experimental design|analysis,michael hamada,https://scholar.google.com/citations?view_op=medium_photo&user=nuwKEMMAAAAJ,2361,33,20,66,33,0,0
135678,"Professor of Mathematics, Imperial College London",@imperial.ac.uk,7361,iEBjl8wAAAAJ,{'indices'},Probability theory|analysis,Martin Hairer,https://scholar.google.com/citations?view_op=medium_photo&user=iEBjl8wAAAAJ,4801,48,37,94,82,0,0
135679,"Professor of Mathematics, University of Osnabrück",@uos.de,7252,RZRW0tQAAAAJ,{'indices'},Analysis|Numerical Analysis|Function Spaces,Lars Diening,https://scholar.google.com/citations?view_op=medium_photo&user=RZRW0tQAAAAJ,3653,36,28,64,59,0,0
135680,"Professor of Computer Science, Brunel University",@brunel.ac.uk,6887,DS-hZXgAAAAJ,{'indices'},Bioinformatics|Systems Biology|Synthetic Biology|modelling|analysis,David Gilbert,https://scholar.google.com/citations?view_op=medium_photo&user=DS-hZXgAAAAJ,1672,39,21,97,40,0,0
135681,University of Padova,@unipd.it,6595,mf4g_fUAAAAJ,{'indices'},Analysis|Partial Differential Equations|Geometric Analysis,Nicola Garofalo,https://scholar.google.com/citations?view_op=medium_photo&user=mf4g_fUAAAAJ,2253,41,26,100,61,0,0
135682,Boston College,@bc.edu,6562,yR7mRUAAAAAJ,{'indices'},Financial accounting|Analysis|valuation,Mark Bradshaw,https://scholar.google.com/citations?view_op=medium_photo&user=yR7mRUAAAAAJ,2946,27,22,40,32,0,0
135683,Semnan University,@semnan.ac.ir,6548,9HC7aRkAAAAJ,{'indices'},Analysis|Pure Mathematics,Madjid Eshaghi Gordji,https://scholar.google.com/citations?view_op=medium_photo&user=9HC7aRkAAAAJ,2253,46,22,147,68,0,0
135684,Nice university,@unice.fr,6540,IxvtOUMAAAAJ,{'indices'},analysis|geometry,Nicola Gigli,https://scholar.google.com/citations?view_op=medium_photo&user=IxvtOUMAAAAJ,4197,29,26,53,47,0,0
135685,"Associate Professor, Oregon Hearing Research Center, Oregon Health and Science …",@ohsu.edu,6439,oDwmTh8AAAAJ,{'indices'},neuroscience|hearing|behavior|analysis,Stephen David,https://scholar.google.com/citations?view_op=medium_photo&user=oDwmTh8AAAAJ,3196,31,28,40,38,0,0
135686,"Professor of Mathematics,JNTUA College of Engineering,Anantapur",@jntua.ac.in,5781,gbsWMjYAAAAJ,{'indices'},Analysis|Computational Mathematics|Optimization technique,Prof.E.Keshava Reddy,https://scholar.google.com/citations?view_op=medium_photo&user=gbsWMjYAAAAJ,3084,33,24,169,96,0,0
135687,"Professor of Mathematics, University of Leeds",@leeds.ac.uk,5730,P9S-sEYAAAAJ,{'indices'},Analysis,Jonathan Partington,https://scholar.google.com/citations?view_op=medium_photo&user=P9S-sEYAAAAJ,1332,38,18,119,38,0,0
135688,"Professor of Mathematics, Sheffield University",@sheffield.ac.uk,5551,HSLCbpcAAAAJ,{'indices'},probability theory|analysis|Lie groups,David Applebaum,https://scholar.google.com/citations?view_op=medium_photo&user=HSLCbpcAAAAJ,2400,19,13,39,16,0,0
135689,"Institute of Mathematics, NAS of Ukraine",@imath.kiev.ua,5548,b9uGnYoAAAAJ,{'indices'},Analysis|Functional analysis|Spectral Theory|Differential Equations,Yurij M. Berezansky,https://scholar.google.com/citations?view_op=medium_photo&user=b9uGnYoAAAAJ,749,26,10,79,10,0,0
