,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
105140,"Professor, Korea University",@korea.ac.kr,144684,Nr5zm_cAAAAJ,{'indices'},Genomics|Microbiology|Burkholderia|Antibiotic resistance|Microbiome,Heenam Stanley Kim,https://scholar.google.com/citations?view_op=medium_photo&user=Nr5zm_cAAAAJ,58068,144,85,1687,835,0,0
105141,Professor @ Microbiology Wageningen Netherlands @Helsinki Finland,@wur.nl,126956,SbTINjMAAAAJ,{'indices'},Microbiology|Microbiome|Microbial Ecology|Bacterial Genetics,Willem M de Vos,https://scholar.google.com/citations?view_op=medium_photo&user=SbTINjMAAAAJ,60872,172,111,769,555,0,0
105142,"Paul de Kruif Professor of Pathology, University of Michigan Medical School",@umich.edu,122009,aJnM7c0AAAAJ,{'indices'},Immunology|Innate Immunity|Microbiome|Microbiology|Inflammation,Gabriel Nuñez,https://scholar.google.com/citations?view_op=medium_photo&user=aJnM7c0AAAAJ,39629,160,89,420,316,0,0
105143,University of Cambridge,@cam.ac.uk,117778,OghCU6kAAAAJ,{'indices'},Genomics|microbiology|bioinformatics|evolution|Infectious diseases,Julian Parkhill,https://scholar.google.com/citations?view_op=medium_photo&user=OghCU6kAAAAJ,57829,147,110,503,461,0,0
105144,"Professor of Plant, Soil and Microbial Sciences and of Microbiology and Molecular Genetics …",@msu.edu,117305,5ekyvtAAAAAJ,{'indices'},Microbial ecology|Microbiology|Soil science|Environmental science,James Tiedje,https://scholar.google.com/citations?view_op=medium_photo&user=5ekyvtAAAAAJ,41725,162,83,598,418,0,0
105145,University of British Columbia,@hancocklab.com,108411,wQywY-EAAAAJ,{'indices'},Microbiology|Host Defence (antimicrobial) Peptides|Immunomodulatory and Anti-biofilm therapies|Systems biology of Innate Immunity|Pseudomonas aeruginosa,Robert EW Hancock,https://scholar.google.com/citations?view_op=medium_photo&user=wQywY-EAAAAJ,41191,166,98,675,474,0,0
105146,"Professor of Microbiology, University of Massachusetts",@microbio.umass.edu,106891,uEJ-9rMAAAAJ,{'indices'},microbiology|bioenergy|biophysics|bioremediation|biogeochemistry,Derek Lovley,https://scholar.google.com/citations?view_op=medium_photo&user=uEJ-9rMAAAAJ,34903,176,97,476,401,0,0
105147,JMI Laboratories,@jmilabs.com,101281,tQ6jcCAAAAAJ,{'indices'},Microbiology,Ronald N. Jones,https://scholar.google.com/citations?view_op=medium_photo&user=tQ6jcCAAAAAJ,23249,147,66,1394,514,0,0
105148,"Professor, University of Colorado at Boulder",@colorado.edu,96984,WLqObjoAAAAJ,{'indices'},ecology|microbiology|biogeochemistry|microbial ecology|ecosystem ecology,Noah Fierer,https://scholar.google.com/citations?view_op=medium_photo&user=WLqObjoAAAAJ,69591,110,96,232,222,0,0
105149,Max Planck Institute for Marine Microbiology,@mpi-bremen.de,96150,DTeeB5EAAAAJ,{'indices'},Microbiology|Microbial Ecology|Environmental Sciences|Taxonomy,Rudolf Amann,https://scholar.google.com/citations?view_op=medium_photo&user=DTeeB5EAAAAJ,23514,147,71,365,282,0,0
105150,National Institutes of Health,@nih.gov,93917,--xLf1MAAAAJ,{'indices'},virology|medicine|microbiology|genetics|immunology,Bernard Moss,https://scholar.google.com/citations?view_op=medium_photo&user=--xLf1MAAAAJ,11651,162,48,785,335,0,0
105151,,@liai.org,83905,Ep4PitkAAAAJ,{'indices'},immunology|MHC|bioinformatics|virology|microbiology,Alessandro Sette,https://scholar.google.com/citations?view_op=medium_photo&user=Ep4PitkAAAAJ,26059,162,74,699,453,0,0
