Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
9236,Broad Institute,,497706.0,LXVfPc8AAAAJ,{'indices'},Biology|Genomics|Genetics|Bioinformatics|Mathematics,Eric Lander,https://scholar.google.com/citations?view_op=medium_photo&user=LXVfPc8AAAAJ,185127.0,281,192,608,458,1,1
9237,Independent Researcher,@nada.ltd,447313.0,GsfvB24AAAAJ,{'indices'},Biology|Astronomy|Genetics|Mountaineering|Ethical Hacking,Zubair Ahmad,https://scholar.google.com/citations?view_op=medium_photo&user=GsfvB24AAAAJ,105723.0,89,85,89,89,1,1
9238,Johns Hopkins,@jhmi.edu,429904.0,O3FVg9AAAAAJ,{'indices'},Cancer|Biology,Bert Vogelstein,https://scholar.google.com/citations?view_op=medium_photo&user=O3FVg9AAAAAJ,94564.0,273,143,719,531,1,1
9239,EMBL,@embl.de,250365.0,M6Etr6oAAAAJ,{'indices'},biology|computational biology|systems biology|bioinformatics|evolution,Peer Bork,https://scholar.google.com/citations?view_op=medium_photo&user=M6Etr6oAAAAJ,102714.0,208,125,577,440,1,1
9240,The Salk Institute,@salk.edu,223057.0,eQWJIcIAAAAJ,{'indices'},Biology,Fred H. Gage,https://scholar.google.com/citations?view_op=medium_photo&user=eQWJIcIAAAAJ,63130.0,222,123,775,487,1,1
9241,"Dana-Farber Cancer Institute, Harvard Medical School, Broad Institute, Memorial Sloan …",@sanderlab.org,212149.0,4R7_wW8AAAAJ,{'indices'},Biology|Data Sciences|Evolution|Cancer Therapy,Chris Sander,https://scholar.google.com/citations?view_op=medium_photo&user=4R7_wW8AAAAJ,105374.0,186,125,423,312,1,1
9242,"Senior Investigator, NCBI, NIH",@ncbi.nlm.nih.gov,198129.0,F4P3ghEAAAAJ,{'indices'},Biology,Eugene Koonin,https://scholar.google.com/citations?view_op=medium_photo&user=F4P3ghEAAAAJ,64130.0,211,110,870,672,1,1
9243,"Professor of Biology, HHMI, MIT, Whitehead Institute",@wi.mit.edu,194743.0,aLegzvoAAAAJ,{'indices'},Biology|Gene Regulation|MicroRNAs|Noncoding RNA|Molecular Biology,David Bartel,https://scholar.google.com/citations?view_op=medium_photo&user=aLegzvoAAAAJ,71189.0,121,88,200,174,1,1
9244,"Associate prof, ucd",@ucd.ie,180115.0,KdRlb0AAAAAJ,{'indices'},Biology,Cormac Taylor,https://scholar.google.com/citations?view_op=medium_photo&user=KdRlb0AAAAAJ,57204.0,160,94,914,480,1,1
9245,"Professor, School of Medicine, National and Kapodistrian University of Athens",@med.uoa.gr,162287.0,rMgCyBUAAAAJ,{'indices'},Clinical Medicine|Biology|Biochemistry,George P. Chrousos,https://scholar.google.com/citations?view_op=medium_photo&user=rMgCyBUAAAAJ,40918.0,195,83,1224,738,1,1
9246,"Lester Wolfe Professor of Chemistry, Massachusetts Institute of Technology",,133965.0,64VNiWsAAAAJ,{'indices'},Chemistry|Quantum Dots|Biology|Photovoltaics|Spectroscopy,Moungi Bawendi,https://scholar.google.com/citations?view_op=medium_photo&user=64VNiWsAAAAJ,43854.0,170,102,470,407,1,1
