Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
210375,Smithsonian Astrophysical Observatory,,28334,E4cgK1cAAAAJ,{'indices'},astrophysics|cosmology|X-ray astronomy,Alexey Vikhlinin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=E4cgK1cAAAAJ&citpid=3,9570,82,48,218,150,0,0
210376,"Associate Professor of Physics, McGill University",,9579,Ov73SNQAAAAJ,{'indices'},Astronomy|Astrophysics,Daryl Haggard,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ov73SNQAAAAJ&citpid=9,7204,35,28,62,52,0,0
210377,"School of Physics and Astronomy, Monash University",,17057,npUHvbwAAAAJ,{'indices'},Astronomy|Astrophysics|Galaxy Evolution|AGNs|Climate Change,Michael J. I. Brown,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=npUHvbwAAAAJ&citpid=7,8457,70,51,179,141,0,0
210378,University of Illinois at Urbana-Champaign,,16812,k7ePzaoAAAAJ,{'indices'},Astrophysics,Yue Shen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=npUHvbwAAAAJ&citpid=7,10818,60,51,116,106,0,0
210379,"Astrophysicist, JPL/Caltech",,64955,QVbokjsAAAAJ,{'indices'},astronomy & astrophysics,Daniel Stern,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=npUHvbwAAAAJ&citpid=7,31293,116,77,564,471,0,0
210380,Airbus Defence and Space,,9423,XZwSIl0AAAAJ,{'indices'},Space Missions Systems Engineering,Markos Trichas,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=npUHvbwAAAAJ&citpid=7,3891,42,27,59,46,0,0
210381,Georgia State University,,13169,U_RjS0EAAAAJ,{'indices'},Astronomy,D.M. Crenshaw,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=npUHvbwAAAAJ&citpid=7,3719,65,33,176,103,0,0
210382,"Associate Professor, Department of Physics and Astronomy, UMKC",,20817,FnAGOfcAAAAJ,{'indices'},Galaxy Clusters|Galaxy Formation and Evolution|Observational Cosmology,Mark Brodwin,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FnAGOfcAAAAJ&citpid=2,9913,75,53,186,158,0,0
210383,South African Astronomical Observatory/Southern African Large Telescope,,4542,J7gEs_wAAAAJ,{'indices'},,Encarni Romero Colmenero,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FnAGOfcAAAAJ&citpid=2,3126,31,18,51,31,0,0
210384,"Department of Physics, Durham University",,8764,CR_u3r8AAAAJ,{'indices'},nan,John Lucey,nan,2800,48,26,86,52,0,0
210385,"Professor of Astronomy, Leiden University",,28161,VZHGYrYAAAAJ,{'indices'},nan,Henk Hoekstra,nan,15797,91,65,228,194,0,0
210386,University of British Columbia,,20074,pFSxhPMAAAAJ,{'indices'},nan,Ludovic Van Waerbeke,nan,8809,73,49,162,126,0,0
210387,"Department of Physics, Durham University",,3918,3C7MvkwAAAAJ,{'indices'},nan,Russell J. Smith,nan,1428,36,23,58,38,0,0
210388,University of Geneva,,11478,WDeMWTwAAAAJ,{'indices'},nan,Jean Coupon,nan,8934,53,52,102,97,0,0
210389,"Professor of Astrophysics, University College London",,12505,YoFoNiAAAAAJ,{'indices'},nan,Thomas David Kitching,nan,8494,55,43,119,109,0,0
210390,Ruhr-Universität Bochum,,13006,kUDCLXAAAAAJ,{'indices'},nan,Hendrik Hildebrandt,nan,9532,59,51,134,129,0,0
210391,"Research/academic staff, Argelander Institute for Astronomy, Bonn University",,11469,1JpU9yQAAAAJ,{'indices'},nan,Tim Schrabback,nan,6850,48,40,93,87,0,0
210392,Fidelity International,,6363,_hYIdFUAAAAJ,{'indices'},nan,Barnaby Rowe,nan,4465,36,31,45,44,0,0
210393,LOGE Lund Combustion Engineering,,4745,7daxEs0AAAAJ,{'indices'},nan,Malin Velander,nan,3015,23,21,23,23,0,0
210394,"CEA Saclay, Department of Astrophysics (DAp)",,10691,sGji1TsAAAAJ,{'indices'},nan,Martin Kilbinger,nan,5529,44,31,70,57,0,0
210395,"Senior Scientist, Lawrence Berkeley National Lab",,136458,-BynFYEAAAAJ,{'indices'},nan,David Schlegel,nan,50564,143,96,294,253,0,0
210396,"Professor and Chair, Department of Physics and Astronomy, University of Kansas",,7628,ujPqZCAAAAAJ,{'indices'},nan,Hume A. Feldman,nan,2154,29,17,48,24,0,0
210397,"Professor of Physics, Willamette University",,3791,5VIbXD4AAAAJ,{'indices'},nan,Richard Watkins,nan,1246,29,17,37,20,0,0
210398,PROWLER.io,,3362,c5nCaXEAAAAJ,{'indices'},nan,Fergus Simpson,nan,2296,18,15,26,21,0,0
210399,"IAP, CNRS",,2416,tTzNu-cAAAAJ,{'indices'},nan,Guilhem Lavaux,nan,1625,26,23,45,42,0,0
210400,Texas A&M University,,63104,aEz_9EIAAAAJ,{'indices'},nan,Nicholas Suntzeff,nan,17525,107,53,279,180,0,0
210401,McMaster University,,1852,b6gBEFYAAAAJ,{'indices'},nan,Laura Parker,nan,706,21,16,27,26,0,0
210402,Imperial College London,,32798,DVFHrO4AAAAJ,{'indices'},nan,Alan Heavens,nan,20110,67,44,175,114,0,0
210403,Gemini Observatory,,28806,7w57_eQAAAAJ,{'indices'},nan,John P. Blakeslee,nan,8505,81,46,202,143,0,0
210404,"INAF (The Italian National Institute for Astrophysics) - Catania Astrophysical Observatory, Italy",,20282,b5_8-JoAAAAJ,{'indices'},nan,Antonino Francesco Lanza,nan,15029,55,38,286,195,0,0
210405,INAF- Catania Astrophysical Observatory,,18292,Z574fI8AAAAJ,{'indices'},nan,Sergio Messina,nan,15195,55,41,140,107,0,0
210406,George Mason University,,2605,QKu1gwQAAAAJ,{'indices'},nan,David H. Brooks,nan,1204,31,22,58,38,0,0
210407,Max-Planck-Institut für Sonnensystemforschung,,853,9zUXs7kAAAAJ,{'indices'},nan,Federico Spada,nan,716,15,15,22,21,0,0
210408,"Professor of Astrophysics, Keele University",,9011,J9fM_lgAAAAJ,{'indices'},nan,Rob Jeffries,nan,4064,51,32,162,99,0,0
210409,NASA Goddard Space Flight Center,,12393,r_t7M2MAAAAJ,{'indices'},nan,Spiro K. Antiochos,nan,3719,59,33,146,83,0,0
210410,"Artificial Intelligence Dpt., Universidad Nacional de Educación a Distancia, UNED",,11558,WUZgDXQAAAAJ,{'indices'},nan,Luis M. Sarro,nan,10760,36,28,52,43,0,0
210411,"Ricercatore Astronomo, INAF - Osservatorio Astrofisico Catania",,207,SyCL01gAAAAJ,{'indices'},nan,Innocenza Busa,nan,93,7,5,6,3,0,0
