Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
556675,Faculty of Manufacturing Technologies of the Technical University of Kosice with a seat in Prešov,,92.0,IwhmjZsAAAAJ,{'indices'},thermodynamic|gas industry|heat transfer|combustion,Ján Kizek,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IwhmjZsAAAAJ&citpid=1,55.0,6,3,3,1,0,0
556676,odborný asistent Technical university of Kosice,,13.0,_cw9gSEAAAAJ,{'indices'},energetika|obnovitelne zdroje energie|energeticky usporne technologie|hutnictvo,Gustáv Jablonský,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IwhmjZsAAAAJ&citpid=1,12.0,2,2,0,0,0,0
556677,"Assistant Professor, Mechanical Engg., MNNIT Allahabad",,168.0,jhdo0a4AAAAJ,{'indices'},Thermal Engineering,Bireswar Paul,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jhdo0a4AAAAJ&citpid=2,101.0,6,5,4,2,0,0
556678,"Research and Development Centre, SAIL",,6.0,eObnes4AAAAJ,{'indices'},Steel|Energy|Combustion|Waste Heat,TS Reddy,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eObnes4AAAAJ&citpid=2,1.0,2,1,0,0,0,0
556679,RIKEN BSI,,75169.0,U5N_lC4AAAAJ,{'indices'},発生生物、　神経科学,Katsuhiko Mikoshiba,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U5N_lC4AAAAJ&citpid=2,17986.0,130,51,685,309,0,0
556680,"Postdoctoral researcher, University of Melbourne",,302.0,b_X-klgAAAAJ,{'indices'},Gonadal development|sex determination|FGF|Lung development|glucocorticoids,Anthony D Bird,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=b_X-klgAAAAJ&citpid=1,159.0,7,7,6,6,0,0
556681,Monash University,,3405.0,4UBsTrMAAAAJ,{'indices'},Lung development|preterm birth|synchrotron|protein tyrosine phosphatase sigma|bronchopulmonary dysplasia,Associate Professor Megan Wallace,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4UBsTrMAAAAJ&citpid=2,1437.0,34,21,72,47,0,0
556682,Professor of Neuropathology at University Zurich,,60607.0,3cNp9mgAAAAJ,{'indices'},prions|neurodegeneration|neuropathology,Adriano Aguzzi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3cNp9mgAAAAJ&citpid=2,14901.0,127,63,463,256,0,0
556683,Baker Heart and Diabetes Institute,,20498.0,jmkfNcMAAAAJ,{'indices'},Metabolic and Vascular Physiology,"Bronwyn Kingwell, Kingwell BA or Kin...",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jmkfNcMAAAAJ&citpid=3,8515.0,80,50,186,159,0,0
556684,University of Pittsburgh school of medicine,,8285.0,P1zkUBkAAAAJ,{'indices'},error,Paula Monaghan-Nichols,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jmkfNcMAAAAJ&citpid=3,1647.0,34,20,45,32,0,0
