,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
147239,"David H. Koch Institute Professor, MIT",@mit.edu,329770,5HX--AYAAAAJ,{'indices'},drug delivery|tissue engineering|biomaterials|nanotechnology|chemistry,Robert Langer,https://scholar.google.com/citations?view_op=medium_photo&user=5HX--AYAAAAJ,113451,282,156,1789,1287,0,0
147240,chemistry,@chem.wayne.edu,214812,eP4l3aoAAAAJ,{'indices'},chemistry,H. Bernhard Schlegel,https://scholar.google.com/citations?view_op=medium_photo&user=eP4l3aoAAAAJ,68444,114,56,467,228,0,0
147241,"Professor of chemistry, stanford university",@stanford.edu,212257,yWdvb8YAAAAJ,{'indices'},chemistry|materials science|physics|nanotechnology,Hongjie Dai,https://scholar.google.com/citations?view_op=medium_photo&user=yWdvb8YAAAAJ,73915,197,133,468,384,0,0
147242,"The IBS CMCM, Dept of Chemistry, School of Energy and ChEng, School of MS&E",@unist.ac.kr,212156,rKoPXo8AAAAJ,{'indices'},Chemistry|materials|carbon materials,Rodney Ruoff,https://scholar.google.com/citations?view_op=medium_photo&user=rKoPXo8AAAAJ,104347,161,121,503,393,0,0
147243,University of Minnesota,@umn.edu,182357,1gaf87YAAAAJ,{'indices'},Chemistry|Physics|Computation,Donald Truhlar,https://scholar.google.com/citations?view_op=medium_photo&user=1gaf87YAAAAJ,66868,177,100,1288,645,0,0
147244,The Scripps Research Institute,@scripps.edu,172184,4FL5jYAAAAAJ,{'indices'},chemistry|molecular biology|biologics|materials science|polymeric materials,K Barry Sharpless (Karl Barry Sharpless),https://scholar.google.com/citations?view_op=medium_photo&user=4FL5jYAAAAAJ,45898,184,89,1050,575,0,0
147245,"Professor of Physical Chemistry, Department of Chemical Sciences, University of Napoli …",@unina.it,167366,ltONfGAAAAAJ,{'indices'},Chemistry|Theoretical Chemistry|Physical Chemistry|Computational Chemistry,Nadia Rega,https://scholar.google.com/citations?view_op=medium_photo&user=ltONfGAAAAAJ,58669,54,36,120,81,0,0
147246,"Professor of Materials Science and NanoEngineering, Rice University",@rice.edu,162703,S5oLGEgAAAAJ,{'indices'},Materials Science|Nanotechnology|Chemistry|Physics,Ajayan PM,https://scholar.google.com/citations?view_op=medium_photo&user=S5oLGEgAAAAJ,77824,191,138,893,747,0,0
147247,Carnegie Mellon University,@andrew.cmu.edu,158002,TSkli5EAAAAJ,{'indices'},Chemistry|Polymers|Polymer Chemistry|Polymer Science|Materials,Krzysztof Matyjaszewski,https://scholar.google.com/citations?view_op=medium_photo&user=TSkli5EAAAAJ,48358,191,90,1194,853,0,0
147248,"Professor of Chemistry, Tokyo Metropolitan University",@tmu.ac.jp,156537,a_WQvWkAAAAJ,{'indices'},Chemistry|Quantum Chemistry|Physical Chemistry,Masahiko Hada,https://scholar.google.com/citations?view_op=medium_photo&user=a_WQvWkAAAAJ,54283,56,30,151,84,0,0
147249,"University of California, Merced",@ucmerced.edu,143834,fI2ahzoAAAAJ,{'indices'},Chemistry|Theoretical Chemistry|Computational Chemistry,Hrant P. Hratchian,https://scholar.google.com/citations?view_op=medium_photo&user=fI2ahzoAAAAJ,53604,43,29,81,65,0,0
147250,"Chemistry department, Tsinghua university",@tsinghua.edu.cn,139721,XnuKb_ujs1MC,{'indices'},Chemistry|ESR/EPR|NMR|Organic Reaction Mechanism,Haijun Yang,https://scholar.google.com/citations?view_op=medium_photo&user=XnuKb_ujs1MC,88772,143,128,782,673,0,0
147251,Harvard Medical School,@harvard.edu,134492,SfDzdgEAAAAJ,{'indices'},Chemistry,George Church,https://scholar.google.com/citations?view_op=medium_photo&user=SfDzdgEAAAAJ,56760,176,121,533,461,0,0
147252,"Lester Wolfe Professor of Chemistry, Massachusetts Institute of Technology",,134303,64VNiWsAAAAJ,{'indices'},Chemistry|Quantum Dots|Biology|Photovoltaics|Spectroscopy,Moungi Bawendi,https://scholar.google.com/citations?view_op=medium_photo&user=64VNiWsAAAAJ,44124,170,102,471,408,0,0
147253,"Fudan University, China",@fudan.edu.cn,119783,QdZjCjkAAAAJ,{'indices'},Chemistry|Material Science,Dongyuan Zhao,https://scholar.google.com/citations?view_op=medium_photo&user=QdZjCjkAAAAJ,50350,164,114,690,554,0,0
147254,CNRS,,117529,fPjf8bEAAAAJ,{'indices'},Chemistry,Jean-Marie Lehn,https://scholar.google.com/citations?view_op=medium_photo&user=fPjf8bEAAAAJ,20244,149,59,862,353,0,0
147255,Northwestern University,@northwestern.edu,114666,QQBa5doAAAAJ,{'indices'},Chemistry|Design of materials|energy conversion|the Materiome,Kanatzidis,https://scholar.google.com/citations?view_op=medium_photo&user=QQBa5doAAAAJ,69731,154,122,1073,678,0,0
147256,"Sterling Professor of Chemistry, Yale University",@yale.edu,112355,Keb01PsAAAAJ,{'indices'},Chemistry|Biochemistry,William L. Jorgensen,https://scholar.google.com/citations?view_op=medium_photo&user=Keb01PsAAAAJ,35125,127,62,442,249,0,0
147257,콜걸샵/출장안마/모텔출장/출장샵/출장아가씨/조건만남/출장만남/콜걸안마/페이만남/출장업소 …,@firemailbox.club,110167,Ab14l4IAAAAJ,{'indices'},chemistry|molecular biology|biologics|materials science|polymeric materials,홍성출장샵＝≫카톡skpc】 홍성콜걸샵K홍성출장안마K홍성출장마사지K홍성출장업소K홍성여대생출장만남㈔K홍,https://scholar.google.com/citations?view_op=medium_photo&user=Ab14l4IAAAAJ,24986,140,61,399,209,0,0
147258,"Professor, Rice University, Department of Chemistry, Materials Science and …",@rice.edu,108864,YwoecRMAAAAJ,{'indices'},chemistry|materials|electronics|nanotechnology|graphene,James M. Tour,https://scholar.google.com/citations?view_op=medium_photo&user=YwoecRMAAAAJ,42876,151,98,675,487,0,0
147259,"Professor Abdulazeez University; Jedeha, Saudi Arabia;Thomson Highly Cited Researcher",@iitr.ac.in,97023,0mc0D7wAAAAJ,{'indices'},Chemistry|Environmental Engineering|Chemical Engg,"Vinod Kumar Gupta, FWIF,FNASc, FRSC",https://scholar.google.com/citations?view_op=medium_photo&user=0mc0D7wAAAAJ,57821,176,116,693,575,0,0
147260,Rice University,@rice.edu,93136,dsYVE9cAAAAJ,{'indices'},Chemistry,Kyriacos Nicolaou,https://scholar.google.com/citations?view_op=medium_photo&user=dsYVE9cAAAAJ,16803,150,53,866,397,0,0
147261,"Professor of Chemistry, Stanford University",@stanford.edu,86634,NWIMAqIAAAAJ,{'indices'},chemistry,Richard  N. Zare,https://scholar.google.com/citations?view_op=medium_photo&user=NWIMAqIAAAAJ,16805,138,58,920,316,0,0
