,author_1,author_2
13832,GsfvB24AAAAJ,72VmyDQAAAAJ
13833,M6Etr6oAAAAJ,zXAyIo0AAAAJ
13834,M6Etr6oAAAAJ,Av-VeeEAAAAJ
13835,M6Etr6oAAAAJ,QqRR0osAAAAJ
13836,M6Etr6oAAAAJ,LvfaFIIAAAAJ
13837,M6Etr6oAAAAJ,XwAaptMAAAAJ
13838,M6Etr6oAAAAJ,cwT02HYAAAAJ
13839,M6Etr6oAAAAJ,3lT7CoMAAAAJ
13840,M6Etr6oAAAAJ,7cA8YgMAAAAJ
13841,M6Etr6oAAAAJ,5j7V_lUAAAAJ
13842,M6Etr6oAAAAJ,lUCR9rIAAAAJ
13843,M6Etr6oAAAAJ,YTh64j8AAAAJ
13844,M6Etr6oAAAAJ,tGgctt4AAAAJ
13845,M6Etr6oAAAAJ,Ff13MYIAAAAJ
13846,M6Etr6oAAAAJ,F4P3ghEAAAAJ
13847,M6Etr6oAAAAJ,7wAzvKIAAAAJ
13848,M6Etr6oAAAAJ,hoejIlAAAAAJ
13849,M6Etr6oAAAAJ,H8YsneQAAAAJ
13850,M6Etr6oAAAAJ,4R7_wW8AAAAJ
13851,M6Etr6oAAAAJ,5XdNlE8AAAAJ
13852,M6Etr6oAAAAJ,q4JtNUkAAAAJ
13853,4R7_wW8AAAAJ,qFmoeNkAAAAJ
13854,4R7_wW8AAAAJ,GxlXjFkAAAAJ
13855,4R7_wW8AAAAJ,HA9NPoEAAAAJ
13856,4R7_wW8AAAAJ,sWkHMacAAAAJ
13857,4R7_wW8AAAAJ,BP3ofxcAAAAJ
13858,4R7_wW8AAAAJ,GPRquTYAAAAJ
13859,4R7_wW8AAAAJ,r06O54MAAAAJ
13860,4R7_wW8AAAAJ,4iB725QAAAAJ
13861,4R7_wW8AAAAJ,88ga38YAAAAJ
13862,4R7_wW8AAAAJ,C79osIsAAAAJ
13863,4R7_wW8AAAAJ,Jul6HHYAAAAJ
13864,4R7_wW8AAAAJ,nuyBlicAAAAJ
13865,4R7_wW8AAAAJ,M6Etr6oAAAAJ
13866,4R7_wW8AAAAJ,z_1mfIkAAAAJ
13867,4R7_wW8AAAAJ,EeGzvqwAAAAJ
13868,4R7_wW8AAAAJ,eiP4TqIAAAAJ
13869,4R7_wW8AAAAJ,m1lhgKgAAAAJ
13870,4R7_wW8AAAAJ,IidSQ0UAAAAJ
13871,4R7_wW8AAAAJ,FN5pfboAAAAJ
13872,4R7_wW8AAAAJ,hssvolwAAAAJ
13873,F4P3ghEAAAAJ,aS_TLX4AAAAJ
13874,F4P3ghEAAAAJ,lXt-YBgAAAAJ
13875,F4P3ghEAAAAJ,l9ZYtfAAAAAJ
13876,F4P3ghEAAAAJ,AVFPpPkAAAAJ
13877,F4P3ghEAAAAJ,M6Etr6oAAAAJ
13878,F4P3ghEAAAAJ,v1hVGqgAAAAJ
13879,F4P3ghEAAAAJ,4gePFA4AAAAJ
13880,F4P3ghEAAAAJ,Q7YTFCQAAAAJ
13881,F4P3ghEAAAAJ,aa1BiHsAAAAJ
13882,F4P3ghEAAAAJ,tOKsS_oAAAAJ
13883,F4P3ghEAAAAJ,9POE9sIAAAAJ
13884,F4P3ghEAAAAJ,UOQiNZgAAAAJ
13885,F4P3ghEAAAAJ,KLcwYUUAAAAJ
13886,F4P3ghEAAAAJ,WEZ6lykAAAAJ
13887,F4P3ghEAAAAJ,cgjoZI4AAAAJ
13888,F4P3ghEAAAAJ,3aBT5m4AAAAJ
13889,F4P3ghEAAAAJ,ciQ3dn0AAAAJ
13890,F4P3ghEAAAAJ,HjmNneUAAAAJ
13891,F4P3ghEAAAAJ,PdIwe5oAAAAJ
13892,F4P3ghEAAAAJ,xoojTgcAAAAJ
13893,rMgCyBUAAAAJ,xU1UTz8AAAAJ
13894,rMgCyBUAAAAJ,S1xVnLYAAAAJ
13895,rMgCyBUAAAAJ,GaMVI1IAAAAJ
13896,rMgCyBUAAAAJ,R1adZdgAAAAJ
13897,rMgCyBUAAAAJ,QYx5Yh4AAAAJ
13898,rMgCyBUAAAAJ,uxw0ixUAAAAJ
13899,rMgCyBUAAAAJ,QUkIgbkAAAAJ
13900,rMgCyBUAAAAJ,AykntWcAAAAJ
13901,rMgCyBUAAAAJ,z_HXB-4AAAAJ
13902,rMgCyBUAAAAJ,wC_k2-4AAAAJ
13903,rMgCyBUAAAAJ,nunrjMwAAAAJ
13904,rMgCyBUAAAAJ,NrkSGfoAAAAJ
13905,rMgCyBUAAAAJ,FfBxP9wAAAAJ
13906,rMgCyBUAAAAJ,UVnFM58AAAAJ
13907,rMgCyBUAAAAJ,YlPj-k8AAAAJ
13908,rMgCyBUAAAAJ,O5HL-TQAAAAJ
13909,rMgCyBUAAAAJ,tupRGcsAAAAJ
13910,rMgCyBUAAAAJ,dNjtqQQAAAAJ
13911,rMgCyBUAAAAJ,jmnA-zcAAAAJ
13912,rMgCyBUAAAAJ,NRLrS5cAAAAJ
13913,lRTRxSIAAAAJ,a8j_gfQAAAAJ
13914,lRTRxSIAAAAJ,c3eio1wAAAAJ
13915,lRTRxSIAAAAJ,7pj8SHoAAAAJ
13916,lRTRxSIAAAAJ,f_afgP4AAAAJ
13917,lRTRxSIAAAAJ,fwPHV5oAAAAJ
13918,lRTRxSIAAAAJ,gy8nqq4AAAAJ
13919,lRTRxSIAAAAJ,Kiq17ygAAAAJ
13920,lRTRxSIAAAAJ,l14yKR0AAAAJ
