,Unnamed: 0,title,pub_year,author,volume,journal,number,pages,publisher,abstract,filled,author_pub_id,num_citations,pub_url,cites_id,citedby_url,author_id,eprint_url,got_citations,got_author_ids,author_ids
46,41933,Dichlorotetracarbonyldirhodium,1966.0,J_ A_ McCleverty and G_ Wilkinson and Loren G Lipson and Michael L Maddox and Herbert D Kaesz,8.0,Inorganic Syntheses,,211-214,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:JhbybO29vGQC,522,,13950319078521811627,/scholar?cites=13950319078521811627,,,0,1,None | Yy5PenMAAAAJ | None | ri3_zewAAAAJ | None
47,41934,Tetrakis (triphenylphosphine) dichlororuthenium (II) and Tris (triphenylphosphine) dichlororuthenium (II),1970.0,PS Hallman and TA Stephenson and G Wilkinson,12.0,Inorganic syntheses,,237-240,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:rDsFeusoTZkC,496,,13358552032931479486,/scholar?cites=13358552032931479486,,,0,1,None | 76bMMAoAAAAJ | pe0em2MAAAAJ
48,41935,Comprehensive Coordination Chemistry,1987.0,EI Stiefel and G Wilkinson and RD Gillard and JA McCleverty,3.0,"by G. Wilkinson, RD Gillard, and JA McCleverty, Pergamon Press, Oxford",Part 36.5,1375-1420,,,True,J666WVMAAAAJ:q09DtPQ_434C,494,,14226969703007582265,/scholar?cites=14226969703007582265,,,0,1,None | pe0em2MAAAAJ | None | None
49,41936,Inorganic chemistry,1980.0,F Albert Cotton and Geoffrey Wilkinson,,John Wiley and Sons,,,,,True,J666WVMAAAAJ:qzPvQt7yPGwC,485,,17333815956930964808,/scholar?cites=17333815956930964808,,,0,1,None | RuNPc0kAAAAJ
50,41937,Cyclopentadienyl-carbon monoxide and related compounds of some transitional metals,1955.0,TS Piper and FA Cotton and G Wilkinson,1.0,Journal of Inorganic and Nuclear Chemistry,3,165-174,Pergamon,,True,J666WVMAAAAJ:CMvovTBb2okC,479,,9063159972053960383,/scholar?cites=9063159972053960383,,,0,1,None | None | pe0em2MAAAAJ
51,41938,Synthesis and reaction chemistry of stable two-coordinate phosphorus cations (phosphenium ions),1985.0,AH Cowley and RA Kemp,85.0,Chemical Reviews,5,367-382,American Chemical Society,,True,J666WVMAAAAJ:jvrRlaHg2sAC,454,,18144967825927788937,/scholar?cites=18144967825927788937,,,0,1,None | None
52,41939,The cyclopentadienides of scandium. yttrium and some rare earth elements,1956.0,JM Birmingham and G Wilkinson,78.0,Journal of the American Chemical Society,1,42-44,American Chemical Society,,True,J666WVMAAAAJ:SZzxPo9m4nkC,382,,18396607438721339868,/scholar?cites=18396607438721339868,,,0,1,5PbwBQ0AAAAJ | pe0em2MAAAAJ
53,41940,Single‐Source III/V Precursors: A New Approach to Gallium Arsenide and Related Semiconductors,1989.0,Alan H Cowley and Richard A Jones,28.0,Angewandte Chemie International Edition in English,9,1208-1215,Hüthig & Wepf Verlag,,True,J666WVMAAAAJ:-vzq6BoH5oUC,367,,11459653176134326159,/scholar?cites=11459653176134326159,,,0,1,None | tbQhhAUAAAAJ
54,41941,667. Carboxylates of palladium. platinum. and rhodium. and their adducts,1965.0,TA Stephenson and SM Morehouse and Ao R Powell and JP Heffer and G Wilkinson,,Journal of the Chemical Society (Resumed),,3632-3640,Royal Society of Chemistry,,True,J666WVMAAAAJ:isC4tDSrTZIC,356,,592846660150278959,/scholar?cites=592846660150278959,,,0,1,76bMMAoAAAAJ | None | None | None | pe0em2MAAAAJ
55,41942,On manganese cyclopentadienide and some chemical reactions of neutral bis-cyclopentadienyl metal compounds,1956.0,G Wilkinson and FA Cotton and JM Birmingham,2.0,Journal of Inorganic and Nuclear Chemistry,2,95-113,Pergamon,,True,J666WVMAAAAJ:BwyfMAYsbu0C,329,,2686497228536456910,/scholar?cites=2686497228536456910,,,0,1,pe0em2MAAAAJ | None | 5PbwBQ0AAAAJ
56,41943,Química inorgánica avanzada,1996.0,F Albert Cotton and Geoffrey Wilkinson,,,,,Limusa.,,True,J666WVMAAAAJ:cF7EPgIk0B4C,323,,2401038776002466601,/scholar?cites=2401038776002466601,,,0,1,None | RuNPc0kAAAAJ
57,41944,Química inorgánica avanzada.,1990.0,A Cotto and Geoffrey Wilkinson,,,,,Limusa,,True,J666WVMAAAAJ:Nw_I7GeUguwC,323,,2401038776002466601,/scholar?cites=2401038776002466601,,,0,1,8UmC90sAAAAJ | RuNPc0kAAAAJ
58,41945,Química inorgánica avanzada.,1969.0,F Albert Cotton and Geoffrey Wilkinson,,,QD151. 2 C84e,,,,True,J666WVMAAAAJ:EYYDruWGBe4C,323,,2401038776002466601,/scholar?cites=2401038776002466601,,,0,1,None | RuNPc0kAAAAJ
59,41946,Tris (triphenylphosphine) halorhodium (I),1967.0,JA Osborn and G Wilkinson and JJ Mrowca,10.0,Inorganic Syntheses,,67-71,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:wH03y5nBhxsC,299,,14921857300631420950,/scholar?cites=14921857300631420950,,,0,1,siOwbosAAAAJ | pe0em2MAAAAJ | None
60,41947,Double bonding between the heavier main-group elements: from reactive intermediates to isolable molecules,1984.0,Alan H Cowley,3.0,Polyhedron,4,389-432,Pergamon,,True,J666WVMAAAAJ:ipzZ9siozwsC,283,,2536053379119875230,/scholar?cites=2536053379119875230,,,0,1,None
61,41948,Homogeneous hydroformylation of alkenes with hydridocarbonyltris-(triphenylphosphine) rhodium (I) as catalyst.,1970.0,CK Brown and G Wilkinson,,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",,2753-2764,Royal Society of Chemistry,,True,J666WVMAAAAJ:hZ5_QnqxF7AC,266,,17089779602444234535,/scholar?cites=17089779602444234535,,,0,1,xfBreBcAAAAJ | pe0em2MAAAAJ
62,41949,Tetrakis (acetato) dirhodium (II) and similar carboxylato compounds,1972.0,GA Rempel and P Legzdins and H Smith and G Wilkinson and DA Ucko,13.0,Inorganic Syntheses,,90-91,John Wiley & Sons. Inc.,,True,J666WVMAAAAJ:O3NaXMp0MMsC,256,,679149579917160474,/scholar?cites=679149579917160474,,,0,1,None | None | RYTQf_0AAAAJ | pe0em2MAAAAJ | GHQdh3MAAAAJ
63,41950,Evaluation of DNA binding. DNA cleavage. protein binding and in vitro cytotoxic activities of bivalent transition metal hydrazone complexes,2011.0,P Krishnamoorthy and P Sathyadevi and Alan H Cowley and Rachel R Butorac and N Dharmaraj,46.0,European journal of medicinal chemistry,8,3376-3387,Elsevier Masson,,True,J666WVMAAAAJ:48xauSegjOkC,253,,4572713540974213890,/scholar?cites=4572713540974213890,,,0,1,x9JRGtYAAAAJ | Aiwy5j8AAAAJ | None | None | 8pCAFA8AAAAJ
64,41951,Hydride intermediates in homogeneous hydrogenation reactions of olefins and acetylenes using rhodium catalysts,1965.0,JF Young and JA Osborn and FH Jardine and G Wilkinson,,Chemical Communications (London),7,131-132,Royal Society of Chemistry,,True,J666WVMAAAAJ:WAzi4Gm8nLoC,240,,5659143449964684176,/scholar?cites=5659143449964684176,,,0,1,7F7aPXAAAAAJ | siOwbosAAAAJ | None | pe0em2MAAAAJ
65,41952,Homogeneous hydrogenation and hydroformylation using ruthenium complexes,1965.0,D Evans and JA Osborn and FH Jardine and G Wilkinson,208.0,Nature,5016,1203,Nature Publishing Group,,True,J666WVMAAAAJ:xUD2GqFNeDMC,239,,18105372364188740179,/scholar?cites=18105372364188740179,,,0,1,LjfGNNwAAAAJ | siOwbosAAAAJ | None | pe0em2MAAAAJ
66,41953,646. Norbornadiene–metal complexes and some related compounds,1959.0,EW Abel and MA Bennett and G Wilkinson,,Journal of the Chemical Society (Resumed),,3178-3182,Royal Society of Chemistry,,True,J666WVMAAAAJ:NhqRSupF_l8C,234,,1066266257460663204,/scholar?cites=1066266257460663204,,,0,1,Yr5Ub-UAAAAJ | NHB1wvYAAAAJ | pe0em2MAAAAJ
67,41954,The reaction of hydridocarbonyltris (triphenylphosphine) rhodium with carbon monoxide. and of the reaction products. hydridodicarbonylbis (triphenylphosphine) rhodium and …,1968.0,D Evans and G Yagupsky and G Wilkinson,,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",,2660-2665,Royal Society of Chemistry,,True,J666WVMAAAAJ:htyGaKyDgHMC,231,,10184341321484710779,/scholar?cites=10184341321484710779,,,0,1,LjfGNNwAAAAJ | muykC3sAAAAJ | pe0em2MAAAAJ
68,41955,Cyclopentadienyl compounds of Sc. Y. La. Ce and some lanthanide elements,1954.0,G Wilkinson and JM Birmingham,76.0,Journal of the American Chemical Society,23,6210-6210,American Chemical Society,,True,J666WVMAAAAJ:qUcmZB5y_30C,229,,373931093369222969,/scholar?cites=373931093369222969,,,0,1,pe0em2MAAAAJ | 5PbwBQ0AAAAJ
69,41956,New ruthenium carboxylate complexes,1966.0,TA Stephenson and G Wilkinson,28.0,Journal of inorganic and nuclear Chemistry,10,2285-2291,Pergamon,,True,J666WVMAAAAJ:q3CdL3IzO_QC,218,,3285230081617752012,/scholar?cites=3285230081617752012,,,0,1,76bMMAoAAAAJ | pe0em2MAAAAJ
70,41957,291. Carbonyl halides of manganese and some related compounds,1959.0,EW Abel and G Wilkinson,,Journal of the Chemical Society (Resumed),,1501-1505,Royal Society of Chemistry,,True,J666WVMAAAAJ:WGv8Og3F3KgC,218,,13157254329181625785,/scholar?cites=13157254329181625785,,,0,1,Yr5Ub-UAAAAJ | pe0em2MAAAAJ
71,41958,Stable compounds with double bonding between the heavier main-group elements,1984.0,Alan H Cowley,17.0,Accounts of Chemical Research,11,386-392,American Chemical Society,,True,J666WVMAAAAJ:8_tS2Vw13FcC,206,,16666093394686881186,/scholar?cites=16666093394686881186,,,0,1,None
72,41959,The preparation and reactions of hydridochlorotris (triphenylphosphine) ruthenium (II) including homogeneous catalytic hydrogenation of alk-1-enes,1968.0,PS Hallman and BR McGarvey and G Wilkinson,,"Journal of the Chemical Society A: Inorganic, Physical, Theoretical",,3143-3150,Royal Society of Chemistry,,True,J666WVMAAAAJ:gKiMpY-AVTkC,205,,4239817108050353576,/scholar?cites=4239817108050353576,,,0,1,None | None | pe0em2MAAAAJ
73,41960,Carbene− Pnictinidene Adducts,1997.0,Anthony J Arduengo and Joseph C Calabrese and Alan H Cowley and HV Rasika Dias and Jens R Goerlich and William J Marshall and Bernhard Riegel,36.0,Inorganic chemistry,10,2151-2158,American Chemical Society,,True,J666WVMAAAAJ:cWzG1nlazyYC,200,,3765662460716191447,/scholar?cites=3765662460716191447,,,0,1,CaTKgWgAAAAJ | 76fDQgcAAAAJ | None | None | None | hvWZG0sAAAAJ | None
74,41961,π-cyclopentadienyl compounds of uranium-IV and thorium-IV,1956.0,LT Reynolds and G Wilkinson,2.0,Journal of Inorganic and Nuclear Chemistry,4,246-253,Pergamon,,True,J666WVMAAAAJ:ZeXyd9-uunAC,197,,354451680575042436,/scholar?cites=354451680575042436,,,0,1,KH7O9CAAAAAJ | pe0em2MAAAAJ
