Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
713589,Tencent Future Network Lab,,28.0,BjDWTFsAAAAJ,{'indices'},nan,Ruoqiao Jiang,nan,28.0,3,3,1,1,0,0
713590,Data61,,4340.0,4iVFXfQAAAAJ,{'indices'},nan,Maximilian (Max) Ott,nan,1558.0,28,16,59,23,0,0
713591,Beijing Institute of Technology,,6830.0,aM1sg40AAAAJ,{'indices'},nan,Wei Li,nan,6263.0,38,37,94,90,0,0
713592,Alibaba DAMO Academy,,20845.0,6G-l4o0AAAAJ,{'indices'},nan,Xian-Sheng Hua (华先胜)(IEEE Fellow),nan,9324.0,75,47,357,242,0,0
713593,Hong Kong Baptist Univesrity,,633.0,qrWi1RYAAAAJ,{'indices'},nan,Jie Chen,nan,597.0,14,13,17,14,0,0
713594,"Professor of Computer Science, University of Lincoln",,2653.0,ttCt2zQAAAAJ,{'indices'},nan,Shigang Yue,nan,1925.0,27,21,74,56,0,0
713595,"Dept. of Information Technology, Uppsala University",,1572.0,uyklfiYAAAAJ,{'indices'},nan,Robin Strand,nan,1078.0,21,14,36,19,0,0
713596,"Professor in Visualization, Centre for Image Analysis, Dept. of Information Technology, Uppsala",,1622.0,s5r4CW4AAAAJ,{'indices'},nan,Ingela Nyström,nan,541.0,21,11,43,11,0,0
713597,"Centre for Image Analysis, Uppsala University, Sweden",,1551.0,BtuFYvQAAAAJ,{'indices'},nan,Joakim Lindblad,nan,621.0,20,13,37,16,0,0
713598,"PhD, Centre for Image Analysis, Uppsala University",,309.0,P3IkyVYAAAAJ,{'indices'},nan,Johan Nysjö,nan,257.0,8,8,6,5,0,0
713599,"Professor, University of Iowa",,9465.0,-uz6-4EAAAAJ,{'indices'},nan,Punam Kumar Saha,nan,3267.0,53,32,132,85,0,0
713600,professor emeritus in digital image analysis at Uppsala University,,5047.0,3rdSJSgAAAAJ,{'indices'},nan,Ewert Bengtsson,nan,1315.0,36,20,90,33,0,0
713601,Flagship Biosciences,,2584.0,SM3nQwYAAAAJ,{'indices'},nan,Cris L. Luengo Hendriks,nan,910.0,25,16,46,23,0,0
713602,"Dept. IT, Uppsala University & Vironova AB",,1102.0,doRx5U0AAAAJ,{'indices'},nan,Ida-Maria Sintorn,nan,613.0,14,10,19,11,0,0
713603,"Professor in Image Processing, Uppsala University",,8836.0,cN7GJ1EAAAAJ,{'indices'},nan,Gunilla Borgefors,nan,1548.0,30,14,66,17,0,0
713604,"Professor in Computerized Image Analysis, Uppsala University, Sweden",,739.0,n4uDNF8AAAAJ,{'indices'},nan,Nataša Sladoje,nan,357.0,15,9,24,9,0,0
713605,Lions Eye Institute,,1153.0,QmdHIxcAAAAJ,{'indices'},nan,Andrew Mehnert,nan,434.0,15,10,23,11,0,0
713606,Technische Universität Dresden,,8059.0,SQlzFhMAAAAJ,{'indices'},nan,Hans-Gerd Maas,nan,3090.0,40,22,129,64,0,0
713607,Centre for Research on the Alpine environment - Switzerland,,3826.0,vHIsBxnKRf4C,{'indices'},nan,Antonio Abellan,nan,2891.0,24,24,36,35,0,0
713608,University of Münster,,498.0,u175N_QAAAAJ,{'indices'},nan,Claudia Stöcker,nan,491.0,7,7,6,6,0,0
