,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
679704,Professor in Mid Sweden University,,1180,YxkpioEAAAAJ,{'indices'},,Tingting Zhang,,652,18,12,26,16,0,0
679705,"Professor of Software Engineering, Chalmers University & Blekinge Institute of Technology",,8335,VemqkeEAAAAJ,{'indices'},,Robert Feldt,,5473,37,31,98,77,0,0
679706,"Assistant Professor in Computer Science, Chalmers and the University of Gothenburg",,478,RDgaTXMAAAAJ,{'indices'},,Francisco Gomes de Oliveira Neto,,279,10,9,10,9,0,0
679707,Ericsson,,438,IOUsHccAAAAJ,{'indices'},,Wei Shen,,282,9,8,9,8,0,0
679708,"Prof., Chalmers and the University of Gothenburg, Sweden",,3740,yNR3XUMAAAAJ,{'indices'},,Richard Torkar,,2391,28,23,54,42,0,0
679709,Assistant professor at Mid Sweden University,,419,qy_qekwAAAAJ,{'indices'},,Benny Thörnberg,,182,12,8,17,5,0,0
679710,Aalto University,,1284,WAiwQsoAAAAJ,{'indices'},,Fabian Fagerholm,,1069,20,18,31,29,0,0
679711,"Professor (W3), Reutlingen University",,5358,7YIiCJoAAAAJ,{'indices'},,Jürgen Münch,,2889,39,28,127,75,0,0
679712,"Professor of Computer Science,University of Helsinki",,3220,ZSX8_ToAAAAJ,{'indices'},,Tomi Männistö,,1276,31,18,66,28,0,0
679713,"Department of Computer Science, University of Helsinki & KPMG Finland",,105,J0RwMvcAAAAJ,{'indices'},,Sezin Yaman,,105,5,5,4,4,0,0
679714,"Professor of Computer Science, University of Helsinki",,7364,UTRmf5MAAAAJ,{'indices'},,Sasu Tarkoma,,4663,43,30,120,84,0,0
679715,"Professor, University of Helsinki",,5017,Y2F-AWAAAAAJ,{'indices'},,Tommi Mikkonen,,2549,32,28,109,58,0,0
679716,"University Lecturer, Department of Computer Science, University of Helsinki",,746,LeFIiCwAAAAJ,{'indices'},,Matti Luukkainen,,467,13,11,15,13,0,0
679717,"Professor of Strategy and Innovation, Lappeenranta-Lahti University of Technology (LUT)",,7349,oQ2zykwAAAAJ,{'indices'},,Paavo Ritala,,6234,44,41,86,80,0,0
679718,"Senior Lecturer in Software Engineering, Blekinge Institute of Technology, SERL-Sweden",,1754,c4a2z1AAAAAJ,{'indices'},,Michael Unterkalmsteiner,,1428,17,17,21,21,0,0
679719,"Professor of Software Engineering, Blekinge Institute of Technology, SERL-Sweden",,6462,9eXSw7UAAAAJ,{'indices'},,Tony Gorschek,,3704,44,33,83,65,0,0
679720,Microsoft Research,,118,NFr1WocAAAAJ,{'indices'},,Chandra Maddila,,118,7,7,3,3,0,0
679721,Microsoft Research,,14753,Nzx_7P8AAAAJ,{'indices'},,Nachiappan Nagappan,,7034,56,42,117,87,0,0
679722,Microsoft Research,,1066,oCCv-tcAAAAJ,{'indices'},,Rahul Kumar,,591,14,12,28,18,0,0
679723,INRIA,,6519,ZZ3dLUcAAAAJ,{'indices'},,Karthikeyan Bhargavan,,3886,42,28,77,58,0,0
679724,Microsoft Research,,2115,gMHUpVcAAAAJ,{'indices'},,Antoine Delignat-Lavaud,,1838,18,17,24,23,0,0
679725,"Senior Lecturer (Associate Professor) in Computer Security, Imperial College London",,2065,ODKP7a0AAAAJ,{'indices'},,Sergio Maffeis,,691,20,13,28,18,0,0
679726,Microsoft Research,,11,33De4NEAAAAJ,{'indices'},,Nikitha Rao,,11,2,2,0,0,0,0
