Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
300408,"Head of Engineering at Thales, Belgium & Professor of Computer Science, University of …",@fundp.ac.be,1636,-cd5tlAAAAAJ,{'indices'},Software engineering|data engineering,Philippe Thiran,https://scholar.google.com/citations?view_op=medium_photo&user=-cd5tlAAAAAJ,373,23,9,40,7,0,1
300409,Tokyo Institute of Technology,@c.titech.ac.jp,1636,8UNd2rMAAAAJ,{'indices'},Software Engineering|Refactoring|Software Maintenance and Evolution|Requirements Engineering,Shinpei Hayashi,https://scholar.google.com/citations?view_op=medium_photo&user=8UNd2rMAAAAJ,587,16,11,25,14,0,1
300410,"Professor of Business Analytics, University of Central Missouri",@ucmo.edu,1635,Q9ME-AQAAAAJ,{'indices'},Information Security Management|Business Data Analytics|Machine Learning|Software Engineering|AWS big Data Solutions,Qingxiong Ma,https://scholar.google.com/citations?view_op=medium_photo&user=Q9ME-AQAAAAJ,529,10,9,12,9,0,1
300411,"Lero, University of Limerick",@lero.ie,1629,oCIPkw8AAAAJ,{'indices'},software engineering|software requirements|natural language processing,Kevin T Ryan,https://scholar.google.com/citations?view_op=medium_photo&user=oCIPkw8AAAAJ,338,10,6,10,4,0,1
300412,"Associate Professor (with Habilitation) of Computer Science, Sorbonne Université",@lip6.fr,1627,fQDKu5YAAAAJ,{'indices'},Software Engineering|Model-Driven Engineering|Software Product Lines,Tewfik Ziadi,https://scholar.google.com/citations?view_op=medium_photo&user=fQDKu5YAAAAJ,825,19,15,29,22,0,1
300413,"Research Fellow, University of Southampton",@soton.ac.uk,1623,xSdyzkQAAAAJ,{'indices'},Computational Engineering|Software engineering|Machine Learning|Optimization|Aircraft Design,Dirk Gorissen,https://scholar.google.com/citations?view_op=medium_photo&user=xSdyzkQAAAAJ,823,18,12,25,13,0,1
300414,"LoUISE Research Group, Universidad de Castilla-La Mancha",@dsi.uclm.es,1623,QhpelEgAAAAJ,{'indices'},Human-Computer Interaction|Model-Driven Development|Software Engineering,Víctor López-Jaquero,https://scholar.google.com/citations?view_op=medium_photo&user=QhpelEgAAAAJ,490,20,11,33,14,0,1
300415,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad (MS),INDIA",@bamu.ac.in,1621,D6FMN8EAAAAJ,{'indices'},Image Processing|Pattern Recognition|Computer Vision|Software Engineering|Artificial Intelligence,"Professor Karbhari Vishwanath Kale,",https://scholar.google.com/citations?view_op=medium_photo&user=D6FMN8EAAAAJ,867,20,15,57,29,0,1
300416,Eskisehir Osmangazi Universitesi,@ogu.edu.tr,1621,QmEaTqkAAAAJ,{'indices'},Computer Systems and Networks|Software Engineering|High Performance Computing|Image Processing and Computer Vision,Cuneyt Akinlar,https://scholar.google.com/citations?view_op=medium_photo&user=QmEaTqkAAAAJ,922,15,12,22,14,0,1
300417,"Faculty of Engineering and IT, University of Technology, Sydney",@uts.edu.au,1620,GXGag_wAAAAJ,{'indices'},Biomimetics|AI|Software Engineering|Augmented Reality|WSANs and IOT,Zenon Chaczko,https://scholar.google.com/citations?view_op=medium_photo&user=GXGag_wAAAAJ,802,18,12,35,16,0,1
300418,"Adjunct Professor at the Computer Science School, PUCRS",@pucrs.br,1618,tjnEfX4AAAAJ,{'indices'},Software Engineering|Requirements Engineering|Global Software Development|Collaborative Software Development,Sabrina Marczak,https://scholar.google.com/citations?view_op=medium_photo&user=tjnEfX4AAAAJ,1098,17,14,40,26,0,1
300419,"Assistant Lecturer, Melbourne Institute of Technology",@students.latrobe.edu.au,1617,CxRsCf8AAAAJ,{'indices'},Bioinformatics|Electrical and Electronics|Software Engineering,Mohashin Pathan,https://scholar.google.com/citations?view_op=medium_photo&user=CxRsCf8AAAAJ,1608,7,7,6,6,0,1
300420,The University of Texas at Dallas,@utdallas.edu,1616,h0Xm4AoAAAAJ,{'indices'},Software Engineering|Program Debugging,Vidroha Debroy,https://scholar.google.com/citations?view_op=medium_photo&user=h0Xm4AoAAAAJ,999,17,16,22,17,0,1
300421,The Hebrew University of Jerusalem,@cs.huji.ac.il,1616,3nYG5BMAAAAJ,{'indices'},Verification|Software Engineering,Guy Katz,https://scholar.google.com/citations?view_op=medium_photo&user=3nYG5BMAAAAJ,1568,17,15,26,26,0,1
300422,"Data Scientist, RavenPack",@ravenpack.com,1615,gY-BUosAAAAJ,{'indices'},Data Science|Software Engineering|Mobile Computing|App Store Analysis|Crowdsourcing,María Gómez,https://scholar.google.com/citations?view_op=medium_photo&user=gY-BUosAAAAJ,849,23,17,34,23,0,1
300423,"Professor of Computer and Information Science, University of Massachusetts Dartmouth ",@umassd.edu,1611,-CkhdLkAAAAJ,{'indices'},Software Engineering|Distributed Computing|Mobile Cloud Computing,Haiping Xu,https://scholar.google.com/citations?view_op=medium_photo&user=-CkhdLkAAAAJ,660,20,13,44,19,0,1
300424,"Associate Professor, National Institute of Informatics",@nii.ac.jp,1611,v6stGAoAAAAJ,{'indices'},Software Engineering|Testing|Formal Methods|Service-Oriented Computing|Cyber-Physical Systems,Fuyuki Ishikawa,https://scholar.google.com/citations?view_op=medium_photo&user=v6stGAoAAAAJ,993,20,16,38,23,0,1
300425,IKERLAN,@ikerlan.es,1610,DUYlMW8AAAAJ,{'indices'},Software Engineering|Embedded Systems|Model Driven Engineering|Software Product Lines|Feature Oriented Software Development,Salva Trujillo,https://scholar.google.com/citations?view_op=medium_photo&user=DUYlMW8AAAAJ,601,20,13,34,15,0,1
300426,"Dept. of Artificial Intelligence, China University of Petroleum",@upc.edu.cn,1610,D08hbzsAAAAJ,{'indices'},Big Data Processing|Artificial Intelligence|Software Engineering|Mobile Cloud Computing,Weishan Zhang,https://scholar.google.com/citations?view_op=medium_photo&user=D08hbzsAAAAJ,958,20,15,48,26,0,1
300427,"Ph.D. candidate, William & Mary",@cs.wm.edu,1608,OIwJ9nUAAAAJ,{'indices'},Software Engineering,Carlos Bernal-Cárdenas,https://scholar.google.com/citations?view_op=medium_photo&user=OIwJ9nUAAAAJ,1408,18,17,21,21,0,1
300428,CSIRO,@csiro.au,1607,6HQHsy0AAAAJ,{'indices'},Software Engineering|Social Media Analysis|Web Applications,Bella Robinson,https://scholar.google.com/citations?view_op=medium_photo&user=6HQHsy0AAAAJ,1119,11,9,11,9,0,1
