Unnamed: 0,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
736130,"Professor of Artificial Intelligence and Machine Learning, hessian.ai, TU Darmstadt, Germany",,11336.0,QY-earAAAAAJ,{'indices'},Artificial Intelligence|Statistical Relational Learning|Deep Probabilistic Programming|Probabilistic Circuits,Kristian Kersting,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QY-earAAAAAJ&citpid=10,5631.0,52,34,187,139,0,0
736131,Nokia Bell Labs,,1583.0,Tw718yMAAAAJ,{'indices'},Machine Learning,Mikko Honkala,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QY-earAAAAAJ&citpid=10,1223.0,14,8,21,8,0,0
736132,"Biology, Univ of Copenhagen, Genomic Medicine, Rigshospitalet and Technical University of Denmark",,11646.0,7VAwhzUAAAAJ,{'indices'},machine learning|bioinformatics|deep learning|artificial intelligence,Ole Winther,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7VAwhzUAAAAJ&citpid=2,8139.0,50,41,123,93,0,0
736133,"Research Scientist, Google Brain",,3621.0,yzGdbKoAAAAJ,{'indices'},Deep Learning|Machine Learning|Bioinformatics,Casper Kaae Sønderby,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yzGdbKoAAAAJ&citpid=2,3555.0,17,17,19,19,0,0
736134,,,3543.0,4J4H9uoAAAAJ,{'indices'},Bioinformatics|Machine learning,Søren Kaae Sønderby,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yzGdbKoAAAAJ&citpid=2,3467.0,10,10,10,10,0,0
736135,Co-Founder & CTO at Corti | Adj. Assoc. Professor of Machine Learning,,1097.0,bNmv8vsAAAAJ,{'indices'},Machine Learning,Lars Maaløe,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bNmv8vsAAAAJ&citpid=4,1078.0,8,8,8,8,0,0
736136,"Senior Research fellow, Liggins Institute, University of Auckland",,5753.0,InxhqXgAAAAJ,{'indices'},Human microbiome|Bioinformatics|Machine learning|Computational systems biology|Bayesian statistics,Tommi Vatanen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=InxhqXgAAAAJ&citpid=7,5610.0,21,21,25,24,0,0
736137,Carnegie Mellon University,,265.0,x1LQVZoAAAAJ,{'indices'},Statistics|uncertainty quantification|inverse problems|spatio-temporal statistics|machine learning,Mikael Kuusela,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x1LQVZoAAAAJ&citpid=3,185.0,7,5,6,5,0,0
736138,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York University",,193378.0,WLN3QrAAAAAJ,{'indices'},AI|machine learning|computer vision|robotics|image compression,Yann LeCun,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WLN3QrAAAAAJ&citpid=2,155704.0,126,104,295,240,0,0
736139,"Research Scientist, Google Zürich",,442.0,8nfCufAAAAAJ,{'indices'},natural language processing|computational social science|machine learning|data mining,Eric Malmi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8nfCufAAAAAJ&citpid=4,398.0,11,11,13,12,0,0
