Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
271264,"Professor of Electrical engineering, Labo SIME, ENSIT, University of Tunis",@esstt.rnu.tn,1000,xNjICT4AAAAJ,{'indices'},Signal processing|Image processing|computer science,Mounir Sayadi,https://scholar.google.com/citations?view_op=medium_photo&user=xNjICT4AAAAJ,577,15,11,29,16,1,1
271265,Isfahan University of Medical Sciences,@resident.mui.ac.ir,999,5RJCya4AAAAJ,{'indices'},Image processing|graph theory|wavelet,rahele kafieh,https://scholar.google.com/citations?view_op=medium_photo&user=5RJCya4AAAAJ,817,15,13,19,15,1,1
271266,"Lecturer, Neapolis University Pafos",@nup.ac.cy,998,GDAL3kUAAAAJ,{'indices'},Image Processing|Pattern Recognition|Document Processing|Image Retrieval|Information Management,Konstantinos Zagoris,https://scholar.google.com/citations?view_op=medium_photo&user=GDAL3kUAAAAJ,652,18,14,25,17,1,1
271267,Consiglio Nazionale delle Ricerche - ICAR,@icar.cnr.it,997,MU48hmcAAAAJ,{'indices'},Computer Vision|Pattern Recognition|Image Processing,filippo vella,https://scholar.google.com/citations?view_op=medium_photo&user=MU48hmcAAAAJ,464,16,12,30,18,1,1
271268,Assistant Professor in MCA,@sarahtuckercollege.edu.in,996,wDSRC7MAAAAJ,{'indices'},Virtual Reality|Image processing,Merriliance Sekhar,https://scholar.google.com/citations?view_op=medium_photo&user=wDSRC7MAAAAJ,500,15,11,23,13,1,1
271269,"PhD, Johns Hopkins University",@jhu.edu,995,HdfD4ZsAAAAJ,{'indices'},Medical Ultrasound|Image Processing|Elastography|Computer-aided Diagnosis|Computer-aided Intervention,Pezhman Foroughi,https://scholar.google.com/citations?view_op=medium_photo&user=HdfD4ZsAAAAJ,548,16,11,22,11,1,1
271270,"Associate Professor, Indian Institute of Technology Indore",@iiti.ac.in,995,pqP66FLxeBMC,{'indices'},Ear Recognition|Biometrics|Pattern Recognition|Computer Vision|Image Processing,Surya Prakash,https://scholar.google.com/citations?view_op=medium_photo&user=pqP66FLxeBMC,562,17,13,33,19,1,1
271271,Chang Gung University,@mail.cgu.edu.tw,994,k96cdv0AAAAJ,{'indices'},Image processing|medical imaging,Shu-Yen Wan (萬書言),https://scholar.google.com/citations?view_op=medium_photo&user=k96cdv0AAAAJ,245,13,8,16,7,1,1
271272,University of Virginia,@virginia.edu,994,EiLDW5gAAAAJ,{'indices'},Image Processing|Medical Image Analysis|Pattern Recognition|Machine Learning,Bing Li,https://scholar.google.com/citations?view_op=medium_photo&user=EiLDW5gAAAAJ,328,7,6,6,6,1,1
271273,Federal Institute of São Paulo,@ifsp.edu.br,993,5nhvZXYAAAAJ,{'indices'},Computer Vision|Image Processing|Machine Learning|Digital Forensics|Pattern Recognition,"Tiago Carvalho, Ph.D.",https://scholar.google.com/citations?view_op=medium_photo&user=5nhvZXYAAAAJ,804,15,13,17,17,1,1
271274,"Professor, Department of Electrical Engineering, National Chung Hsing University",@mail.nchu.edu.tw,993,LSl5wvcAAAAJ,{'indices'},Image Processing|Computer Graphics,Jan-Ray Liao,https://scholar.google.com/citations?view_op=medium_photo&user=LSl5wvcAAAAJ,325,13,8,14,8,1,1
271275,"Scientist, Xperi",@xperi.com,992,z3JoHJYAAAAJ,{'indices'},Image Processing|Pattern Recognition|Artificial Intelligence|DeepLearning,Gabriel Costache,https://scholar.google.com/citations?view_op=medium_photo&user=z3JoHJYAAAAJ,205,12,6,14,6,1,1
271276,cochin university of science and technology,@cusat.ac.in,991,naGN_-kAAAAJ,{'indices'},Artificial Intelligence|graph theory|Dta Mining|Image processing,Kannan B,https://scholar.google.com/citations?view_op=medium_photo&user=naGN_-kAAAAJ,622,16,12,30,20,1,1
271277,"Professor, ""Gh. Asachi"" Technical University  of Iasi",@ac.tuiasi.ro,991,exM6cOsAAAAJ,{'indices'},Predictive control techniques|Visual servoing control|Automotive control|Computer vision|Image processing,Corneliu Lazar,https://scholar.google.com/citations?view_op=medium_photo&user=exM6cOsAAAAJ,484,15,11,32,14,1,1
271278,"Assistant Professor of Computer Science, UTAR",@utar.edu.my,991,FJcvZE8AAAAJ,{'indices'},Image Processing|Computer Vision|Machine Learning,Hui Fuang Ng,https://scholar.google.com/citations?view_op=medium_photo&user=FJcvZE8AAAAJ,369,10,7,10,5,1,1
271279,"Dr of Electronic Engineering, The Univeristy of Adelaide",@vu.edu.au,988,ooPNqqcAAAAJ,{'indices'},Pattern recognition|image processing|biomedical image analysis|DCE-MRI,Xiaoxia Yin; Xiao-Xia Yin,https://scholar.google.com/citations?view_op=medium_photo&user=ooPNqqcAAAAJ,625,14,12,24,16,1,1
271280,University of Electronic Science and Technology of China,@uestc.edu.cn,988,otKBemIAAAAJ,{'indices'},Image Processing|De-convolution|Pattern Recognition|Visual Detection,Shuai Wang,https://scholar.google.com/citations?view_op=medium_photo&user=otKBemIAAAAJ,882,14,14,15,15,1,1
271281,"Professor, Universidade Estadual de Campinas",@ft.unicamp.br,987,IcXW2zYAAAAJ,{'indices'},Image processing|computer vision|computer graphic|graphs,Marco Antonio Garcia de Carvalho,https://scholar.google.com/citations?view_op=medium_photo&user=IcXW2zYAAAAJ,395,13,10,18,10,1,1
271282,"Chief Scientist, Triple Ring Technologies, Inc.",@tripleringtech.com,986,Gw22VwkAAAAJ,{'indices'},X-ray Imaging|X-ray Sources and Detectors|Medical Imaging|Image Processing|Electron Optics,Brian Wilfley,https://scholar.google.com/citations?view_op=medium_photo&user=Gw22VwkAAAAJ,431,12,9,16,9,1,1
271283,"MCF, HdR, Université d'Orléans, laboratoire PRISME EA 4229",@univ-orleans.fr,986,L7tQvtwAAAAJ,{'indices'},Image processing|computer vision,Sylvie Treuillet,https://scholar.google.com/citations?view_op=medium_photo&user=L7tQvtwAAAAJ,538,16,13,25,16,1,1
271284,Professor at the university of Burgundy,@u-bourgogne.fr,986,wJ-MkNMAAAAJ,{'indices'},Dynamic reconfigurable systems|Image processing|embedded system|methodologies and tools for co-modelling and …|FPGA design and Real-time systems.,El-Bay Bourennane,https://scholar.google.com/citations?view_op=medium_photo&user=wJ-MkNMAAAAJ,431,15,10,27,10,1,1
271285,"University of California, Riverside",@ee.ucr.edu,984,MoEIkWIAAAAJ,{'indices'},Computer Vision|Sensor Network|Distributed Algorithms|Image Processing|Signal Processing,Ahmed Tashrif Kamal,https://scholar.google.com/citations?view_op=medium_photo&user=MoEIkWIAAAAJ,541,11,10,11,10,1,1
271286,Joint Research Centre - European Commission,@ec.europa.eu,984,1Fo3agwAAAAJ,{'indices'},Remote Sensing|Data Mining|Image Processing|Alternative Fuels Infrastructure|Electric Vehicles,Andreea Julea,https://scholar.google.com/citations?view_op=medium_photo&user=1Fo3agwAAAAJ,705,15,12,22,15,1,1
271287,"Associate Professor, Nagoya University, Japan",@ieee.org,984,2EBF0wcAAAAJ,{'indices'},Image Processing|Computer Vision,Keita Takahashi,https://scholar.google.com/citations?view_op=medium_photo&user=2EBF0wcAAAAJ,443,15,12,27,13,1,1
271288,Department of Informatics and Telecommunications. University of Athens,@sch.gr,983,Gp10efYAAAAJ,{'indices'},Machine learning|Fractals|Support Vector Machines|Kernel Methods|Image processing,Pantelis Bouboulis,https://scholar.google.com/citations?view_op=medium_photo&user=Gp10efYAAAAJ,520,18,14,20,15,1,1
271289,Hankyong National University,@hknu.ac.kr,983,lSVqeJAAAAAJ,{'indices'},image processing|image restoration,Jeongho Shin,https://scholar.google.com/citations?view_op=medium_photo&user=lSVqeJAAAAAJ,195,13,7,18,4,1,1
271290,"Associate Professor of Electronic Engineering, Shahrood University of Technology",@shahroodut.ac.ir,983,o7-0hSEAAAAJ,{'indices'},image processing|Pattern recognirion|signal processing,alireza ahmadyfard,https://scholar.google.com/citations?view_op=medium_photo&user=o7-0hSEAAAAJ,485,17,12,23,12,1,1
271291,Tokyo Institute of Technology/Shanghai Jiao Tong University,@sjtu.edu.cn,982,AquIorwAAAAJ,{'indices'},Machine Learning|Image Processing,Masoumeh Zareapoor,https://scholar.google.com/citations?view_op=medium_photo&user=AquIorwAAAAJ,929,16,16,23,23,1,1
271292,MIT Lincoln Laboratory,@ll.mit.edu,981,ARyd2EQAAAAJ,{'indices'},Remote Sensing|Biomedical Imaging|Neural Networks|Atmospheric Sounding|Image Processing,Adam B. Milstein,https://scholar.google.com/citations?view_op=medium_photo&user=ARyd2EQAAAAJ,230,12,10,15,10,1,1
271293,"Full Professor, L2S, CentraleSupélec, France",@centralesupelec.fr,980,oFg9jYIAAAAJ,{'indices'},signal processing|image processing|inverse problems,Charles Soussen,https://scholar.google.com/citations?view_op=medium_photo&user=oFg9jYIAAAAJ,569,16,11,25,17,1,1
271294,University of New South Wales,@adfa.edu.au,979,zNw6MzMAAAAJ,{'indices'},Cyber Security|Data Analytics|Image Processing|Computer Vision,Frank Jiang,https://scholar.google.com/citations?view_op=medium_photo&user=zNw6MzMAAAAJ,561,17,13,34,17,1,1
271295,"Instituto de Matemática e Estatística, Universidade de São Paulo",@math.tu-berlin.de,979,TzMtBHwAAAAJ,{'indices'},Shape and topology optimization|Inverse Problems|Asymptotic analysis|Image processing|Structural optimization,Antoine Laurain,https://scholar.google.com/citations?view_op=medium_photo&user=TzMtBHwAAAAJ,592,18,15,28,19,1,1
271296,University of Illinois at Urbana Champaign,@illinois.edu,979,TmpK_iwAAAAJ,{'indices'},Optical imaging|biomedical imaging|image processing,Nathan Shemonski,https://scholar.google.com/citations?view_op=medium_photo&user=TmpK_iwAAAAJ,836,14,14,16,16,1,1
271297,,,978,xX70E9oAAAAJ,{'indices'},Medical Imaging|EIT|Image Processing,Tao Dai,https://scholar.google.com/citations?view_op=medium_photo&user=xX70E9oAAAAJ,787,15,13,29,23,1,1
271298,Research and Development,@alumni.stanford.edu,978,ACwOKl4AAAAJ,{'indices'},Computer Vision|Image Processing|Internet of Things|Machine Learning|Virtual Reality,Michael R Bax,https://scholar.google.com/citations?view_op=medium_photo&user=ACwOKl4AAAAJ,250,10,7,10,6,1,1
271299,"Associate Professor, School of Remote Sensing and Information Engineering, Wuhan …",@whu.edu.cn,977,SoA0RiMAAAAJ,{'indices'},image processing|multitemporal remote sensing|sparse representation|cloud removal|deep learning,Xinghua Li,https://scholar.google.com/citations?view_op=medium_photo&user=SoA0RiMAAAAJ,945,16,16,18,18,1,1
271300,"Department of Microbial Pathogenesis, Yale University",@yale.edu,977,JpqXA_UAAAAJ,{'indices'},Cryo-ET|Image processing|flagellar motor|Borrelia burgdorferi,Yunjie Chang,https://scholar.google.com/citations?view_op=medium_photo&user=JpqXA_UAAAAJ,974,8,8,7,7,1,1
