,affiliation,email_domain,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
641501,Hoogleraar Universiteit van Amsterdam,,12538,2MYPRaoAAAAJ,{'indices'},,Joke Voogt,,8747,51,44,142,113,0,0
641502,"University of Wyoming - Assistant Professor of Learning, Design, & Technology",,1077,TI1HsQ8AAAAJ,{'indices'},,William Cain,,941,10,9,10,9,0,0
641503,"Associate Professor, School of Education, Iowa State University",,5306,Wkw9EyIAAAAJ,{'indices'},,Evrim Baran,,3750,23,21,36,34,0,0
641504,"assistant professor at california state university, fresno",,381,H7v5stAAAAAJ,{'indices'},,rohit mehta,,376,8,8,8,8,0,0
641505,"University of Kansas, University of Melbourne, University of Oregon, Michigan State University",,17469,p0S6fZEAAAAJ,{'indices'},,Yong Zhao,,7353,57,35,124,93,0,0
641506,National Institute for Curriculum Development,,3639,JRIfna0AAAAJ,{'indices'},,Petra Fisser,,2846,21,19,34,24,0,0
641507,Arizona State University,,347,6MJ2HJEAAAAJ,{'indices'},,Leigh Graves Wolf,,227,7,6,7,3,0,0
641508,"Professor, Michigan State University",,4520,E_kmtUQAAAAJ,{'indices'},,Aman Yadav,,3482,32,27,55,49,0,0
641509,Michigan State University,,914,MJFTjacAAAAJ,{'indices'},,Jon Good,,905,11,11,11,11,0,0
641510,"Learning Technologies, Drexel University",,989,_caHZ_0AAAAJ,{'indices'},,Aroutis Foster,,662,16,14,21,16,0,0
641511,Michigan State University,,390,EPUJyN0AAAAJ,{'indices'},,Carmen Richardson,,384,8,8,8,8,0,0
641512,Arizona State University,,64,t0Z9XTEAAAAJ,{'indices'},,Melissa Warr,,63,5,5,1,1,0,0
641513,"Professor of Curriculum and Educational Technology, College of William & Mary",,7202,PuXjAm4AAAAJ,{'indices'},,Judi Harris,,2972,39,20,87,35,0,0
641514,Western Oregon University,,1557,MUbbifMAAAAJ,{'indices'},,Mark Girod,,624,19,11,23,13,0,0
641515,"Department of Media and Information, Michigan State University",,6782,J2cm5CQAAAAJ,{'indices'},,Carrie Heeter,,2303,31,18,68,31,0,0
641516,"Summit Professor of Learning Technologies, Kent State University",,5140,P6DOX8QAAAAJ,{'indices'},,Richard E. Ferdig,,2001,35,22,66,43,0,0
641517,Stanford University,,4002,jNkKWXEAAAAJ,{'indices'},,David Camarillo,,2800,31,29,57,54,0,0
641518,"Lecturer, Stanford University",,7967,eWfcf2YAAAAJ,{'indices'},,federico barbagli,,4293,43,32,86,55,0,0
641519,Stanford University,,39847,4arkOLcAAAAJ,{'indices'},,Oussama Khatib,,13898,79,48,226,141,0,0
641520,"Associate Professor of Computer Science, University of Illinois at Urbana-Champaign",,5627,V22Gj30AAAAJ,{'indices'},,Craig Zilles,,1311,34,19,66,36,0,0
641521,"Senior Researcher, IIT, Genova, Italy. Professor of Control and Robotics, University of Pisa",,25257,Bmuft6wAAAAJ,{'indices'},,Antonio Bicchi,,11530,72,51,338,210,0,0
641522,EponaTech LLC,,21889,_3rYEzQAAAAJ,{'indices'},,John J. Craig,,4361,23,12,31,16,0,0
641523,"Head of Data Science, Alife Health",,2024,D4HRo4kAAAAJ,{'indices'},,"Kevin Loewke, PhD",,1121,17,14,24,17,0,0
641524,"Professor of Robotics and Computer Science, Carnegie Mellon University",,15997,D_JpQnAAAAAJ,{'indices'},,Matthew T. Mason,,4243,51,30,167,105,0,0
641525,Intuitive Surgical,,4562,JyiZxY0AAAAJ,{'indices'},,Nicola Diolaiti,,3323,33,30,47,42,0,0
641526,"Professor of ECE, Purdue University",,8326,OiVOAHMAAAAJ,{'indices'},,Hong Z Tan,,2738,49,28,133,76,0,0
641527,Open Source Robotics Foundation,,12018,fMDLYCUAAAAJ,{'indices'},,Morgan Quigley,,7515,23,19,30,24,0,0
641528,Substance Lab Limited,,2794,fjrKXowAAAAJ,{'indices'},,Cristy Ho,,1064,25,18,35,31,0,0
641529,"Professor of Robotics and Automatic Control, Univ. Bologna",,9114,OWaE_ZEAAAAJ,{'indices'},,Claudio Melchiorri,,3448,47,29,156,88,0,0
641530,Stanford,,123944,7K34d7cAAAAJ,{'indices'},,Sebastian Thrun,,47009,157,94,432,320,0,0
641531,"Professor of Mechanical Engineering, University of Michigan",,4381,EiB7kroAAAAJ,{'indices'},,Brent Gillespie,,1638,31,20,84,53,0,0
641532,"Principal Scientist, Microsoft AI for Earth",,8335,j03zZgcAAAAJ,{'indices'},,Dan Morris,,4695,48,39,106,87,0,0
641533,King Mongkut's Institute of Technology Ladkrabang,,3222,vp45e2cAAAAJ,{'indices'},,Wibool Piyawattanametha,,1034,27,17,40,27,0,0
641534,"Google, Stanford University",,655,NOAVTjEAAAAJ,{'indices'},,Adam Leeper,,381,12,8,13,7,0,0
641535,Professor of Robotics at University of Siena and Senior Scientist at IIT,,11572,mMjWcPAAAAAJ,{'indices'},,Domenico Prattichizzo,,5984,56,39,223,136,0,0
