303148,Federal University of Ceará,@dc.ufc.br,219,xNHKGfYAAAAJ,{'indices'},Computer Science|Software Engineering|Health Informatics,João Bosco Ferreira Filho,https://scholar.google.com/citations?view_op=medium_photo&user=xNHKGfYAAAAJ,133,7,5,5,3,0,1
303149,Czech Technical University in Prague,@fel.cvut.cz,219,GEaf7-8AAAAJ,{'indices'},software engineering|ontology|management|linguistics|history,Martin Molhanec,https://scholar.google.com/citations?view_op=medium_photo&user=GEaf7-8AAAAJ,65,6,4,1,0,0,1
303150,ASML,@asml.com,219,ln2CsAEAAAAJ,{'indices'},Computational Science|Numerical Simulation|Software Engineering,Liesbeth Vanherpe,https://scholar.google.com/citations?view_op=medium_photo&user=ln2CsAEAAAAJ,113,7,6,6,4,0,1
303151,Jawaharlal Nehru Technological University Hyderabad,,219,ZcjOUGkAAAAJ,{'indices'},Cyberpolicing|Cyberpsychology|Cyberforensics|Software Engineering|Internet of Things,Dr.Kanagaluru Chandra Sekharaiah,https://scholar.google.com/citations?view_op=medium_photo&user=ZcjOUGkAAAAJ,138,7,6,3,0,0,1
303152,"COMSATS Institute of Information Technology, Lahore.",@ciitlahore.edu.pk,218,LebAwewAAAAJ,{'indices'},Software Engineering|Distributed Software Development|Software Design and Architecture|Software as a Service.,Sajid Ibrahim Hashmi,https://scholar.google.com/citations?view_op=medium_photo&user=LebAwewAAAAJ,88,6,5,5,3,0,1
303153,University of Ostrava,@osu.cz,218,nFsolvUAAAAJ,{'indices'},Expert systems|fuzzy approaches|databases|software engineering,Bogdan Walek,https://scholar.google.com/citations?view_op=medium_photo&user=nFsolvUAAAAJ,133,8,6,6,3,0,1
303154,Institut Teknologi Sepuluh Nopember,@its.ac.id,218,dBFDIUQAAAAJ,{'indices'},Game Technology|Software Engineering|Computational Intelligent,Supeno Mardi Susiki Nugroho,https://scholar.google.com/citations?view_op=medium_photo&user=dBFDIUQAAAAJ,198,7,6,3,2,0,1
303155,"Software Development Engineer, Amazon",@amazon.com,218,oLd76xUAAAAJ,{'indices'},Software Engineering,Diego Cedrim,https://scholar.google.com/citations?view_op=medium_photo&user=oLd76xUAAAAJ,214,8,8,7,7,0,1
303156,The University of Danang - University of Science and Technology,@dut.udn.vn,218,uYFPpDwAAAAJ,{'indices'},Software Engineering|Software Testing|Computational Intelligence|Machine Learning|Knowledge Mining,Le Thi My Hanh,https://scholar.google.com/citations?view_op=medium_photo&user=uYFPpDwAAAAJ,198,9,8,8,8,0,1
303157,"Member of faculty of computer engineering,North Tehran Branch, Islamic Azad University",@iau-tnb.ac.ir,218,RtiEnuEAAAAJ,{'indices'},distributed systems|software engineering|ad-hoc networks|sensor networks,sepideh adabi,https://scholar.google.com/citations?view_op=medium_photo&user=RtiEnuEAAAAJ,109,8,7,7,5,0,1
303158,explore.dev,@explore.dev,218,YVrZxlAAAAAJ,{'indices'},Programming Languages|Static Analysis|Developer Tools|Software Engineering,Marcelo Sousa,https://scholar.google.com/citations?view_op=medium_photo&user=YVrZxlAAAAAJ,209,7,7,6,5,0,1
303159,"Assistant Professor, Department of Computer Science & Applications, Kurukshetra …",@kuk.ac.in,218,c9BbuksAAAAJ,{'indices'},Software Engineering|Software Testing|Cloud Computing|MANETs,Sanjay Tyagi,https://scholar.google.com/citations?view_op=medium_photo&user=c9BbuksAAAAJ,151,7,6,5,5,0,1
303160,"Lecturer, Dian Nuswantoro University",@dsn.dinus.ac.id,218,f-48qxYAAAAJ,{'indices'},Software Engineering|Watermarking|e-Learning|Mobile Application|Web Service,Ajib Susanto,https://scholar.google.com/citations?view_op=medium_photo&user=f-48qxYAAAAJ,211,8,8,4,4,0,1
303161,Shandong University,@sdu.edu.cn,218,kXl61c4AAAAJ,{'indices'},programming language|software engineering|machine learning,Zhongxing Yu,https://scholar.google.com/citations?view_op=medium_photo&user=kXl61c4AAAAJ,201,8,8,8,6,0,1
303162,"Penn, University of Pennsylvania",@gssi.infn.it,218,Az6jIMQAAAAJ,{'indices'},Artificial Intelligence|Machine Learning|Evolutionary Computation|Search Based Software Engineering|Software Engineering,Stefano Ruberto,https://scholar.google.com/citations?view_op=medium_photo&user=Az6jIMQAAAAJ,200,6,6,6,6,0,1
303163,"Assistant Professor, KFUPM",@uottawa.ca,217,fksfZOgAAAAJ,{'indices'},Software engineering|Machine learning,Hamoud Aljamaan,https://scholar.google.com/citations?view_op=medium_photo&user=fksfZOgAAAAJ,171,9,7,9,6,0,1
303164,Technical Consultant ,@rmit.edu.au,217,5qT5cLMAAAAJ,{'indices'},IT and ICT - Network traffic analysis|Software Engineering|Modelling|Optimization|Simulations,Vinod Mirchandani,https://scholar.google.com/citations?view_op=medium_photo&user=5qT5cLMAAAAJ,27,8,3,6,1,0,1
303165,"Information System, Universitas Brawijaya",@ub.ac.id,217,v9a4dvcAAAAJ,{'indices'},Web Development|Mobile Application|Software Engineering,Aryo Pinandito,https://scholar.google.com/citations?view_op=medium_photo&user=v9a4dvcAAAAJ,215,8,8,6,6,0,1
303166,SafeMotion,@safemotion.kr,217,uCrWj1wAAAAJ,{'indices'},Object Tracking|Software Engineering,Chi-Min Oh,https://scholar.google.com/citations?view_op=medium_photo&user=uCrWj1wAAAAJ,88,9,6,8,2,0,1
303167,"Professor of Computer Science, Shiraz University of Technology",@sutech.ac.ir,217,IFeUeVgAAAAJ,{'indices'},Software Engineering|Cloud migration,Omid Bushehrian,https://scholar.google.com/citations?view_op=medium_photo&user=IFeUeVgAAAAJ,104,7,5,5,2,0,1
303168,DFINITY,@dfinity.org,217,E8emCf8AAAAJ,{'indices'},intuitionistic type theory|programming languages|software engineering,Johan Georg Granström,https://scholar.google.com/citations?view_op=medium_photo&user=E8emCf8AAAAJ,162,8,7,5,4,0,1
303169,University of Washington,@cs.washington.edu,217,VZOg9GcAAAAJ,{'indices'},Databases|Software Engineering,Cong Yan,https://scholar.google.com/citations?view_op=medium_photo&user=VZOg9GcAAAAJ,213,7,7,7,7,0,1
303170,Federal University of Goiás,@ufg.br,217,0M18dXQAAAAJ,{'indices'},Software Engineering|Internet of Things,Renato F. Bulcão Neto,https://scholar.google.com/citations?view_op=medium_photo&user=0M18dXQAAAAJ,68,7,5,6,1,0,1
303171,University of Texas at Austin,@mail.utexas.edu,216,2gztRXQAAAAJ,{'indices'},Software Engineering|Software Testing and Verification,Shadi Khalek,https://scholar.google.com/citations?view_op=medium_photo&user=2gztRXQAAAAJ,102,6,5,6,5,0,1
303172,PUCRS,@acad.pucrs.br,216,9ReGafkAAAAJ,{'indices'},Software Engineering|Pair Programming|Agile Methods,Bernardo Estácio,https://scholar.google.com/citations?view_op=medium_photo&user=9ReGafkAAAAJ,191,8,7,7,7,0,1
303173,RKF Engineering,@rkf-eng.com,216,CjvEQ1UAAAAJ,{'indices'},signal processing|software engineering,Brian Sipos,https://scholar.google.com/citations?view_op=medium_photo&user=CjvEQ1UAAAAJ,119,6,6,4,4,0,1
303174,"Faculty of Electrical Engineering, University of Sarajevo",@etf.unsa.ba,216,nJgWCXoAAAAJ,{'indices'},Human Computer Interaction|Biomedical Signals and Systems|Software Engineering,Dusanka Boskovic,https://scholar.google.com/citations?view_op=medium_photo&user=nJgWCXoAAAAJ,187,9,8,8,7,0,1
303175,"Chief Technology Officer (CTO), Chief Data Scientist, Head of R&D department, Senior …",@leeds.ac.uk,216,sJUqI78AAAAJ,{'indices'},Machine Learning|Data Science|Software engineering|Artificial Intelligence|Computer Vision,Dr. Kyaw Kyaw Htike,https://scholar.google.com/citations?view_op=medium_photo&user=sJUqI78AAAAJ,170,7,7,7,6,0,1
303176,University of Manitoba,@umanitoba.ca,216,mLQZCwgAAAAJ,{'indices'},Software Engineering|Software Process|Software Quality|Global Software Engineering|Education,Josiane Kroll,https://scholar.google.com/citations?view_op=medium_photo&user=mLQZCwgAAAAJ,138,8,7,7,3,0,1
303177,"Assistant Professor, Northern Kentucky University",@nku.edu,216,gudx2XcAAAAJ,{'indices'},Internet of Things|Pervasive Computing|Software Engineering|Programming Langauge|Logic Synthesis and Verification,Samuel Sungmin Cho,https://scholar.google.com/citations?view_op=medium_photo&user=gudx2XcAAAAJ,95,4,3,3,2,0,1
303178,"Associate Professor, Department of Information Technology, College of Computer, Qassim …",@qu.edu.sa,216,mnKbxNIAAAAJ,{'indices'},Information Security|Software Engineering,Abdullah M. Alnajim,https://scholar.google.com/citations?view_op=medium_photo&user=mnKbxNIAAAAJ,115,6,5,6,3,0,1
