Unnamed: 0,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
265532,"Assistant Professor, IRIBU University, Department of Technology and Media Engineering",@iribu.ac.ir,48,h28u9LUAAAAJ,{'indices'},Machine Learning|Deep Learning|BSS|Speech Processing|Computer Vision,Rahil Mahdian,https://scholar.google.com/citations?view_op=medium_photo&user=h28u9LUAAAAJ,39,4,4,1,0,0,1
265533,"Assistant Professor at Harran University, Department of Computer Engineering",@ceng.metu.edu.tr,48,alUof6IAAAAJ,{'indices'},Visual Privacy Protection|Deep Learning|Computer Vision|High Dynamic Range Imaging,Serdar Çiftçi,https://scholar.google.com/citations?view_op=medium_photo&user=alUof6IAAAAJ,47,3,3,2,2,0,1
265534,KAIST,@kaist.ac.kr,48,3o79fuQAAAAJ,{'indices'},Computer Vision|Deep Learning,Dong-Jin Kim,https://scholar.google.com/citations?view_op=medium_photo&user=3o79fuQAAAAJ,48,4,4,2,2,0,1
265535,Pennsylvania State University,@cse.psu.edu,48,fzRxH1cAAAAJ,{'indices'},Computer Architecture|Machine Learning|Deep Learning,Jihyun Ryoo,https://scholar.google.com/citations?view_op=medium_photo&user=fzRxH1cAAAAJ,46,3,3,1,1,0,1
265536,KAIST,@kaist.ac.kr,48,wtxxHUMAAAAJ,{'indices'},Machine learning|Deep learning|Computer Vision|Robotics,Jungmo Koo,https://scholar.google.com/citations?view_op=medium_photo&user=wtxxHUMAAAAJ,48,4,4,1,1,0,1
265537,"Department of Computer Engineering, Rasht Branch, Islamic Azad University, Rasht, Iran",@qiau.ac.ir,48,QO-I5jEAAAAJ,{'indices'},Deep Learning|Information Retrieval|Semantic Relatedness|Data mining,Mojdeh Nazari,https://scholar.google.com/citations?view_op=medium_photo&user=QO-I5jEAAAAJ,42,5,4,1,1,0,1
265538,Purdue University,@purdue.edu,48,U150gjwAAAAJ,{'indices'},Computer Vision|Remote Sensing|Deep Learning|Machine Learning,Tawfiq Salem,https://scholar.google.com/citations?view_op=medium_photo&user=U150gjwAAAAJ,47,4,4,1,1,0,1
265539,University of Mons - UMONS,@umons.ac.be,48,NFJx4AEAAAAJ,{'indices'},Electric Vehicles|Energy Storage|Deep Learning|Demand Response,Behzad Vatandoust,https://scholar.google.com/citations?view_op=medium_photo&user=NFJx4AEAAAAJ,48,3,3,1,1,0,1
265540,"Research Associate in Data Science and Machine Learning, School of Public Health …",@imperial.ac.uk,48,ALj7g08AAAAJ,{'indices'},Machine learning|deep learning|global health|public health,Ricky Nathvani,https://scholar.google.com/citations?view_op=medium_photo&user=ALj7g08AAAAJ,48,4,4,2,2,0,1
265541,"PhD, Research Engineer",@correo.ugr.es,48,J3GqVSMAAAAJ,{'indices'},machine learning|biomedical image processing|biomedical signal analysis|deep learning|computer vision,Igor Krashenyi,https://scholar.google.com/citations?view_op=medium_photo&user=J3GqVSMAAAAJ,40,5,4,2,2,0,1
265542,"Artificial Intelligence PhD Candidate, University of Kashan, Tilburg University",@grad.Kashanu.ac.ir,48,8t2zqqIAAAAJ,{'indices'},Natural Language Processing|Pattern Recognition|Machine Learning|Deep Learning|Text Summarization,Mahsa Afsharizade,https://scholar.google.com/citations?view_op=medium_photo&user=8t2zqqIAAAAJ,42,3,3,2,1,0,1
265543,MD Anderson Cancer Center,@mdanderson.org,48,B1DGMS8AAAAJ,{'indices'},Quantitative MRI|Deep Learning|Cancer Therapy Response,Benjamin Musall,https://scholar.google.com/citations?view_op=medium_photo&user=B1DGMS8AAAAJ,48,4,4,2,2,0,1
265544,"PhD in Data Analytics, Hankuk University of Foreign Studies",@hufs.ac.kr,48,EkUIiUMAAAAJ,{'indices'},Human Activity Recognition|Ubiquitous Computing|Machine Learning|Deep Learning,Feri Setiawan,https://scholar.google.com/citations?view_op=medium_photo&user=EkUIiUMAAAAJ,48,4,4,1,1,0,1
265545,"PhD student, Karlsruhe Institute of Technology (KIT), Reutlingen University",@student.kit.edu,48,am3IeUYAAAAJ,{'indices'},Computer Vision|Medical Computing|Deep Learning|Embedded Systems|Wearable Technology,Ramy Ashraf Zeineldin,https://scholar.google.com/citations?view_op=medium_photo&user=am3IeUYAAAAJ,48,3,3,2,2,0,1
265546,"PhD Student in Computer Science,  Autonomous University of Barcelona",@cvc.uab.es,48,N-K-13sAAAAJ,{'indices'},Artificial Intelligence|Computer Vision|Deep Learning|Multispectral Imaging,Xavier Soria Poma,https://scholar.google.com/citations?view_op=medium_photo&user=N-K-13sAAAAJ,48,4,4,4,4,0,1
265547,"Research Associate, Fraunhofer Institute for Integrated Circuits; RealVision ITN",@iis.fraunhofer.de,48,sKqdTvoAAAAJ,{'indices'},4D Light field Imaging|Deep Learning|Artificial Intelligence,M. SHAHZEB KHAN GUL,https://scholar.google.com/citations?view_op=medium_photo&user=sKqdTvoAAAAJ,47,2,2,1,1,0,1
265548,SK Telecom,@sk.com,48,1CF-S5EAAAAJ,{'indices'},Deep Learning|Computer Vision,Hyunjun Eun,https://scholar.google.com/citations?view_op=medium_photo&user=1CF-S5EAAAAJ,48,4,4,1,1,0,1
265549,Researcher in Delvitech SA,,48,uJjupFwAAAAJ,{'indices'},Approximation Algorithms|Online Algorithms|Machine Learning|Deep Learning,sumedh tirodkar,https://scholar.google.com/citations?view_op=medium_photo&user=uJjupFwAAAAJ,39,4,3,2,2,0,1
