id,abstract,author,cites,cites_id,journal,number,pages,publisher,title,url,volume,year,citation_link,id_citations
7151,"This paper describes the algorithms used by the CMS experiment to reconstruct and identify τ→ hadrons+ ν τ decays during Run 1 of the LHC. The performance of the algorithms is studied in proton-proton collisions recorded at a centre-of-mass energy of 8 TeV, corresponding to an integrated luminosity of 19.7 fb− 1. The algorithms achieve an identification efficiency of 50–60%, with misidentification rates for quark and gluon jets, electrons, and muons between per mille and per cent levels.",CMS collaboration,306,1869494107770861880,Journal of Instrumentation,01,P01019,IOP Publishing,Reconstruction and identification of τ lepton decays to hadrons and ντ at CMS,https://iopscience.iop.org/article/10.1088/1748-0221/11/01/P01019/meta,11,2016,/scholar?cites=1869494107770861880,q_wYjF8AAAAJ:aKos2Y7kUz0C
7152,"The t t-bar production cross section (sigma [t t-bar]) is measured in proton-proton collisions at sqrt (s)= 7 TeV in data collected by the CMS experiment, corresponding to an integrated luminosity of 2.3 inverse femtobarns. The measurement is performed in events with two leptons (electrons or muons) in the final state, at least two jets identified as jets originating from b quarks, and the presence of an imbalance in transverse momentum. The measured value of sigma [t t-bar] for a top-quark mass of 172.5 GeV is 161.9+/-2.5 (stat.)+ 5.1/-5.0 (syst.)+/-3.6 (lumi.) pb, consistent with the prediction of the standard model.",CMS collaboration,306,4559889132114013809,arXiv preprint arXiv:1208.2671,,,,Measurement of the t t-bar production cross section in the dilepton channel in pp collisions at sqrt (s)= 7 TeV,https://arxiv.org/abs/1208.2671,,2012,/scholar?cites=4559889132114013809,q_wYjF8AAAAJ:WCWDm03BpewC
7153,,S Schael,306,5022529538332221470,Phys. Rept,257,191,,ALEPH and DELPHI and L3 and OPAL and SLD and LEP Electroweak Working Group and SLD Electroweak Group and SLD Heavy Flavour Group collaborations,http://scholar.google.com/scholar?cluster=5022529538332221470&hl=en&oi=scholarr,427,2006,/scholar?cites=5022529538332221470,q_wYjF8AAAAJ:OiA2aNrLN7MC
7154,"In searches for new physics in the energy regime of the LHC, it is becoming increasingly important to distinguish single-jet objects that originate from the merging of the decay products of W bosons produced with high transverse momenta from jets initiated by single partons. Algorithms are defined to identify such W jets for different signals of interest, using techniques that are also applicable to other decays of bosons to hadrons that result in a single jet, such as those from highly boosted Z and Higgs bosons. The efficiency for tagging W jets is measured in data collected with the CMS detector at a center-of-mass energy of 8 TeV, corresponding to an integrated luminosity of 19.7 fb− 1. The performance of W tagging in data is compared with predictions from several Monte Carlo simulators.",Vardan Khachatryan and Albert M Sirunyan and Armen Tumasyan and Wolfgang Adam and Thomas Bergauer and Marko Dragicevic and Janos Erö and Christian Fabjan and Markus Friedl and Rudolf Fruehwirth and Vasile Mihai Ghete and Christian Hartl and Natascha Hörmann and Josef Hrubec and Manfred Jeitler and Wolfgang Kiesenhofer and Valentin Knünz and Manfred Krammer and Ilse Krätschmer and Dietrich Liko and Ivan Mikulec and Dinyar Rabady and Babak Rahbaran and Herbert Rohringer and Robert Schöfbeck and Josef Strauss and Anton Taurok and Wolfgang Treberer-Treberspurg and Wolfgang Waltenberger and C-E Wulz and Vladimir Mossolov and Nikolai Shumeiko and J Suarez Gonzalez and Sara Alderweireldt and Monika Bansal and Sunil Bansal and Tom Cornelis and Eddi A De Wolf and Xavier Janssen and Albert Knutsson and Sten Luyckx and Silvia Ochesanu and Benoit Roland and Romain Rougny and Merijn Van De Klundert and Hans Van Haevermaet and Pierre Van Mechelen and Nick Van Remortel and Alex Van Spilbeeck and Freya Blekman and Stijn Blyweert and Jorgen D’Hondt and Nadir Daci and Natalie Heracleous and James Keaveney and Steven Lowette and Michael Maes and Annik Olbrechts and Quentin Python and Derek Strom and Stefaan Tavernier and Walter Van Doninck and Petra Van Mulders and Gerrit Patrick Van Onsem and Ilaria Villella and Cécile Caillol and Barbara Clerbaux and Gilles De Lentdecker and Didar Dobur and Laurent Favart and APR Gay and Anastasia Grebenyuk and Alexandre Léonard and Abdollah Mohammadi and Luca Perniè and Thomas Reis and Tomislav Seva and Laurent Thomas and C Vander Velde and P Vanlaer and J Wang and Volker Adler and Kelly Beernaert and Leonardo Benucci and Anna Cimmino and Silvia Costantini and S Crucy and Sven Dildick and Alexis Fagot and Guillaume Garcia and Joseph McCartin and AA Ocampo Rios and Dirk Ryckbosch and S Salva Diblen and Michael Sigamani and Nadja Strobbe and Filip Thyssen and Michael Tytgat and Efe Yazgan and Nikolaos Zaganidis and S Basegmez and C Beluffi and G Bruno and R Castello and A Caudron and L Ceard and GG Da Silveira and C Delaere and T Du Pree and D Favart and L Forthomme and A Giammanco and J Hollar and A Jafari and P Jez and M Komm and V Lemaitre and C Nuttens and D Pagano and L Perrini and A Pin and K Piotrzkowski and A Popov and L Quertenmont and M Selvaggi and M Vidal Marono and JM Vizan Garcia and N Beliy and T Caebergs and E Daubie and GH Hammad and WL Aldá and GA Alves and L Brito and M Correa Martins and T Dos Reis Martins and C Mora Herrera and ME Pol and W Carvalho and J Chinellato and A Custódio and EM Da Costa and D De Jesus Damiao and C De Oliveira Martins and S Fonseca De Souza and H Malbouisson and D Matos Figueiredo and L Mundim and H Nogima and WL Prado Da Silva,304,378716649865798698,Journal of High Energy Physics,12,17,Springer Berlin Heidelberg,Identification techniques for highly boosted W bosons that decay into hadrons,https://link.springer.com/content/pdf/10.1007/JHEP12(2014)017.pdf,2014,2014,/scholar?cites=378716649865798698,q_wYjF8AAAAJ:Se3iqnhoufwC
7155,"The inclusive cross section for top-quark pair production measured by the CMS experiment in proton–proton collisions at a center-of-mass energy of 7 TeV is compared to the QCD prediction at next-to-next-to-leading order with various parton distribution functions to determine the top-quark pole mass, m t pole, or the strong coupling constant, α S. With the parton distribution function set NNPDF2. 3, a pole mass of 176.7− 3.4+ 3.8 GeV is obtained when constraining α S at the scale of the Z boson mass, m Z, to the current world average. Alternatively, by constraining m t pole to the latest average from direct mass measurements, a value of α S (m Z)= 0.1151− 0.0032+ 0.0033 is extracted. This is the first determination of α S using events from top-quark production.",Serguei Chatrchyan and V Khachatryan and AM Sirunyan and A Tumasyan and W Adam and T Bergauer and M Dragicevic and J Eroe and C Fabjan and M Friedl and R Fruehwirth and VM Ghete and N Hoermann and J Hrubec and M Jeitler and W Kiesenhofer and V Knuenz and M Krammer and I Kraetschmer and D Liko and I Mikulec and D Rabady and B Rahbaran and C Rohringer and H Rohringer and R Schoefbeck and J Strauss and A Taurok and W Treberer-Treberspurg and W Waltenberger and C-E Wulz and V Mossolov and N Shumeiko and J Suarez Gonzalez and S Alderweireldt and M Bansal and S Bansal and Tom Cornelis and EA De Wolf and X Janssen and A Knutsson and S Luyckx and L Mucibello and S Ochesanu and B Roland and R Rougny and Z Staykova and H Van Haevermaet and P Van Mechelen and N Van Remortel and A Van Spilbeeck and F Blekman and S Blyweert and J DʼHondt and A Kalogeropoulos and J Keaveney and M Maes and A Olbrechts and S Tavernier and W Van Doninck and P Van Mulders and GP Van Onsem and I Villella and B Clerbaux and G De Lentdecker and L Favart and APR Gay and T Hreus and A Leonard and PE Marage and A Mohammadi and L Pernie and T Reis and T Seva and L Thomas and C Vander Velde and P Vanlaer and J Wang and Volker Adler and Kelly Beernaert and Leonardo Benucci and Anna Cimmino and Silvia Costantini and Sven Dildick and Guillaume Garcia and Benjamin Klein and Jeremie Lellouch and Andrey Marinov and Joseph McCartin and AA Ocampo Rios and Dirk Ryckbosch and Michael Sigamani and Nadja Strobbe and Filip Thyssen and Michael Tytgat and S Walsh and Efe Yazgan and Nikolaos Zaganidis and S Basegmez and C Beluffi and G Bruno and R Castello and A Caudron and L Ceard and C Delaere and T Du Pree and D Favart and L Forthomme and A Giammanco and J Hollar and P Jez and V Lemaitre and J Liao and O Militaru and C Nuttens and D Pagano and A Pin and K Piotrzkowski and A Popov and M Selvaggi and JM Vizan Garcia and N Beliy and T Caebergs and E Daubie and GH Hammad and GA Alves and M Correa Martins Junior and T Martins and ME Pol and MHG Souza and WL Aldá Júnior and W Carvalho and J Chinellato and A Custodio and EM Da Costa and D De Jesus Damiao and C De Oliveira Martins and S Fonseca De Souza and H Malbouisson and M Malek and D Matos Figueiredo and L Mundim and H Nogima and WL Prado Da Silva and A Santoro and A Sznajder and EJ Tonelli Manganote and A Vilela Pereira and CA Bernardes and FA Dias,304,862765129188592515,Physics Letters B,,496-517,North-Holland,Determination of the top-quark pole mass and strong coupling constant from the tt¯ production cross section in pp collisions at s= 7 TeV,https://www.sciencedirect.com/science/article/pii/S0370269313009842,728,2014,/scholar?cites=862765129188592515,q_wYjF8AAAAJ:ODN9lDrI8hIC
7156,"A search for a Higgs boson decaying into two photons is described. The analysis is performed using a dataset recorded by the CMS experiment at the LHC from pp collisions at a center-of-mass energy of 7 TeV, which corresponds to an integrated luminosity of 4.8 fb− 1. Limits are set on the cross section of the standard model Higgs boson decaying to two photons. The expected exclusion limit at 95% confidence level is between 1.4 and 2.4 times the standard model cross section in the mass range between 110 and 150 GeV. The analysis of the data excludes, at 95% confidence level, the standard model Higgs boson decaying into two photons in the mass range 128 to 132 GeV. The largest excess of events above the expected standard model background is observed for a Higgs boson mass hypothesis of 124 GeV with a local significance of 3.1σ. The global significance of observing an excess with a local …",Serguei Chatrchyan and V Khachatryan and AM Sirunyan and A Tumasyan and W Adam and T Bergauer and M Dragicevic and J Erö and C Fabjan and M Friedl and R Frühwirth and VM Ghete and J Hammer and M Hoch and N Hörmann and J Hrubec and M Jeitler and W Kiesenhofer and M Krammer and D Liko and I Mikulec and M Pernicka and B Rahbaran and C Rohringer and H Rohringer and R Schöfbeck and J Strauss and A Taurok and F Teischinger and P Wagner and W Waltenberger and G Walzel and E Widl and C-E Wulz and N Shumeiko and J Suarez Gonzalez and M Korzhik and S Bansal and Leonardo Benucci and Tom Cornelis and EA De Wolf and X Janssen and S Luyckx and T Maes and L Mucibello and S Ochesanu and B Roland and R Rougny and M Selvaggi and H Van Haevermaet and P Van Mechelen and N Van Remortel and A Van Spilbeeck and F Blekman and S Blyweert and J DʼHondt and R Gonzalez Suarez and A Kalogeropoulos and M Maes and A Olbrechts and W Van Doninck and P Van Mulders and GP Van Onsem and I Villella and O Charaf and B Clerbaux and G De Lentdecker and V Dero and APR Gay and GH Hammad and T Hreus and A Léonard and PE Marage and L Thomas and C Vander Velde and P Vanlaer and J Wickens and Volker Adler and Kelly Beernaert and Anna Cimmino and Silvia Costantini and Guillaume Garcia and M Grunewald and Benjamin Klein and Jeremie Lellouch and Andrey Marinov and Joseph McCartin and AA Ocampo Rios and Dirk Ryckbosch and Nadja Strobbe and Filip Thyssen and Michael Tytgat and Lukas Vanelderen and Piet Verwilligen and S Walsh and Efe Yazgan and Nikolaos Zaganidis and S Basegmez and G Bruno and L Ceard and J De Favereau De Jeneret and C Delaere and T du Pree and D Favart and L Forthomme and A Giammanco and G Grégoire and J Hollar and V Lemaitre and J Liao and O Militaru and C Nuttens and D Pagano and A Pin and K Piotrzkowski and N Schul and N Beliy and T Caebergs and E Daubie and GA Alves and M Correa Martins Junior and D De Jesus Damiao and T Martins and ME Pol and MHG Souza and WL Aldá Júnior and W Carvalho and A Custódio and EM Da Costa and C De Oliveira Martins and S Fonseca De Souza and D Matos Figueiredo and L Mundim and H Nogima and V Oguri and WL Prado Da Silva and A Santoro and SM Silva Do Amaral and L Soares Jorge and A Sznajder and TS Anjos and CA Bernardes and FA Dias and TR Fernandez Perez Tomei and EM Gregores and C Lagana and F Marinho and PG Mercadante and Sérgio Ferraz Novaes and Sandra S Padula,303,416820437368197617,Physics Letters B,3,403-425,North-Holland,Search for the standard model Higgs boson decaying into two photons in pp collisions at s= 7TeV,https://www.sciencedirect.com/science/article/pii/S0370269312002547,710,2012,/scholar?cites=416820437368197617,q_wYjF8AAAAJ:3fE2CSJIrl8C
7157,"Measurements of the normalized rapidity (y) and transverse-momentum (q T) distributions of Drell–Yan muon and electron pairs in the Z-boson mass region (60< M ℓ ℓ< 120 GeV) are reported. The results are obtained using a data sample of proton-proton collisions at a center-of-mass energy of 7 TeV, collected by the CMS experiment at the Large Hadron Collider (LHC), corresponding to an integrated luminosity of 36 pb− 1. The distributions are measured over the ranges| y|< 3.5 and q T< 600 GeV and compared with quantum chromodynamics (QCD) calculations using recent parton distribution functions to model the momenta of the quarks and gluons in the protons. Overall agreement is observed between the models and data for the rapidity distribution, while no single model describes the Z transverse-momentum distribution over the full range.",Serguei Chatrchyan and Vardan Khachatryan and Albert M Sirunyan and A Tumasyan and W Adam and T Bergauer and M Dragicevic and J Eroe and C Fabjan and M Friedl and R Fruehwirth and VM Ghete and J Hammer and M Hoch and N Hoermann and J Hrubec and M Jeitler and W Kiesenhofer and M Krammer and D Liko and I Mikulec and M Pernicka and B Rahbaran and H Rohringer and R Schoefbeck and J Strauss and A Taurok and F Teischinger and C Trauner and P Wagner and W Waltenberger and G Walzel and E Widl and C-E Wulz and V Mossolov and N Shumeiko and J Suarez Gonzalez and S Bansal and Leonardo Benucci and EA De Wolf and X Janssen and S Luyckx and T Maes and L Mucibello and S Ochesanu and B Roland and R Rougny and M Selvaggi and H Van Haevermaet and P Van Mechelen and N Van Remortel and F Blekman and S Blyweert and J D’Hondt and R Gonzalez Suarez and A Kalogeropoulos and M Maes and A Olbrechts and W Van Doninck and P Van Mulders and GP Van Onsem and I Villella and O Charaf and B Clerbaux and G De Lentdecker and V Dero and APR Gay and GH Hammad and T Hreus and A Leonard and PE Marage and L Thomas and C Vander Velde and P Vanlaer and Volker Adler and Kelly Beernaert and Anna Cimmino and Silvia Costantini and M Grunewald and Benjamin Klein and Jeremie Lellouch and Andrey Marinov and Joseph McCartin and Dirk Ryckbosch and Nadja Strobbe and Filip Thyssen and Michael Tytgat and Lukas Vanelderen and Piet Verwilligen and S Walsh and Nikolaos Zaganidis and S Basegmez and G Bruno and J Caudron and L Ceard and E Cortina Gil and J De Favereau De Jeneret and C Delaere and D Favart and L Forthomme and A Giammanco and G Grëgoire and J Hollar and V Lemaitre and J Liao and O Militaru and C Nuttens and S Ovyn and D Pagano and A Pin and K Piotrzkowski and N Schul and N Beliy and T Caebergs and E Daubie and GA Alves and D De Jesus Damiao and ME Pol and MHG Souza and WL Aldá Júnior and W Carvalho and A Custódio and EM Da Costa and C De Oliveira Martins and S Fonseca De Souza and D Matos Figueiredo and L Mundim and H Nogima and V Oguri and WL Prado Da Silva and A Santoro and SM Silva Do Amaral and A Sznajder and TS Anjos and CA Bernardes and FA Dias and TR Fernandez Perez Tomei and EM Gregores and C Lagana and F Marinho and PG Mercadante and SF Novaes and Sandra S Padula and N Darmenov and V Genchev and P Iaydjiev and S Piperov and M Rodozov and S Stoykova and G Sultanov,302,5697368255153294692,Physical Review D,3,032002,American Physical Society,Measurement of the rapidity and transverse momentum distributions of  bosons in  collisions at ,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.85.032002,85,2012,/scholar?cites=5697368255153294692,q_wYjF8AAAAJ:FiytvqdAVhgC
7158,"The spectra of charged particles produced within the pseudorapidity window| η|< 1 at TeV are measured using 404 μb− 1 of PbPb and 27.4 pb− 1 of pp data collected by the CMS detector at the LHC in 2015. The spectra are presented over the transverse momentum ranges spanning 0. 5< p T< 400 GeV in pp and 0. 7< p T< 400 GeV in PbPb collisions. The corresponding nuclear modification factor, R AA, is measured in bins of collision centrality. The R AA in the 5% most central collisions shows a maximal suppression by a factor of 7-8 in the p T region of 6-9 GeV. This dip is followed by an increase, which continues up to the highest p T measured, and approaches unity in the vicinity of p T= 200 GeV. The R AA is compared to theoretical predictions and earlier experimental results at lower collision energies. The newly measured pp spectrum is combined with the pPb spectrum previously published by the …",Vardan Khachatryan and Albert M Sirunyan and Armen Tumasyan and Wolfgang Adam and E Asilar and Thomas Bergauer and Johannes Brandstetter and Erica Brondolin and Marko Dragicevic and Janos Erö and Martin Flechl and Markus Friedl and Rudolf Fruehwirth and Vasile Mihai Ghete and Christian Hartl and Natascha Hörmann and Josef Hrubec and Manfred Jeitler and Axel König and Ilse Krätschmer and Dietrich Liko and Takashi Matsushita and Ivan Mikulec and Dinyar Rabady and Navid Rad and Babak Rahbaran and Herbert Rohringer and Jochen Schieck and Josef Strauss and Wolfgang Waltenberger and C-E Wulz and Oleg Dvornikov and Vladimir Makarenko and Vladimir Zykunov and Vladimir Mossolov and Nikolai Shumeiko and J Suarez Gonzalez and Sara Alderweireldt and Eddi A De Wolf and Xavier Janssen and Jasper Lauwers and Merijn Van De Klundert and Hans Van Haevermaet and Pierre Van Mechelen and Nick Van Remortel and Alex Van Spilbeeck and S Abu Zeid and Freya Blekman and Jorgen D’Hondt and Nadir Daci and Isabelle De Bruyn and Kevin Deroover and Steven Lowette and Seth Moortgat and Lieselotte Moreels and Annik Olbrechts and Quentin Python and Stefaan Tavernier and Walter Van Doninck and Petra Van Mulders and Isis Van Parijs and Hugues Brun and Barbara Clerbaux and Gilles De Lentdecker and Hugo Delannoy and Giuseppe Fasanella and Laurent Favart and Reza Goldouzian and Anastasia Grebenyuk and Georgia Karapostoli and Thomas Lenzi and Alexandre Léonard and Jelena Luetic and Thierry Maerschalk and Andrey Marinov and Aidan Randle-conde and Tomislav Seva and C Vander Velde and P Vanlaer and D Vannerom and R Yonamine and F Zenoni and F Zhang and Anna Cimmino and Tom Cornelis and Didar Dobur and Alexis Fagot and Guillaume Garcia and Muhammad Gul and Illia Khvastunov and Deniz Poyraz and Sinem Salva and R Schöfbeck and Michael Tytgat and Ward Van Driessche and Efe Yazgan and Nikolaos Zaganidis and H Bakhshiansohi and C Beluffi and O Bondu and S Brochet and G Bruno and A Caudron and S De Visscher and C Delaere and M Delcourt and B Francois and A Giammanco and A Jafari and P Jez and M Komm and G Krintiras and V Lemaitre and A Magitteri and A Mertens and M Musich and C Nuttens and K Piotrzkowski and L Quertenmont and M Selvaggi and M Vidal Marono and S Wertz and N Beliy and WL Aldá Júnior and FL Alves and GA Alves and L Brito and C Hensel and A Moraes and ME Pol and P Rebello Teles and E Belchior Batista Das Chagas and W Carvalho and J Chinellato and A Custódio and EM Da Costa and GG Da Silveira and D De Jesus Damiao and C De Oliveira Martins and S Fonseca De Souza and LM Huertas Guativa and H Malbouisson and D Matos Figueiredo and C Mora Herrera and L Mundim and H Nogima and WL Prado Da Silva and A Santoro and A Sznajder and EJ Tonelli Manganote,299,7559759031256739729,Journal of High Energy Physics,4,39,Springer Berlin Heidelberg,Charged-particle nuclear modification factors in PbPb and pPb collisions at  TeV,https://link.springer.com/content/pdf/10.1007/JHEP04(2017)039.pdf,2017,2017,/scholar?cites=7559759031256739729,q_wYjF8AAAAJ:4n0clTBhZ78C
7159,"A model-independent search for a narrow resonance produced in proton–proton collisions at s= 8 TeV and decaying to a pair of 125 GeV Higgs bosons that in turn each decays into a bottom quark–antiquark pair is performed by the CMS experiment at the LHC. The analyzed data correspond to an integrated luminosity of 17.9 fb− 1. No evidence for a signal is observed. Upper limits at a 95% confidence level on the production cross section for such a resonance, in the mass range from 270 to 1100 GeV, are reported. Using these results, a radion with decay constant of 1 TeV and mass from 300 to 1100 GeV, and a Kaluza–Klein graviton with mass from 380 to 830 GeV are excluded at a 95% confidence level.",Vardan Khachatryan and Albert M Sirunyan and Armen Tumasyan and Wolfgang Adam and Thomas Bergauer and Marko Dragicevic and Janos Erö and Markus Friedl and Rudolf Fruehwirth and Vasile Mihai Ghete and Christian Hartl and Natascha Hörmann and Josef Hrubec and Manfred Jeitler and Wolfgang Kiesenhofer and Valentin Knünz and Manfred Krammer and Ilse Krätschmer and Dietrich Liko and Ivan Mikulec and Dinyar Rabady and Babak Rahbaran and Herbert Rohringer and Robert Schöfbeck and Josef Strauss and Wolfgang Treberer-Treberspurg and Wolfgang Waltenberger and C-E Wulz and Vladimir Mossolov and Nikolai Shumeiko and J Suarez Gonzalez and Sara Alderweireldt and Sunil Bansal and Tom Cornelis and Eddi A De Wolf and Xavier Janssen and Albert Knutsson and Jasper Lauwers and Sten Luyckx and Silvia Ochesanu and Romain Rougny and Merijn Van De Klundert and Hans Van Haevermaet and Pierre Van Mechelen and Nick Van Remortel and Alex Van Spilbeeck and Freya Blekman and Stijn Blyweert and Jorgen D'Hondt and Nadir Daci and Natalie Heracleous and James Keaveney and Steven Lowette and Michael Maes and Annik Olbrechts and Quentin Python and Derek Strom and Stefaan Tavernier and Walter Van Doninck and Petra Van Mulders and Gerrit Patrick Van Onsem and Ilaria Villella and Cécile Caillol and Barbara Clerbaux and Gilles De Lentdecker and Didar Dobur and Laurent Favart and APR Gay and Anastasia Grebenyuk and Alexandre Léonard and Abdollah Mohammadi and Luca Perniè and Aidan Randle-conde and Thomas Reis and Tomislav Seva and Laurent Thomas and C Vander Velde and P Vanlaer and J Wang and F Zenoni and Volker Adler and Kelly Beernaert and Leonardo Benucci and Anna Cimmino and Silvia Costantini and S Crucy and Alexis Fagot and Guillaume Garcia and Joseph McCartin and AA Ocampo Rios and D Poyraz and Dirk Ryckbosch and S Salva Diblen and Michael Sigamani and Nadja Strobbe and Filip Thyssen and Michael Tytgat and Efe Yazgan and Nikolaos Zaganidis and S Basegmez and C Beluffi and G Bruno and R Castello and A Caudron and L Ceard and GG Da Silveira and C Delaere and T Du Pree and D Favart and L Forthomme and A Giammanco and J Hollar and A Jafari and P Jez and M Komm and V Lemaitre and C Nuttens and D Pagano and L Perrini and A Pin and K Piotrzkowski and A Popov and L Quertenmont and M Selvaggi and M Vidal Marono and JM Vizan Garcia and N Beliy and T Caebergs and E Daubie and GH Hammad and WL Aldá Júnior and GA Alves and L Brito and M Correa Martins Junior and T Dos Reis Martins and J Molina and C Mora Herrera and ME Pol and P Rebello Teles and W Carvalho and J Chinellato and A Custodio and EM Da Costa and D De Jesus Damiao and C De Oliveira Martins and S Fonseca De Souza and H Malbouisson and D Matos Figueiredo and L Mundim and H Nogima,299,17001283455059378070,Physics Letters B,,560-582,North-Holland,Search for resonant pair production of Higgs bosons decaying to two bottom quark–antiquark pairs in proton–proton collisions at 8 TeV,https://www.sciencedirect.com/science/article/pii/S0370269315006486,749,2015,/scholar?cites=17001283455059378070,q_wYjF8AAAAJ:K-tzbvM8PMoC
7160,"Combined measurements of the production and decay rates of the Higgs boson, as well as its couplings to vector bosons and fermions, are presented. The analysis uses the LHC proton–proton collision data set recorded with the CMS detector in 2016 at , corresponding to an integrated luminosity of 35.9. The combination is based on analyses targeting the five main Higgs boson production mechanisms (gluon fusion, vector boson fusion, and associated production with a  or  boson, or a top quark-antiquark pair) and the following decay modes: , , , , , and . Searches for invisible Higgs boson decays are also considered. The best-fit ratio of the signal yield to the standard model expectation is measured to be , assuming a Higgs boson mass of . Additional results are given for various assumptions on the scaling behavior of the production and decay …",Albert M Sirunyan and Armen Tumasyan and Wolfgang Adam and Federico Ambrogi and Ece Asilar and Thomas Bergauer and Johannes Brandstetter and Marko Dragicevic and Janos Erö and A Escalante Del Valle and Martin Flechl and Rudolf Fruehwirth and Vasile Mihai Ghete and Josef Hrubec and Manfred Jeitler and Natascha Krammer and Ilse Krätschmer and Dietrich Liko and Thomas Madlener and Ivan Mikulec and Navid Rad and Herbert Rohringer and Jochen Schieck and Robert Schöfbeck and Markus Spanring and Daniel Spitzbart and Anton Taurok and Wolfgang Waltenberger and Johannes Wittmann and C-E Wulz and Mateusz Zarucki and Vladimir Chekhovsky and Vladimir Mossolov and J Suarez Gonzalez and Eddi A De Wolf and Davide Di Croce and Xavier Janssen and Jasper Lauwers and Maxim Pieters and Hans Van Haevermaet and Pierre Van Mechelen and Nick Van Remortel and S Abu Zeid and Freya Blekman and Jorgen D’Hondt and Isabelle De Bruyn and Jarne De Clercq and Kevin Deroover and Giannis Flouris and Denys Lontkovskyi and Steven Lowette and Ivan Marchesini and Seth Moortgat and Lieselotte Moreels and Quentin Python and Kirill Skovpen and Stefaan Tavernier and Walter Van Doninck and Petra Van Mulders and Isis Van Parijs and Diego Beghin and Bugra Bilin and Hugues Brun and Barbara Clerbaux and Gilles De Lentdecker and Hugo Delannoy and Brian Dorney and Giuseppe Fasanella and Laurent Favart and Reza Goldouzian and Anastasia Grebenyuk and Amandeep Kaur Kalsi and Thomas Lenzi and Jelena Luetic and Nicolas Postiau and Elizabeth Starling and Laurent Thomas and C Vander Velde and P Vanlaer and D Vannerom and Q Wang and T Cornelis and D Dobur and A Fagot and M Gul and I Khvastunov and D Poyraz and C Roskas and D Trocino and M Tytgat and W Verbeke and B Vermassen and M Vit and N Zaganidis and H Bakhshiansohi and O Bondu and S Brochet and G Bruno and C Caputo and P David and C Delaere and M Delcourt and B Francois and A Giammanco and G Krintiras and V Lemaitre and A Magitteri and A Mertens and M Musich and K Piotrzkowski and A Saggio and M Vidal Marono and S Wertz and J Zobec and FL Alves and GA Alves and M Correa Martins Junior and G Correia Silva and C Hensel and A Moraes and ME Pol and P Rebello Teles and E Belchior Batista Das Chagas and W Carvalho and J Chinellato and E Coelho and EM Da Costa and GG Da Silveira and D De Jesus Damiao and C De Oliveira Martins and S Fonseca De Souza and H Malbouisson and D Matos Figueiredo and M Melo De Almeida and C Mora Herrera and L Mundim and H Nogima and WL Prado Da Silva and LJ Sanchez Rosas and A Santoro and A Sznajder and M Thiel and EJ Tonelli Manganote and F Torres Da Silva De Araujo and A Vilela Pereira and S Ahuja and CA Bernardes and L Calligaris and TR Fernandez Perez Tomei and EM Gregores,294,9594678805435565717,The European Physical Journal C,5,1-44,Springer Berlin Heidelberg,Combined measurements of Higgs boson couplings in proton–proton collisions at                                                        s                        =            13 …,https://link.springer.com/content/pdf/10.1140/epjc/s10052-019-6909-y.pdf,79,2019,/scholar?cites=9594678805435565717,q_wYjF8AAAAJ:83hVMSBzrWwC
7161,"The t t-bar production cross section and top quark mass are measured in proton-proton collisions at sqrt (s)= 7 TeV in a data sample corresponding to an integrated luminosity of 36 inverse picobarns collected by the CMS experiment. The measurements are performed in events with two leptons (electrons or muons) in the final state. Results of the cross section measurement in events with and without b-quark identification are obtained and combined. The measured value is sigma (t t-bar)= 168+/-18 (stat.)+/-14 (syst.)+/-7 (lumi.) pb, consistent with predictions from the standard model. The top quark mass m (top) is reconstructed with two different methods, a full kinematic analysis and a matrix weighting technique. The combination yields a measurement of m (top)= 175.5+/-4.6 (stat.)+/-4.6 (syst.) GeV/c^ 2.",CMS collaboration,291,5153144487531976080,arXiv preprint arXiv:1105.5661,,,,Measurement of the t t-bar production cross section and the top quark mass in the dilepton channel in pp collisions at sqrt (s)= 7 TeV,https://arxiv.org/abs/1105.5661,,2011,/scholar?cites=5153144487531976080,q_wYjF8AAAAJ:_r6PDwDh8pAC
